UNITID,CONTRACT,ARANK,XEMPCNTM,EMPCNTM,XOUTLAYM,OUTLAYM,XAVESALM,AVESALM,XEMPCNTW,EMPCNTW,XOUTLAYW,OUTLAYW,XAVESALW,AVESALW,XEMPCNTT,EMPCNTT,XOUTLAYT,OUTLAYT,XAVESALT,AVESALT 
100654,1,1,"R",22,"R",1431423,"R",65065,"R",11,"R",680121,"R",61829,"R",33,"R",2111544,"R",63986
100654,1,2,"R",53,"R",3048340,"R",57516,"R",12,"R",627137,"R",52261,"R",65,"R",3675477,"R",56546
100654,1,3,"R",81,"R",3809326,"R",47029,"R",46,"R",1962171,"R",42656,"R",127,"R",5771497,"R",45445
100654,1,4,"R",18,"R",695091,"R",38616,"R",25,"R",873330,"R",34933,"R",43,"R",1568421,"R",36475
100654,1,7,"R",174,"R",8984180,"R",51633,"R",94,"R",4142759,"R",44072,"R",268,"R",13126939,"R",48981
100654,2,1,"R",8,"R",751145,"R",93893,"R",3,"R",248558,"R",82853,"R",11,"R",999703,"R",90882
100654,2,2,"R",13,"R",1031052,"R",79312,"R",4,"R",316378,"R",79095,"R",17,"R",1347430,"R",79261
100654,2,3,"R",9,"R",686711,"R",76301,"R",1,"R",70560,"R",70560,"R",10,"R",757271,"R",75727
100654,2,4,"R",0,"R",0,"R",0,"R",1,"R",21282,"R",21282,"R",1,"R",21282,"R",21282
100654,2,7,"R",30,"R",2468908,"R",82297,"R",9,"R",656778,"R",72975,"R",39,"R",3125686,"R",80146
100654,4,1,"R",30,"R",2046010,"R",68200,"R",14,"R",883491,"R",63107,"R",44,"R",2929501,"R",66580
100654,4,2,"R",66,"R",3891947,"R",58969,"R",16,"R",885997,"R",55375,"R",82,"R",4777944,"R",58268
100654,4,3,"R",90,"R",4371193,"R",48569,"R",47,"R",2019903,"R",42977,"R",137,"R",6391096,"R",46650
100654,4,4,"R",18,"R",695091,"R",38616,"R",26,"R",890743,"R",34259,"R",44,"R",1585834,"R",36042
100654,4,7,"R",204,"R",11004241,"R",53942,"R",103,"R",4680134,"R",45438,"R",307,"R",15684375,"R",51089
100663,1,1,"R",69,"R",5551114,"R",80451,"R",15,"R",1072648,"R",71510,"R",84,"R",6623762,"R",78854
100663,1,2,"R",82,"R",5134581,"R",62617,"R",38,"R",2217796,"R",58363,"R",120,"R",7352377,"R",61270
100663,1,3,"R",65,"R",3653243,"R",56204,"R",52,"R",2564368,"R",49315,"R",117,"R",6217611,"R",53142
100663,1,4,"R",13,"R",472028,"R",36310,"R",17,"R",660752,"R",38868,"R",30,"R",1132780,"R",37759
100663,1,5,"R",2,"R",97349,"R",48675,"R",2,"R",62000,"R",31000,"R",4,"R",159349,"R",39837
100663,1,7,"R",231,"R",14908315,"R",64538,"R",124,"R",6577564,"R",53045,"R",355,"R",21485879,"R",60524
100663,2,1,"R",106,"R",14363500,"R",135505,"R",28,"R",3491157,"R",124684,"R",134,"R",17854657,"R",133244
100663,2,2,"R",80,"R",7463737,"R",93297,"R",68,"R",5456859,"R",80248,"R",148,"R",12920596,"R",87301
100663,2,3,"R",47,"R",3460453,"R",73627,"R",81,"R",5566667,"R",68724,"R",128,"R",9027120,"R",70524
100663,2,4,"R",17,"R",907265,"R",53369,"R",13,"R",705547,"R",54273,"R",30,"R",1612812,"R",53760
100663,2,6,"R",6,"R",325862,"R",54310,"R",9,"R",429084,"R",47676,"R",15,"R",754946,"R",50330
100663,2,7,"R",256,"R",26520817,"R",103597,"R",199,"R",15649314,"R",78640,"R",455,"R",42170131,"R",92682
100663,4,1,"R",175,"R",17303330,"R",98876,"R",43,"R",3929113,"R",91375,"R",218,"R",21232443,"R",97397
100663,4,2,"R",162,"R",11241411,"R",69391,"R",106,"R",6682598,"R",63043,"R",268,"R",17924009,"R",66881
100663,4,3,"R",112,"R",6484586,"R",57898,"R",133,"R",7119015,"R",53526,"R",245,"R",13603601,"R",55525
100663,4,4,"R",30,"R",1214352,"R",40478,"R",30,"R",1238031,"R",41268,"R",60,"R",2452383,"R",40873
100663,4,5,"R",2,"R",97349,"R",48675,"R",2,"R",62000,"R",31000,"R",4,"R",159349,"R",39837
100663,4,6,"R",6,"R",266620,"R",44437,"R",9,"R",351077,"R",39009,"R",15,"R",617697,"R",41180
100663,4,7,"R",487,"R",36607648,"R",75170,"R",323,"R",19381834,"R",60006,"R",810,"R",55989482,"R",69123
100690,2,4,"R",47,"R",1645000,"R",35000,"R",13,"R",455000,"R",35000,"R",60,"R",2100000,"R",35000
100690,2,7,"R",47,"R",1645000,"R",35000,"R",13,"R",455000,"R",35000,"R",60,"R",2100000,"R",35000
100690,4,4,"R",47,"R",1345939,"R",28637,"R",13,"R",372281,"R",28637,"R",60,"R",1718220,"R",28637
100690,4,7,"R",47,"R",1345939,"R",28637,"R",13,"R",372281,"R",28637,"R",60,"R",1718220,"R",28637
100706,1,1,"R",51,"R",4343753,"R",85172,"R",7,"R",568491,"R",81213,"R",58,"R",4912244,"R",84694
100706,1,2,"R",50,"R",3283212,"R",65664,"R",22,"R",1275783,"R",57990,"R",72,"R",4558995,"R",63319
100706,1,3,"R",32,"R",1986381,"R",62074,"R",48,"R",2413956,"R",50291,"R",80,"R",4400337,"R",55004
100706,1,4,"Z",0,"Z",0,"Z",0,"R",2,"R",98000,"R",49000,"R",2,"R",98000,"R",49000
