UNITID,CONTRACT,ARANK,XEMPCNTM,EMPCNTM,XOUTLAYM,OUTLAYM,XAVESALM,AVESALM,XEMPCNTW,EMPCNTW,XOUTLAYW,OUTLAYW,XAVESALW,AVESALW,XEMPCNTT,EMPCNTT,XOUTLAYT,OUTLAYT,XAVESALT,AVESALT 
100654,1,1,"R",40,"R",2897464,"R",72437,"R",11,"R",749356,"R",68123,"R",51,"R",3646820,"R",71506
100654,1,2,"R",51,"R",2990858,"R",58644,"R",21,"R",1158410,"R",55162,"R",72,"R",4149268,"R",57629
100654,1,3,"R",83,"R",3950212,"R",47593,"R",43,"R",1942097,"R",45165,"R",126,"R",5892309,"R",46764
100654,1,4,"R",13,"R",504034,"R",38772,"R",31,"R",1048498,"R",33823,"R",44,"R",1552532,"R",35285
100654,1,7,"R",187,"R",10342568,"R",55308,"R",106,"R",4898361,"R",46211,"R",293,"R",15240929,"R",52017
100654,2,1,"R",10,"R",1004445,"R",100445,"R",5,"R",451499,"R",90300,"R",15,"R",1455944,"R",97063
100654,2,2,"R",3,"R",237817,"R",79272,"R",2,"R",160727,"R",80364,"R",5,"R",398544,"R",79709
100654,2,3,"R",4,"R",290212,"R",72553,"R",2,"R",103714,"R",51857,"R",6,"R",393926,"R",65654
100654,2,7,"R",17,"R",1532474,"R",90146,"R",9,"R",715940,"R",79549,"R",26,"R",2248414,"R",86477
100654,4,1,"R",50,"R",3719301,"R",74386,"R",16,"R",1118772,"R",69923,"R",66,"R",4838073,"R",73304
100654,4,2,"R",54,"R",3185440,"R",58990,"R",23,"R",1289917,"R",56083,"R",77,"R",4475357,"R",58122
100654,4,3,"R",87,"R",4187663,"R",48134,"R",45,"R",2026956,"R",45043,"R",132,"R",6214619,"R",47080
100654,4,4,"R",13,"R",504034,"R",38772,"R",31,"R",1048498,"R",33823,"R",44,"R",1552532,"R",35285
100654,4,7,"R",204,"R",11596438,"R",56845,"R",115,"R",5484143,"R",47688,"R",319,"R",17080581,"R",53544
100663,1,1,"R",70,"R",6433607,"R",91909,"R",17,"R",1406502,"R",82735,"R",87,"R",7840109,"R",90116
100663,1,2,"R",89,"R",6180484,"R",69444,"R",43,"R",2723310,"R",63333,"R",132,"R",8903794,"R",67453
100663,1,3,"R",59,"R",3364623,"R",57028,"R",54,"R",2821493,"R",52250,"R",113,"R",6186116,"R",54744
100663,1,4,"R",15,"R",597045,"R",39803,"R",15,"R",595075,"R",39672,"R",30,"R",1192120,"R",39737
100663,1,5,"R",2,"R",111173,"R",55587,"R",1,"R",34042,"R",34042,"R",3,"R",145215,"R",48405
100663,1,7,"R",235,"R",16686932,"R",71008,"R",130,"R",7580422,"R",58311,"R",365,"R",24267354,"R",66486
100663,2,1,"R",104,"R",15563325,"R",149647,"R",30,"R",4060692,"R",135356,"R",134,"R",19624017,"R",146448
100663,2,2,"R",74,"R",7683870,"R",103836,"R",60,"R",5732505,"R",95542,"R",134,"R",13416375,"R",100122
100663,2,3,"R",52,"R",4328455,"R",83240,"R",89,"R",7024036,"R",78922,"R",141,"R",11352491,"R",80514
100663,2,4,"R",19,"R",1200973,"R",63209,"R",31,"R",2138238,"R",68975,"R",50,"R",3339211,"R",66784
100663,2,7,"R",249,"R",28776623,"R",115569,"R",210,"R",18955471,"R",90264,"R",459,"R",47732094,"R",103991
100663,4,1,"R",174,"R",19167520,"R",110158,"R",47,"R",4728960,"R",100616,"R",221,"R",23896480,"R",108129
100663,4,2,"R",163,"R",12467426,"R",76487,"R",103,"R",7413646,"R",71977,"R",266,"R",19881072,"R",74741
100663,4,3,"R",111,"R",6906165,"R",62218,"R",143,"R",8568559,"R",59920,"R",254,"R",15474724,"R",60924
100663,4,4,"R",34,"R",1579681,"R",46461,"R",46,"R",2344581,"R",50969,"R",80,"R",3924262,"R",49053
100663,4,5,"R",2,"R",111173,"R",55587,"R",1,"R",34042,"R",34042,"R",3,"R",145215,"R",48405
100663,4,7,"R",484,"R",40231965,"R",83124,"R",340,"R",23089788,"R",67911,"R",824,"R",63321753,"R",76847
100690,2,4,"R",37,"R",1369000,"R",37000,"R",12,"R",444000,"R",37000,"R",49,"R",1813000,"R",37000
100690,2,7,"R",37,"R",1369000,"R",37000,"R",12,"R",444000,"R",37000,"R",49,"R",1813000,"R",37000
100690,4,4,"R",37,"R",1120116,"R",30273,"R",12,"R",363281,"R",30273,"R",49,"R",1483397,"R",30273
100690,4,7,"R",37,"R",1120116,"R",30273,"R",12,"R",363281,"R",30273,"R",49,"R",1483397,"R",30273
100706,1,1,"R",52,"R",4964289,"R",95467,"R",3,"R",326588,"R",108863,"R",55,"R",5290877,"R",96198
100706,1,2,"R",53,"R",3853530,"R",72708,"R",27,"R",1813441,"R",67164,"R",80,"R",5666971,"R",70837
100706,1,3,"R",41,"R",2683928,"R",65462,"R",39,"R",2211692,"R",56710,"R",80,"R",4895620,"R",61195
100706,1,4,"Z",0,"Z",0,"A",,"R",5,"R",232930,"R",46586,"R",5,"R",232930,"R",46586
100706,1,5,"R",8,"R",368248,"R",46031,"R",15,"R",561660,"R",37444,"R",23,"R",929908,"R",40431
100706,1,7,"R",154,"R",11869995,"R",77078,"R",89,"R",5146311,"R",57824,"R",243,"R",17016306,"R",70026
100706,2,1,"R",15,"R",1853045,"R",123536,"R",3,"R",339242,"R",113081,"R",18,"R",2192287,"R",121794
100706,2,2,"R",6,"R",525557,"R",87593,"R",4,"R",317343,"R",79336,"R",10,"R",842900,"R",84290
100706,2,3,"R",1,"R",54112,"R",54112,"Z",0,"Z",0,"A",,"R",1,"R",54112,"R",54112
100706,2,5,"R",5,"R",295303,"R",59061,"R",10,"R",400078,"R",40008,"R",15,"R",695381,"R",46359
100706,2,7,"R",27,"R",2728017,"R",101038,"R",17,"R",1056663,"R",62157,"R",44,"R",3784680,"R",86015
100706,4,1,"R",67,"R",6480450,"R",96723,"R",6,"R",604156,"R",100693,"R",73,"R",7084606,"R",97049
100706,4,2,"R",59,"R",4283541,"R",72602,"R",31,"R",2073091,"R",66874,"R",90,"R",6356632,"R",70629
100706,4,3,"R",42,"R",2728202,"R",64957,"R",39,"R",2211692,"R",56710,"R",81,"R",4939894,"R",60986
100706,4,4,"Z",0,"Z",0,"A",,"R",5,"R",232930,"R",46586,"R",5,"R",232930,"R",46586
100706,4,5,"R",13,"R",609865,"R",46913,"R",25,"R",889004,"R",35560,"R",38,"R",1498869,"R",39444
100706,4,7,"R",181,"R",14102058,"R",77912,"R",106,"R",6010873,"R",56706,"R",287,"R",20112931,"R",70080
100724,1,1,"R",36,"R",2960042,"R",82223,"R",17,"R",1359571,"R",79975,"R",53,"R",4319613,"R",81502
100724,1,2,"R",23,"R",1491814,"R",64861,"R",32,"R",1990437,"R",62201,"R",55,"R",3482251,"R",63314
100724,1,3,"R",28,"R",1504704,"R",53739,"R",39,"R",2032176,"R",52107,"R",67,"R",3536880,"R",52789
100724,1,4,"R",15,"R",658374,"R",43892,"R",36,"R",1461395,"R",40594,"R",51,"R",2119769,"R",41564
100724,1,7,"R",102,"R",6614934,"R",64852,"R",124,"R",6843579,"R",55190,"R",226,"R",13458513,"R",59551
100724,2,2,"Z",0,"Z",0,"A",,"R",1,"R",86950,"R",86950,"R",1,"R",86950,"R",86950
100724,2,3,"R",2,"R",101890,"R",50945,"Z",0,"Z",0,"A",,"R",2,"R",101890,"R",50945
100724,2,4,"R",1,"R",46766,"R",46766,"R",1,"R",47477,"R",47477,"R",2,"R",94243,"R",47122
100724,2,7,"R",3,"R",148656,"R",49552,"R",2,"R",134427,"R",67214,"R",5,"R",283083,"R",56617
100724,4,1,"R",36,"R",2960042,"R",82223,"R",17,"R",1359571,"R",79975,"R",53,"R",4319613,"R",81502
100724,4,2,"R",23,"R",1491814,"R",64861,"R",33,"R",2061579,"R",62472,"R",56,"R",3553393,"R",63453
100724,4,3,"R",30,"R",1588070,"R",52936,"R",39,"R",2032176,"R",52107,"R",69,"R",3620246,"R",52467
100724,4,4,"R",16,"R",696638,"R",43540,"R",37,"R",1500241,"R",40547,"R",53,"R",2196879,"R",41451
100724,4,7,"R",105,"R",6736564,"R",64158,"R",126,"R",6953567,"R",55187,"R",231,"R",13690131,"R",59265
100751,1,1,"R",237,"R",25950479,"R",109496,"R",58,"R",5783902,"R",99722,"R",295,"R",31734381,"R",107574
100751,1,2,"R",135,"R",10189603,"R",75479,"R",76,"R",5531488,"R",72783,"R",211,"R",15721091,"R",74508
100751,1,3,"R",103,"R",6538883,"R",63484,"R",89,"R",5069070,"R",56956,"R",192,"R",11607953,"R",60458
100751,1,4,"R",42,"R",1485734,"R",35375,"R",79,"R",3107536,"R",39336,"R",121,"R",4593270,"R",37961
100751,1,7,"R",517,"R",44164699,"R",85425,"R",302,"R",19491996,"R",64543,"R",819,"R",63656695,"R",77725
100751,2,1,"R",11,"R",1459433,"R",132676,"R",3,"R",426612,"R",142204,"R",14,"R",1886045,"R",134718
100751,2,2,"R",2,"R",170811,"R",85406,"R",3,"R",275440,"R",91813,"R",5,"R",446251,"R",89250
100751,2,3,"R",1,"R",73614,"R",73614,"R",4,"R",330703,"R",82676,"R",5,"R",404317,"R",80863
100751,2,4,"R",5,"R",243827,"R",48765,"R",2,"R",105930,"R",52965,"R",7,"R",349757,"R",49965
100751,2,7,"R",19,"R",1947685,"R",102510,"R",12,"R",1138685,"R",94890,"R",31,"R",3086370,"R",99560
100751,4,1,"R",248,"R",27144587,"R",109454,"R",61,"R",6132956,"R",100540,"R",309,"R",33277543,"R",107694
100751,4,2,"R",137,"R",10329361,"R",75397,"R",79,"R",5756853,"R",72872,"R",216,"R",16086214,"R",74473
100751,4,3,"R",104,"R",6599114,"R",63453,"R",93,"R",5339651,"R",57416,"R",197,"R",11938765,"R",60603
100751,4,4,"R",47,"R",1685233,"R",35856,"R",81,"R",3194208,"R",39435,"R",128,"R",4879441,"R",38121
100751,4,7,"R",536,"R",45758295,"R",85370,"R",314,"R",20423668,"R",65044,"R",850,"R",66181963,"R",77861
100760,1,6,"R",28,"R",1301399,"R",46479,"R",29,"R",1384538,"R",47743,"R",57,"R",2685937,"R",47122
100760,1,7,"R",28,"R",1301399,"R",46479,"R",29,"R",1384538,"R",47743,"R",57,"R",2685937,"R",47122
100760,2,6,"Z",0,"Z",0,"A",,"R",1,"R",57960,"R",57960,"R",1,"R",57960,"R",57960
100760,2,7,"Z",0,"Z",0,"A",,"R",1,"R",57960,"R",57960,"R",1,"R",57960,"R",57960
100760,4,6,"R",28,"R",1301399,"R",46479,"R",30,"R",1431961,"R",47732,"R",58,"R",2733360,"R",47127
100760,4,7,"R",28,"R",1301399,"R",46479,"R",30,"R",1431961,"R",47732,"R",58,"R",2733360,"R",47127
100812,1,1,"R",18,"R",1399542,"R",77752,"R",2,"R",153464,"R",76732,"R",20,"R",1553006,"R",77650
100812,1,2,"R",7,"R",479870,"R",68553,"R",11,"R",724075,"R",65825,"R",18,"R",1203945,"R",66886
100812,1,6,"R",18,"R",941069,"R",52282,"R",24,"R",1325534,"R",55231,"R",42,"R",2266603,"R",53967
100812,1,7,"R",43,"R",2820481,"R",65593,"R",37,"R",2203073,"R",59543,"R",80,"R",5023554,"R",62794
100812,2,1,"R",2,"R",198916,"R",99458,"Z",0,"Z",0,"A",,"R",2,"R",198916,"R",99458
100812,2,6,"Z",0,"Z",0,"A",,"R",3,"R",184292,"R",61431,"R",3,"R",184292,"R",61431
100812,2,7,"R",2,"R",198916,"R",99458,"R",3,"R",184292,"R",61431,"R",5,"R",383208,"R",76642
100812,4,1,"R",20,"R",1562295,"R",78115,"R",2,"R",153464,"R",76732,"R",22,"R",1715759,"R",77989
100812,4,2,"R",7,"R",479870,"R",68553,"R",11,"R",724075,"R",65825,"R",18,"R",1203945,"R",66886
100812,4,6,"R",18,"R",941069,"R",52282,"R",27,"R",1476322,"R",54679,"R",45,"R",2417391,"R",53720
100812,4,7,"R",45,"R",2983234,"R",66294,"R",40,"R",2353861,"R",58847,"R",85,"R",5337095,"R",62789
100830,1,1,"R",27,"R",2096492,"R",77648,"R",10,"R",710110,"R",71011,"R",37,"R",2806602,"R",75854
100830,1,2,"R",28,"R",1768180,"R",63149,"R",17,"R",949683,"R",55864,"R",45,"R",2717863,"R",60397
100830,1,3,"R",34,"R",1804660,"R",53078,"R",32,"R",1635004,"R",51094,"R",66,"R",3439664,"R",52116
100830,1,4,"R",3,"R",118170,"R",39390,"R",9,"R",392428,"R",43603,"R",12,"R",510598,"R",42550
100830,1,7,"R",92,"R",5787502,"R",62908,"R",68,"R",3687225,"R",54224,"R",160,"R",9474727,"R",59217
100830,2,1,"R",12,"R",1243660,"R",103638,"R",1,"R",84400,"R",84400,"R",13,"R",1328060,"R",102158
100830,2,2,"R",6,"R",550780,"R",91797,"R",2,"R",146410,"R",73205,"R",8,"R",697190,"R",87149
100830,2,3,"R",1,"R",59670,"R",59670,"R",1,"R",59930,"R",59930,"R",2,"R",119600,"R",59800
100830,2,4,"Z",0,"Z",0,"A",,"R",3,"R",184100,"R",61367,"R",3,"R",184100,"R",61367
100830,2,7,"R",19,"R",1854110,"R",97585,"R",7,"R",474840,"R",67834,"R",26,"R",2328950,"R",89575
100830,4,1,"R",39,"R",3114055,"R",79848,"R",11,"R",779166,"R",70833,"R",50,"R",3893221,"R",77864
100830,4,2,"R",34,"R",2218828,"R",65260,"R",19,"R",1069476,"R",56288,"R",53,"R",3288304,"R",62043
100830,4,3,"R",35,"R",1853482,"R",52957,"R",33,"R",1684039,"R",51031,"R",68,"R",3537521,"R",52022
100830,4,4,"R",3,"R",118170,"R",39390,"R",12,"R",543059,"R",45255,"R",15,"R",661229,"R",44082
100830,4,7,"R",111,"R",7304535,"R",65807,"R",75,"R",4075740,"R",54343,"R",186,"R",11380275,"R",61184
100858,1,1,"R",276,"R",28080652,"R",101741,"R",40,"R",3500558,"R",87514,"R",316,"R",31581210,"R",99941
100858,1,2,"R",174,"R",12609942,"R",72471,"R",78,"R",5084415,"R",65185,"R",252,"R",17694357,"R",70216
100858,1,3,"R",109,"R",7171470,"R",65793,"R",82,"R",4546889,"R",55450,"R",191,"R",11718359,"R",61353
100858,1,4,"R",22,"R",709432,"R",32247,"R",40,"R",1364415,"R",34110,"R",62,"R",2073847,"R",33449
100858,1,5,"R",7,"R",367820,"R",52546,"R",6,"R",278000,"R",46333,"R",13,"R",645820,"R",49678
100858,1,7,"R",588,"R",48939316,"R",83230,"R",246,"R",14774277,"R",60058,"R",834,"R",63713593,"R",76395
100858,2,1,"R",148,"R",18363111,"R",124075,"R",30,"R",3726427,"R",124214,"R",178,"R",22089538,"R",124099
