unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb131","xb132","xb133","xb161","xb162","xb163","xb191","xb192","xb193","xb221","xb222","xb223","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"231785","671420","0","671420","454257","114499","0","114499","25338","","","","","349762","0","349762","188744","747488","0","747488","135629","623663","0","623663","77669","502580","0","502580","9930","0","606464","606464","","","","","","","3009412","606464","3615876","271505","0","271505","","","","","","","3280917","606464","3887381","891567","78313","","","969880","115438","","","","","","",10,31,10,10,10,31,10,10,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,31,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"231794","714050","0","714050","474759","95531","0","95531","9767","","","","","417132","0","417132","218222","927398","0","927398","144660","917795","0","917795","32613","475021","0","475021","26605","0","776041","776041","","","","","","","3546927","776041","4322968","371043","0","371043","","","","","","","3917970","776041","4694011","906626","131429","","","1038055","145220","","","","","","",10,31,10,10,10,31,10,10,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,31,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"231819","518593","0","518593","332297","31187","0","31187","4966","","","","","239110","0","239110","142451","611094","0","611094","98125","668320","0","668320","16554","291062","0","291062","6852","0","686423","686423","","","","","","","2359366","686423","3045789","262037","0","262037","","","","","","","2621403","686423","3307826","601245","74259","","","675504","72222","","","","","","",10,31,10,10,10,31,10,10,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,31,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"231828","425449","0","425449","231605","42078","0","42078","10998","","","","","230874","0","230874","104050","642306","0","642306","94257","709654","0","709654","34649","401247","0","401247","14317","0","535205","535205","","","","","","","2451608","535205","2986813","216184","0","216184","","","","","","","2667792","535205","3202997","489876","82597","","","572473","70811","","","","","","",10,31,10,10,10,31,10,10,31,31,31,31,10,31,10,10,10,31,18,10,10,31,10,10,10,31,10,10,31,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"231837","1506640","0","1506640","1177300","","","","","","","","","152807","0","152807","86958","230064","0","230064","189913","1008222","0","1008222","391756","","","","","0","725124","725124","","","","68901","0","68901","2966634","725124","3691758","339070","0","339070","","","","","","","3305704","725124","4030828","1845927","141396","","","1987323","43745","","","","","","",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,31,31,31,31,31,10,10,31,31,31,10,31,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"231873","2345612","939987","3285599","2181205","","","","","21324","0","21324","10246","344232","0","344232","188380","354370","41544","395914","308371","921973","0","921973","554804","485555","0","485555","197831","984","950721","951705","0","147","147","","","","4474050","1932399","6406449","311009","0","311009","","","","","","","4785059","1932399","6717458","3440837","736462","","","4177299","235721","","","","","","",10,10,10,10,31,31,31,31,10,31,10,10,10,31,10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,10,10,31,10,10,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"231882","4302251","464519","4766770","3262040","","","","","9274","101169","110443","4117","1018824","0","1018824","642519","562055","46278","608333","448647","1327678","0","1327678","556773","616071","0","616071","224452","3607","1273514","1277121","","","","","","","7839760","1885480","9725240","518772","0","518772","","","","","","","8358532","1885480","10244012","5138548","1067784","","","6206332","326665","","","","","","",10,10,10,10,31,31,31,31,10,10,10,10,10,31,10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"231970","24469195","964819","25434014","15997995","43857","13523851","13567708","6281849","279142","1652676","1931818","1213182","3865867","10063","3875930","2003856","546385","25702","572087","284327","2940154","186900","3127054","1773040","4422638","0","4422638","1366595","164750","92010","256760","34056","0","34056","73648","-100417","-26769","36839692","16355604","53195296","2836107","0","2836107","","","","","","","39675799","16355604","56031403","28920844","6490412","38430","88622","35538308","1197886","23141","0","","","","",10,10,10,21,10,10,10,21,10,10,10,21,10,10,10,21,10,10,10,21,10,10,10,31,10,10,10,21,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,21,21,21,21,21,10,10,10,31,31,31,31
"231989","486103","0","486103","337401","","","","","1150","0","1150","","112474","0","112474","71254","200833","0","200833","138850","166730","0","166730","153688","214183","0","214183","1500","45100","360696","405796","","","","","","","1226573","360696","1587269","","","","","","","","","","1226573","360696","1587269","702693","134392","","","837085","14440","","","","","","",10,31,10,10,31,31,31,31,10,31,10,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"232025","2899948","0","2899948","2162749","61173","40761","101934","12482","0","0","0","0","699833","0","699833","423718","828667","0","828667","415441","1609417","0","1609417","782618","1118075","0","1118075","434624","755417","1612930","2368347","74210","0","74210","0","0","0","8046740","1653691","9700431","2678208","0","2678208","0","0","0","0","0","0","10724948","1653691","12378639","4231632","927293","118941","0","5277866","413699","178103","0","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31
