UNITID,CONTRACT,ARANK,XEMPCNTM,EMPCNTM,XOUTLAYM,OUTLAYM,XAVESALM,AVESALM,XEMPCNTW,EMPCNTW,XOUTLAYW,OUTLAYW,XAVESALW,AVESALW,XEMPCNTT,EMPCNTT,XOUTLAYT,OUTLAYT,XAVESALT,AVESALT 
100654,1,1,"R",20,"R",1316697,"R",65835,"R",11,"R",679846,"R",61804,"R",31,"R",1996543,"R",64405
100654,1,2,"R",60,"R",3411621,"R",56860,"R",17,"R",925070,"R",54416,"R",77,"R",4336691,"R",56321
100654,1,3,"R",80,"R",3745690,"R",46821,"R",47,"R",2066458,"R",43967,"R",127,"R",5812148,"R",45765
100654,1,4,"R",17,"R",650183,"R",38246,"R",32,"R",1097483,"R",34296,"R",49,"R",1747666,"R",35667
100654,1,7,"R",177,"R",9124191,"R",51549,"R",107,"R",4768857,"R",44569,"R",284,"R",13893048,"R",48919
100654,2,1,"R",10,"R",906383,"R",90638,"R",4,"R",338206,"R",84552,"R",14,"R",1244589,"R",88899
100654,2,2,"R",13,"R",1063221,"R",81786,"R",1,"R",87500,"R",87500,"R",14,"R",1150721,"R",82194
100654,2,3,"R",5,"R",320574,"R",64115,"R",2,"R",152010,"R",76005,"R",7,"R",472584,"R",67512
100654,2,7,"R",28,"R",2290178,"R",81792,"R",7,"R",577716,"R",82531,"R",35,"R",2867894,"R",81940
100654,4,1,"R",30,"R",2058300,"R",68610,"R",15,"R",956566,"R",63771,"R",45,"R",3014866,"R",66997
100654,4,2,"R",73,"R",4281548,"R",58651,"R",18,"R",996663,"R",55370,"R",91,"R",5278211,"R",58002
100654,4,3,"R",85,"R",4007984,"R",47153,"R",49,"R",2190833,"R",44711,"R",134,"R",6198817,"R",46260
100654,4,4,"R",17,"R",650183,"R",38246,"R",32,"R",1097483,"R",34296,"R",49,"R",1747666,"R",35667
100654,4,7,"R",205,"R",10998015,"R",53649,"R",114,"R",5241545,"R",45978,"R",319,"R",16239560,"R",50908
100663,1,1,"R",73,"R",6385194,"R",87468,"R",15,"R",1199587,"R",79972,"R",88,"R",7584781,"R",86191
100663,1,2,"R",81,"R",5472957,"R",67567,"R",41,"R",2600545,"R",63428,"R",122,"R",8073502,"R",66176
100663,1,3,"R",71,"R",4087723,"R",57574,"R",49,"R",2534576,"R",51726,"R",120,"R",6622299,"R",55186
100663,1,4,"R",16,"R",613498,"R",38344,"R",22,"R",851550,"R",38707,"R",38,"R",1465048,"R",38554
100663,1,5,"R",2,"R",105860,"R",52930,"R",2,"R",65100,"R",32550,"R",4,"R",170960,"R",42740
100663,1,7,"R",243,"R",16665232,"R",68581,"R",129,"R",7251358,"R",56212,"R",372,"R",23916590,"R",64292
100663,2,1,"R",103,"R",14672706,"R",142453,"R",26,"R",3396347,"R",130629,"R",129,"R",18069053,"R",140070
100663,2,2,"R",74,"R",7348120,"R",99299,"R",61,"R",5386405,"R",88302,"R",135,"R",12734525,"R",94330
100663,2,3,"R",55,"R",4326545,"R",78664,"R",87,"R",6456784,"R",74216,"R",142,"R",10783329,"R",75939
100663,2,4,"R",19,"R",1079126,"R",56796,"R",13,"R",766272,"R",58944,"R",32,"R",1845398,"R",57669
100663,2,6,"R",5,"R",263843,"R",52769,"R",9,"R",463944,"R",51549,"R",14,"R",727787,"R",51985
100663,2,7,"R",256,"R",27690340,"R",108165,"R",196,"R",16469752,"R",84029,"R",452,"R",44160092,"R",97699
100663,4,1,"R",176,"R",18390402,"R",104491,"R",41,"R",3978478,"R",97036,"R",217,"R",22368880,"R",103082
