UNITID,XF2A01,F2A01,XF2A02,F2A02,XF2A03,F2A03,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A14,F2A14,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2D01,F2D01,XF2D02,F2D02,XF2D03,F2D03,XF2D04,F2D04,XF2D05,F2D05,XF2D06,F2D06,XF2D07,F2D07,XF2D08,F2D08,XF2D09,F2D09,XF2D10,F2D10,XF2D11,F2D11,XF2D12,F2D12,XF2D13,F2D13,XF2D14,F2D14,XF2D15,F2D15,XF2D16,F2D16,XF2E011,F2E011,XF2E012,F2E012,XF2E013,F2E013,XF2E014,F2E014,XF2E015,F2E015,XF2E016,F2E016,XF2E017,F2E017,XF2E021,F2E021,XF2E022,F2E022,XF2E023,F2E023,XF2E024,F2E024,XF2E025,F2E025,XF2E026,F2E026,XF2E027,F2E027,XF2E031,F2E031,XF2E032,F2E032,XF2E033,F2E033,XF2E034,F2E034,XF2E035,F2E035,XF2E036,F2E036,XF2E037,F2E037,XF2E041,F2E041,XF2E042,F2E042,XF2E043,F2E043,XF2E044,F2E044,XF2E045,F2E045,XF2E046,F2E046,XF2E047,F2E047,XF2E051,F2E051,XF2E052,F2E052,XF2E053,F2E053,XF2E054,F2E054,XF2E055,F2E055,XF2E056,F2E056,XF2E057,F2E057,XF2E061,F2E061,XF2E062,F2E062,XF2E063,F2E063,XF2E064,F2E064,XF2E065,F2E065,XF2E066,F2E066,XF2E067,F2E067,XF2E071,F2E071,XF2E072,F2E072,XF2E073,F2E073,XF2E074,F2E074,XF2E075,F2E075,XF2E076,F2E076,XF2E077,F2E077,XF2E081,F2E081,XF2E082,F2E082,XF2E083,F2E083,XF2E084,F2E084,XF2E085,F2E085,XF2E086,F2E086,XF2E087,F2E087,XF2E091,F2E091,XF2E092,F2E092,XF2E093,F2E093,XF2E094,F2E094,XF2E095,F2E095,XF2E096,F2E096,XF2E097,F2E097,XF2E101,F2E101,XF2E102,F2E102,XF2E103,F2E103,XF2E104,F2E104,XF2E105,F2E105,XF2E106,F2E106,XF2E107,F2E107,XF2E111,F2E111,XF2E112,F2E112,XF2E113,F2E113,XF2E114,F2E114,XF2E115,F2E115,XF2E116,F2E116,XF2E117,F2E117,XF2E121,F2E121,XF2E122,F2E122,XF2E123,F2E123,XF2E124,F2E124,XF2E125,F2E125,XF2E126,F2E126,XF2E127,F2E127,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,XF2H01,F2H01,XF2H02,F2H02,F2FHA   
100690,"R",751263,"R",5050212,"R",1490123,"R",3385284,"R",174805,"Z",0,"R",3560089,"R",610976,"R",1028166,"R",2297310,"Z",0,"R",7216977,"R",6287850,"R",0,"R",929127,"R",2630962,"R",0,"R",3560089,"R",642764,"R",50029,"Z",0,"Z",0,"R",0,"R",2428789,"R",3121582,"R",2428789,"Z",0,"R",5856644,"Z",0,"Z",0,"Z",0,"R",50029,"Z",0,"Z",0,"R",1190058,"Z",0,"R",27033,"Z",0,"Z",0,"Z",0,"Z",0,"R",93213,"R",7216977,"R",2614536,"R",1601943,"R",95042,"R",92388,"R",64967,"Z",0,"R",760196,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",179695,"R",123172,"R",9036,"R",8799,"R",6187,"Z",0,"R",32501,"R",704340,"R",443707,"R",33323,"R",24197,"R",17015,"Z",0,"R",186098,"R",2789279,"R",771871,"R",379609,"R",94587,"R",66515,"Z",0,"R",1476697,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"B",,"B",,"B",,"B",,"B",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"B",,"Z",0,"Z",0,"R",-219971,"Z",0,"Z",0,"R",219971,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6287850,"R",2940693,"R",517010,"B",,"R",154684,"Z",0,"R",2675463,"R",174805,"R",174805, 1
100937,"R",123593848,"R",247585056,"R",56174271,"R",91782421,"R",99628364,"R",65367028,"R",191410785,"R",18123947,"R",121578035,"R",26503118,"R",0,"R",48752939,"R",49817255,"R",0,"R",-1064316,"R",192475101,"R",0,"R",191410785,"R",428536,"R",1280991,"R",317391,"R",215558,"R",13784940,"R",337862,"R",16365278,"R",13784940,"Z",0,"R",13750717,"R",0,"R",0,"R",0,"R",1709527,"R",317391,"R",215558,"R",7394000,"R",0,"R",15271133,"R",0,"R",8683427,"R",0,"R",0,"R",1411186,"R",48752939,"R",16189213,"R",7557507,"R",2011189,"R",2241067,"R",2324121,"R",735399,"R",1319930,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3372375,"R",1021140,"R",390067,"R",517334,"R",536506,"R",169762,"R",737566,"R",9874947,"R",2886768,"R",921934,"R",1472749,"R",1527328,"R",483278,"R",2582890,"R",5986210,"R",2812145,"R",1102339,"R",340436,"R",353053,"R",111713,"R",1266524,"R",11375574,"R",342498,"R",111889,"R",2570783,"R",2666055,"R",843594,"R",4840755,"R",2580337,"B",,"B",,"B",,"B",,"B",,"R",2580337,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"B",,"Z",0,"Z",0,"R",-7142369,"Z",0,"Z",0,"R",7142369,"R",438599,"R",0,"R",0,"R",0,"R",0,"R",0,"R",438599,"R",49817255,"R",14620058,"R",4537418,"B",,"R",7407063,"R",2343746,"R",20908970,"R",122495222,"R",123593848, 1
101073,"R",4395840,"R",17254018,"R",2126446,"R",8902504,"R",6225068,"R",1436051,"R",15127572,"R",400629,"R",11757370,"R",2047118,"Z",0,"R",5632460,"R",6401949,"R",0,"R",-769489,"R",15897062,"R",-1,"R",15127572,"R",2236291,"R",197291,"Z",0,"Z",0,"R",2943361,"Z",0,"R",5376943,"R",2943361,"Z",0,"R",1896745,"Z",0,"Z",0,"Z",0,"R",1255235,"R",217377,"Z",0,"R",765658,"Z",0,"R",293462,"Z",0,"R",1034510,"Z",0,"Z",0,"R",169473,"R",5632460,"R",2375038,"R",1655455,"R",224361,"R",245521,"R",50253,"Z",0,"R",199448,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",339311,"R",156321,"R",22887,"R",34115,"Z",0,"Z",0,"R",125988,"R",446350,"R",111193,"R",22796,"R",44877,"R",44108,"Z",0,"R",223376,"R",360350,"R",157523,"R",23604,"R",36230,"Z",0,"Z",0,"R",142993,"R",1686735,"R",545485,"R",117671,"R",169587,"R",63137,"Z",0,"R",790855,"R",1127212,"R",175478,"R",43489,"R",113331,"R",283697,"Z",0,"R",511217,"Z",0,"B",,"B",,"B",,"B",,"B",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"B",,"Z",0,"Z",0,"R",-643661,"Z",0,"Z",0,"R",643661,"R",66953,"R",0,"R",0,"R",0,"R",0,"R",0,"R",66953,"R",6401949,"R",2801455,"R",454808,"B",,"R",441195,"Z",0,"R",2704491,"R",3949295,"R",2700030, 1
101189,"R",13655704,"R",49667600,"R",19067828,"R",20168247,"R",10431525,"R",5501055,"R",30599772,"R",1255020,"R",30605196,"R",13548558,"Z",0,"R",25225931,"R",25858585,"R",0,"R",-632654,"R",31232426,"R",0,"R",30599772,"R",4145381,"R",514906,"R",361520,"Z",0,"R",307074,"R",2843180,"R",8172061,"R",3364943,"R",278742,"R",18444195,"Z",0,"Z",0,"Z",0,"R",1085911,"Z",0,"Z",0,"R",2396113,"Z",0,"R",1159925,"Z",0,"R",1528671,"Z",0,"Z",0,"R",611116,"R",25225931,"R",11022142,"R",6653524,"R",1123626,"R",1059981,"R",795590,"R",252695,"R",1136726,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",2580095,"R",633644,"R",125677,"R",233893,"R",175553,"R",55759,"R",1355569,"R",5160407,"R",1861714,"R",369090,"R",430462,"R",323092,"R",102620,"R",2073429,"R",4796614,"R",2000931,"R",405879,"R",159246,"R",119525,"R",37964,"R",2073069,"R",2299327,"R",114488,"R",22694,"R",604638,"R",453822,"R",144143,"R",959542,"Z",0,"B",,"B",,"B",,"B",,"B",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"B",,"Z",0,"Z",0,"R",-2488220,"Z",0,"Z",0,"R",2488220,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",25858585,"R",11264301,"R",2046966,"B",,"R",1867582,"R",593181,"R",10086555,"R",13917550,"R",14026385, 1
101435,"R",36047003,"R",64959401,"R",25515370,"R",1828091,"R",37615940,"R",35988165,"R",39444031,"R",3485795,"R",24707839,"R",11634837,"Z",0,"R",14842656,"R",13561949,"R",3050440,"R",4331147,"R",35112884,"R",0,"R",39444031,"R",601529,"R",92714,"R",85667,"Z",0,"R",2331757,"R",2048034,"R",5159701,"R",4379791,"Z",0,"R",4997947,"Z",0,"Z",0,"Z",0,"R",250000,"Z",0,"Z",0,"R",4411692,"Z",0,"R",2269681,"Z",0,"R",2558209,"Z",0,"Z",0,"R",355127,"R",14842656,"R",4456245,"R",1868751,"R",448500,"R",452608,"R",445051,"R",362136,"R",879199,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",780525,"R",344595,"R",62027,"R",109986,"R",111263,"R",90534,"R",62120,"R",3518673,"R",1373242,"R",329578,"R",250585,"R",236433,"R",192385,"R",1136450,"R",2008585,"R",1508261,"R",286570,"R",1,"R",69539,"R",56584,"R",87630,"R",2797920,"Z",0,"Z",0,"R",508698,"R",528498,"R",430036,"R",1330688,"Z",0,"B",,"B",,"B",,"B",,"B",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"B",,"Z",0,"Z",0,"R",-1321878,"Z",0,"Z",0,"R",1321878,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",13561949,"R",5094849,"R",1126675,"B",,"R",1390784,"R",1131675,"R",4817966,"R",34941424,"R",36047483, 1
101453,"R",5232474,"R",8333477,"R",2137061,"R",1341909,"R",4854507,"R",2708909,"R",6196416,"R",1037145,"R",1466451,"R",2024661,"Z",0,"R",3068954,"R",2733760,"R",0,"R",335194,"R",5861222,"R",0,"R",6196416,"R",150496,"R",11494,"Z",0,"Z",0,"R",151237,"R",2579,"R",315806,"R",2579,"Z",0,"R",648523,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2018459,"R",34059,"R",222806,"R",19480,"R",125627,"Z",0,"Z",0,"R",0,"R",3068954,"R",464096,"R",391046,"R",0,"R",43443,"R",0,"R",0,"R",29607,"R",7974,"R",0,"R",0,"R",797,"R",0,"R",0,"R",7177,"R",20236,"R",0,"R",0,"R",1894,"R",0,"R",0,"R",18342,"R",118158,"R",83341,"R",5706,"R",11060,"R",0,"R",0,"R",18051,"R",224711,"R",150734,"R",0,"R",21035,"R",0,"R",0,"R",52942,"R",1640828,"R",428620,"R",229743,"R",251629,"R",0,"R",83579,"R",647257,"R",106520,"R",13252,"R",0,"R",6705,"R",0,"R",0,"R",86563,"R",151237,"B",,"B",,"B",,"B",,"B",,"R",151237,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"B",,"R",0,"R",0,"R",-336563,"R",150291,"R",0,"R",186272,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2733760,"R",1066993,"R",235449,"B",,"R",150291,"R",83579,"R",1197448,"R",3410929,"R",3784861, 1
101541,"R",14823615,"R",35622906,"R",13508252,"R",4646498,"R",17468156,"R",14823615,"R",22114654,"R",293792,"R",15965250,"R",4675068,"R",0,"R",6819747,"R",8286755,"R",2868145,"R",1401137,"R",20713517,"R",0,"R",22114654,"R",391327,"R",0,"R",0,"R",0,"R",600059,"R",627466,"R",1618852,"R",1227525,"R",0,"R",1442429,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1359519,"R",0,"R",307480,"R",0,"R",1475468,"R",0,"R",0,"R",2234851,"R",6819747,"R",3298949,"R",1341091,"R",234786,"Z",0,"R",450358,"R",255764,"R",1016950,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",520284,"R",216267,"R",37847,"Z",0,"R",58988,"Z",0,"R",207182,"R",1108474,"R",123140,"R",21549,"Z",0,"R",126403,"Z",0,"R",837382,"R",2128594,"R",1261203,"R",220710,"Z",0,"R",35953,"R",78261,"R",532467,"R",1230454,"R",169907,"R",29734,"Z",0,"R",138990,"R",16496,"R",875327,"Z",0,"B",,"B",,"B",,"B",,"B",,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"B",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8286755,"R",3111608,"R",544626,"B",,"R",810692,"R",350521,"R",3469308,"R",20204704,"R",22114654, 1
101648,"R",806098,"R",7093928,"R",3270286,"R",2628893,"R",1194749,"Z",0,"R",3823642,"R",0,"R",10461014,"R",1782149,"R",0,"R",6375168,"R",5838400,"R",0,"R",536768,"R",10494678,"R",-7207804,"R",3823642,"R",177350,"R",32165,"R",0,"R",0,"R",97107,"R",591127,"R",897749,"R",897749,"R",0,"R",3843326,"Z",0,"R",276185,"Z",0,"R",0,"R",0,"R",0,"R",1613067,"R",0,"R",75989,"R",0,"R",126587,"B",,"B",,"R",440014,"R",6375168,"R",885393,"R",605380,"R",58958,"R",178724,"Z",0,"Z",0,"R",42331,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",530539,"R",150041,"R",14613,"R",54947,"R",258866,"Z",0,"R",52072,"R",1973172,"R",663170,"R",64587,"R",258319,"R",62755,"Z",0,"R",924341,"R",961072,"R",331705,"R",32305,"R",10303,"R",11767,"R",108952,"R",466040,"R",799990,"R",121483,"R",11831,"R",51513,"R",58833,"Z",0,"R",556330,"R",688234,"B",,"B",,"B",,"B",,"B",,"R",688234,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",194477,"R",18940,"R",-553806,"Z",0,"Z",0,"R",340389,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5838400,"R",2066256,"R",201234,"B",,"R",392221,"R",108952,"R",3069737,"R",39277,"R",806098, 1
101675,"R",12612225,"R",55742554,"R",20691342,"R",26522461,"R",8528751,"R",2346442,"R",35051212,"R",1711039,"R",49034770,"R",11371457,"Z",0,"R",19117753,"R",18373152,"R",0,"R",744601,"R",34306611,"R",0,"R",35051212,"R",4888588,"R",434916,"R",220782,"R",32209,"R",164788,"R",1084376,"R",6825659,"R",2404897,"Z",0,"R",8484992,"Z",0,"Z",0,"Z",0,"R",3612669,"R",156749,"Z",0,"R",1505500,"Z",0,"R",677273,"Z",0,"R",4415232,"Z",0,"R",262338,"R",3000,"R",19117753,"R",8419772,"R",4156691,"R",514919,"R",1773294,"R",954851,"Z",0,"R",1020017,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",340758,"R",140160,"R",20523,"R",71767,"R",38644,"Z",0,"R",69664,"R",1247973,"R",312059,"R",47301,"R",262837,"R",141527,"Z",0,"R",484249,"R",2089783,"R",757483,"R",115073,"R",440131,"R",236993,"Z",0,"R",540103,"R",3682170,"R",1152807,"R",137038,"R",775505,"R",417579,"Z",0,"R",1199241,"R",2592696,"R",567951,"R",56043,"R",546049,"R",294027,"Z",0,"R",1128626,"R",0,"B",,"B",,"B",,"B",,"B",,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"B",,"Z",0,"Z",0,"R",-3869583,"Z",0,"Z",0,"R",3869583,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18373152,"R",7087151,"R",890897,"B",,"R",2083621,"Z",0,"R",8311483,"R",6234569,"R",7546486, 1
101693,"R",9846966,"R",39854330,"R",18523926,"R",8564140,"R",12766264,"R",9386094,"R",21330404,"R",812038,"R",24072299,"R",9051653,"R",0,"R",19878794,"R",18564459,"R",0,"R",1314335,"R",20016069,"R",0,"R",21330404,"R",2004782,"R",240195,"R",112140,"R",0,"R",1064184,"R",3591132,"R",7012433,"R",4825116,"R",0,"R",10827566,"R",0,"R",0,"R",0,"R",240195,"R",0,"R",0,"R",5082289,"R",0,"R",654594,"R",0,"R",2952894,"R",0,"R",0,"R",121256,"R",19878794,"R",8197464,"R",4905492,"R",1518597,"R",665000,"R",384906,"R",210086,"R",513383,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",920163,"R",367012,"R",107551,"R",133709,"R",77392,"R",42241,"R",192258,"R",1394823,"R",828591,"R",214598,"R",54443,"R",31512,"R",17200,"R",248479,"R",3567393,"R",1640598,"R",463279,"R",236338,"R",136794,"R",74664,"R",1015720,"R",4484616,"R",795359,"R",220658,"R",996457,"R",576756,"R",314798,"R",1580588,"R",0,"B",,"B",,"B",,"B",,"B",,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"B",,"Z",0,"Z",0,"R",-2085947,"Z",0,"Z",0,"R",2085947,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18564459,"R",8537052,"R",2524683,"B",,"R",1207360,"R",658989,"R",5636375,"R",8897263,"R",9913787, 1
