UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XCMPFEE1,CMPFEE1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XCMPFEE2,CMPFEE2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XCMPFEE3,CMPFEE3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,XCMP1AY0,CMP1AY0,XCMP1AY1,CMP1AY1,XCMP1AY2,CMP1AY2,XCMP1AY3,CMP1AY3,CMP1GTD,XCMP2AY0,CMP2AY0,XCMP2AY1,CMP2AY1,XCMP2AY2,CMP2AY2,XCMP2AY3,CMP2AY3,CMP2GTD,XCMP3AY0,CMP3AY0,XCMP3AY1,CMP3AY1,XCMP3AY2,CMP3AY2,XCMP3AY3,CMP3AY3,CMP3GTD 
100858,"R",6240,"R",732,"R",258,"A",.,"R",6240,"R",732,"R",258,"A",.,"R",18720,"R",732,"R",774,"A",.,"R",6240,"R",652,"R",258,"R",6240,"R",652,"R",258,"R",18720,"R",652,"R",774,"R",5000,"R",496,"R",5496,"R",5250,"R",584,"R",5834,"R",5880,"R",620,"R",6500,"R",6240,"R",732,"R",6972,.,.,"R",5000,"R",496,"R",5496,"R",5250,"R",584,"R",5834,"R",5880,"R",620,"R",6500,"R",6240,"R",732,"R",6972,.,.,"R",15000,"R",496,"R",15496,"R",15750,"R",584,"R",16334,"R",17640,"R",620,"R",18260,"R",18720,"R",732,"R",19452,.,.,"R",1100,"R",1100,"R",1100,"R",1100,"R",7564,"R",7466,"R",7968,"R",8972,"R",2304,"R",2350,"R",2398,"R",2446,"R",7564,"R",7466,"R",7968,"R",8972,"R",2484,"R",2350,"R",2398,"R",2446,"R",2304,"R",2350,"R",2398,"R",2446,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
100937,"R",25800,"R",946,"R",1075,"A",.,"R",25800,"R",946,"R",1075,"A",.,"R",25800,"R",946,"R",1075,"A",.,"R",16600,"R",278,"R",692,"R",16600,"R",278,"R",692,"R",16600,"R",278,"R",692,"R",22260,"R",680,"R",22940,"R",23600,"R",700,"R",24300,"R",24780,"R",806,"R",25586,"R",25800,"R",946,"R",26746,.,.,"R",22260,"R",680,"R",22940,"R",23600,"R",700,"R",24300,"R",24780,"R",806,"R",25586,"R",25800,"R",946,"R",26746,.,.,"R",22260,"R",680,"R",22940,"R",23600,"R",700,"R",24300,"R",24780,"R",806,"R",25586,"R",25800,"R",946,"R",26746,.,.,"R",1000,"R",1000,"R",1100,"R",1100,"R",7894,"R",8273,"R",9105,"R",9800,"R",680,"R",800,"R",900,"R",1000,"R",7894,"R",8273,"R",9105,"R",9236,"R",700,"R",800,"R",900,"R",1000,"R",450,"R",500,"R",600,"R",700,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
101028,"R",2130,"R",810,"R",71,"A",.,"R",2130,"R",810,"R",71,"A",.,"R",4260,"R",810,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",810,"R",2940,.,.,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",810,"R",2940,.,.,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,"R",4260,"R",810,"R",5070,.,.,"R",800,"R",800,"R",800,"R",800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5400,"R",5400,"R",5400,"R",5400,"R",1800,"R",1800,"R",1800,"R",1800,"R",1800,"R",1800,"R",1800,"R",1800,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
101073,"R",7200,"R",170,"R",300,"A",.,"R",7200,"R",170,"R",300,"A",.,"R",7200,"R",170,"R",300,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6000,"R",196,"R",6196,"R",6000,"R",216,"R",6216,"R",6000,"R",100,"R",6100,"R",7200,"R",170,"R",7370,.,.,"R",6000,"R",196,"R",6196,"R",6000,"R",216,"R",6216,"R",6000,"R",100,"R",6100,"R",7200,"R",170,"R",7370,.,.,"R",6000,"R",196,"R",6196,"R",6000,"R",216,"R",6216,"R",6000,"R",100,"R",6100,"R",7200,"R",170,"R",7370,.,.,"R",600,"R",600,"R",750,"R",750,"R",3200,"R",3200,"R",3500,"R",3700,"R",2000,"R",2726,"R",3270,"R",3270,"R",1000,"R",2700,"R",3240,"R",3240,"R",2000,"R",2600,"R",3120,"R",3120,"R",1000,"R",1600,"R",1920,"R",1920,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
101116,"R",14685,"R",0,"R",340,"A",.,"R",14685,"Z",0,"R",340,"A",.,"R",14685,"Z",0,"R",340,"A",.,"R",13815,"R",0,"R",674,"R",13815,"Z",0,"R",674,"R",13815,"Z",0,"R",674,"R",11850,"R",0,"R",11850,"R",12570,"R",0,"R",12570,"R",14085,"R",0,"R",14085,"R",14685,"R",0,"R",14685,.,.,"R",11850,"R",0,"R",11850,"R",12570,"R",0,"R",12570,"R",14085,"R",0,"R",14085,"R",14685,"R",0,"R",14685,.,.,"R",11850,"R",0,"R",11850,"R",12570,"R",0,"R",12570,"R",14085,"R",0,"R",14085,"R",14685,"R",0,"R",14685,.,.,"R",900,"R",900,"R",1200,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8190,"R",8700,"R",8274,"R",8469,"R",6750,"R",5100,"R",5355,"R",5769,"R",4500,"R",5100,"R",5355,"R",5769,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
101143,"R",2130,"R",570,"R",71,"A",.,"R",2130,"R",570,"R",71,"A",.,"R",4260,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,.,.,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,.,.,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,.,.,"R",800,"R",800,"R",800,"R",800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5400,"R",5400,"R",5400,"R",5400,"R",2696,"R",2696,"R",2696,"R",2693,"R",2696,"R",2696,"R",2696,"R",2696,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
101161,"R",2130,"R",660,"R",71,"A",.,"R",2130,"R",660,"R",71,"A",.,"R",4260,"R",660,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2130,"R",660,"R",2790,"R",2130,"R",660,"R",2790,"R",2130,"R",660,"R",2790,"R",2130,"R",660,"R",2790,.,.,"R",2130,"R",660,"R",2790,"R",2130,"R",660,"R",2790,"R",2130,"R",660,"R",2790,"R",2130,"R",660,"R",2790,.,.,"R",4260,"R",660,"R",4920,"R",4260,"R",660,"R",4920,"R",4260,"R",660,"R",4920,"R",4260,"R",660,"R",4920,.,.,"R",1000,"R",1000,"R",1000,"R",1000,"R",4050,"R",4050,"R",4050,"R",4800,"R",1700,"R",1700,"R",1700,"R",1700,"R",3000,"R",3000,"R",3000,"R",3000,"R",1900,"R",1900,"R",1900,"R",1900,"R",1500,"R",1500,"R",1500,"R",1500,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
101189,"R",12720,"R",970,"R",445,"A",.,"R",12720,"R",970,"R",445,"A",.,"R",12720,"R",970,"R",445,"A",.,"R",10920,"R",100,"R",455,"R",10920,"R",100,"R",455,"R",10920,"R",100,"R",455,"R",11400,"R",0,"R",11400,"R",12000,"R",0,"R",12000,"R",12720,"R",100,"R",12820,"R",12720,"R",970,"R",13690,.,.,"R",11400,"R",0,"R",11400,"R",12000,"R",0,"R",12000,"R",12720,"R",100,"R",12820,"R",12720,"R",970,"R",13690,.,.,"R",11400,"R",0,"R",11400,"R",12000,"R",0,"R",12000,"R",12720,"R",100,"R",12820,"R",12720,"R",970,"R",13690,.,.,"R",1200,"R",1200,"R",1600,"R",1600,"R",5400,"R",6300,"R",6350,"R",6570,"R",2700,"R",2800,"R",3050,"R",3050,"R",5400,"R",6300,"R",6300,"R",6520,"R",2700,"R",3000,"R",3750,"R",3750,"R",2700,"R",3000,"R",3750,"R",3750,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
101240,"R",2130,"R",570,"R",71,"A",.,"R",2130,"R",570,"R",71,"A",.,"R",4260,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,.,.,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,.,.,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,.,.,"R",800,"R",800,"R",800,"R",800,"R",2800,"R",2800,"R",3200,"R",3200,"R",825,"R",825,"R",825,"R",825,"R",4500,"R",4500,"R",4500,"R",4500,"R",2917,"R",2917,"R",2917,"R",2917,"R",2917,"R",2917,"R",2917,"R",2917,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
101286,"R",2130,"R",570,"R",71,"A",.,"R",2130,"R",570,"R",71,"A",.,"R",4260,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,.,.,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,"R",2130,"R",570,"R",2700,.,.,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,"R",4260,"R",570,"R",4830,.,.,"R",1900,"R",1900,"R",1900,"R",1900,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2983,"R",2983,"R",2983,"R",2983,"R",1467,"R",1467,"R",1467,"R",1467,"R",1467,"R",1467,"R",1467,"R",1467,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
