UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XCMPFEE1,CMPFEE1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XCMPFEE2,CMPFEE2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XCMPFEE3,CMPFEE3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,XCMP1AY0,CMP1AY0,XCMP1AY1,CMP1AY1,XCMP1AY2,CMP1AY2,XCMP1AY3,CMP1AY3,CMP1GTD,XCMP2AY0,CMP2AY0,XCMP2AY1,CMP2AY1,XCMP2AY2,CMP2AY2,XCMP2AY3,CMP2AY3,CMP2GTD,XCMP3AY0,CMP3AY0,XCMP3AY1,CMP3AY1,XCMP3AY2,CMP3AY2,XCMP3AY3,CMP3AY3,CMP3GTD 
160685,"R",630,"R",434,"R",26,"A",.,"R",630,"R",434,"R",26,"A",.,"R",1260,"R",434,"R",53,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",552,"R",414,"R",966,"R",552,"R",414,"R",966,"R",590,"R",434,"R",1024,"R",630,"R",434,"R",1064,.,.,"R",552,"R",414,"R",966,"R",552,"R",414,"R",966,"R",590,"R",434,"R",1024,"R",630,"R",434,"R",1064,.,.,"R",1104,"R",414,"R",1518,"R",1104,"R",414,"R",1518,"R",1181,"R",434,"R",1615,"R",1260,"R",434,"R",1694,.,.,"R",1000,"R",1200,"R",1500,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7632,"R",7661,"R",7731,"R",8236,"R",3047,"R",3161,"R",3231,"R",3398,"R",3047,"R",3161,"R",3231,"R",3398,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160694,"R",630,"R",344,"R",26,"A",.,"R",630,"R",344,"R",26,"A",.,"R",1260,"R",344,"R",53,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",552,"R",234,"R",786,"R",552,"R",234,"R",786,"R",590,"R",234,"R",824,"R",630,"R",344,"R",974,.,.,"R",552,"R",234,"R",786,"R",552,"R",234,"R",786,"R",590,"R",234,"R",824,"R",630,"R",344,"R",974,.,.,"R",1104,"R",234,"R",1338,"R",1104,"R",234,"R",1338,"R",1181,"R",234,"R",1415,"R",1260,"R",344,"R",1604,.,.,"R",1000,"R",1100,"R",1200,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7632,"R",8013,"R",7814,"R",8236,"R",3047,"R",3199,"R",3224,"R",3398,"R",3047,"R",3199,"R",3224,"R",3398,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160719,"R",630,"R",234,"R",26,"A",.,"R",630,"R",234,"R",26,"A",.,"R",1260,"R",234,"R",53,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",552,"R",234,"R",786,"R",552,"R",234,"R",786,"R",590,"R",234,"R",824,"R",630,"R",234,"R",864,.,.,"R",552,"R",234,"R",786,"R",552,"R",234,"R",786,"R",590,"R",234,"R",824,"R",630,"R",234,"R",864,.,.,"R",1104,"R",124,"R",1228,"R",1104,"R",234,"R",1338,"R",1181,"R",234,"R",1415,"R",1260,"R",234,"R",1494,.,.,"R",1000,"R",1000,"R",1000,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7632,"R",7632,"R",7632,"R",8236,"R",3047,"R",3197,"R",3347,"R",3398,"R",3047,"R",3197,"R",3347,"R",3398,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160755,"R",37200,"R",3384,"R",1550,"A",.,"R",37200,"R",3384,"R",1550,"A",.,"R",37200,"R",3384,"R",1550,"A",.,"R",39000,"R",1644,"R",2167,"R",39000,"R",1644,"R",2167,"R",39000,"R",1644,"R",2167,"R",31900,"R",2996,"R",34896,"R",33500,"R",3110,"R",36610,"R",35500,"R",3164,"R",38664,"R",37200,"R",3384,"R",40584,.,.,"R",31900,"R",2996,"R",34896,"R",33500,"R",3110,"R",36610,"R",35500,"R",3164,"R",38664,"R",37200,"R",3384,"R",40584,.,.,"R",31900,"R",2996,"R",34896,"R",33500,"R",3110,"R",36610,"R",35500,"R",3164,"R",38664,"R",37200,"R",3384,"R",40584,.,.,"R",800,"R",900,"R",1200,"R",1200,"R",8680,"R",8690,"R",9230,"R",9520,"R",800,"R",900,"R",936,"R",936,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160816,"R",630,"R",389,"R",26,"A",.,"R",630,"R",389,"R",26,"A",.,"R",1260,"R",389,"R",53,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",552,"R",389,"R",941,"R",552,"R",389,"R",941,"R",590,"R",389,"R",979,"R",630,"R",389,"R",1019,.,.,"R",552,"R",389,"R",941,"R",552,"R",389,"R",941,"R",590,"R",389,"R",979,"R",630,"R",389,"R",1019,.,.,"R",1104,"R",389,"R",1493,"R",1104,"R",389,"R",1493,"R",1181,"R",389,"R",1570,"R",1260,"R",389,"R",1649,.,.,"R",1000,"R",1000,"R",1200,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7632,"R",7632,"R",7632,"R",8236,"R",3047,"R",3047,"R",3047,"R",3398,"R",3047,"R",3047,"R",3047,"R",3398,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160843,"R",630,"R",344,"R",26,"A",.,"R",630,"R",344,"R",26,"A",.,"R",1260,"R",344,"R",53,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",552,"R",344,"R",896,"R",552,"R",344,"R",896,"R",590,"R",344,"R",934,"R",630,"R",344,"R",974,.,.,"R",552,"R",344,"R",896,"R",552,"R",344,"R",896,"R",590,"R",344,"R",934,"R",630,"R",344,"R",974,.,.,"R",1104,"R",344,"R",1448,"R",1104,"R",344,"R",1448,"R",1184,"R",344,"R",1528,"R",1260,"R",344,"R",1604,.,.,"R",1000,"R",1200,"R",1200,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7632,"R",7661,"R",7814,"R",8236,"R",3047,"R",3161,"R",3224,"R",3398,"R",3047,"R",3161,"R",3224,"R",3398,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160870,"R",630,"R",212,"R",26,"A",.,"R",630,"R",212,"R",26,"A",.,"R",1260,"R",212,"R",53,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",552,"R",197,"R",749,"R",552,"R",197,"R",749,"R",590,"R",212,"R",802,"R",630,"R",212,"R",842,.,.,"R",552,"R",197,"R",749,"R",552,"R",197,"R",749,"R",590,"R",212,"R",802,"R",630,"R",212,"R",842,.,.,"R",1104,"R",197,"R",1301,"R",1104,"R",197,"R",1301,"R",1181,"R",212,"R",1393,"R",1260,"R",212,"R",1472,.,.,"R",1000,"R",1100,"R",1200,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7517,"R",7517,"R",7814,"R",8236,"R",3166,"R",3500,"R",3500,"R",3398,"R",3166,"R",3500,"R",3000,"R",3398,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160904,"R",15300,"R",1000,"R",700,"A",.,"R",15300,"R",1000,"R",700,"A",.,"R",15300,"R",1000,"R",700,"A",.,"R",3000,"R",1200,"R",250,"R",3000,"R",1200,"R",250,"R",3000,"R",1200,"R",250,"R",12900,"R",1000,"R",13900,"R",13700,"R",1000,"R",14700,"R",14500,"R",1000,"R",15500,"R",15300,"R",1000,"R",16300,.,.,"R",12900,"R",1000,"R",13900,"R",13700,"R",1000,"R",14700,"R",14500,"R",1000,"R",15500,"R",15300,"R",1000,"R",16300,.,.,"R",12900,"R",1000,"R",13900,"R",13700,"R",1000,"R",14700,"R",14500,"R",1000,"R",15500,"R",15300,"R",1000,"R",16300,.,.,"R",1000,"R",1200,"R",1200,"R",1200,"R",6500,"R",6600,"R",6800,"R",7000,"R",1631,"R",1692,"R",1726,"R",1819,"R",7632,"R",7661,"R",7814,"R",8236,"R",1631,"R",1692,"R",1726,"R",1819,"R",1631,"R",1692,"R",1726,"R",1819,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160913,"R",630,"R",334,"R",26,"A",.,"R",630,"R",334,"R",26,"A",.,"R",1260,"R",334,"R",53,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",552,"R",214,"R",766,"R",552,"R",214,"R",766,"R",590,"R",214,"R",804,"R",630,"R",334,"R",964,.,.,"R",552,"R",214,"R",766,"R",552,"R",214,"R",766,"R",590,"R",214,"R",804,"R",630,"R",334,"R",964,.,.,"R",1104,"R",214,"R",1318,"R",1104,"R",214,"R",1318,"R",1181,"R",214,"R",1395,"R",1260,"R",334,"R",1594,.,.,"R",1000,"R",1000,"R",1200,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7367,"R",7367,"R",7814,"R",8236,"R",2941,"R",2941,"R",3224,"R",3398,"R",2941,"R",2941,"R",3224,"R",3398,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160940,"R",11566,"R",1030,"R",284,"A",.,"R",11566,"R",1030,"R",284,"A",.,"R",11566,"R",1030,"R",284,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7500,"R",700,"R",8200,"R",9001,"R",805,"R",9806,"R",10224,"R",910,"R",11134,"R",11566,"R",1030,"R",12596,.,.,"R",7500,"R",700,"R",8200,"R",9001,"R",805,"R",9806,"R",10224,"R",910,"R",11134,"R",11566,"R",1030,"R",12596,.,.,"R",7500,"R",700,"R",8200,"R",9001,"R",805,"R",9806,"R",10224,"R",910,"R",11134,"R",11566,"R",1030,"R",12596,.,.,"R",1200,"R",1500,"R",1620,"R",1700,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9100,"R",9350,"R",8649,"R",8442,"R",5010,"R",5150,"R",4770,"R",8793,"R",3290,"R",3380,"R",3132,"R",5301,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160959,"R",32580,"R",480,"R",1086,"A",.,"R",32580,"R",480,"R",1086,"A",.,"R",32580,"R",480,"R",1086,"A",.,"R",21690,"R",480,"A",.,"R",21690,"R",480,"A",.,"R",21690,"R",480,"A",.,"R",27705,"R",435,"R",28140,"R",29520,"R",450,"R",29970,"R",30987,"R",480,"R",31467,"R",32580,"R",480,"R",33060,.,.,"R",27705,"R",435,"R",28140,"R",29520,"R",450,"R",29970,"R",30987,"R",480,"R",31467,"R",32580,"R",480,"R",33060,.,.,"R",27705,"R",435,"R",28140,"R",29520,"R",450,"R",29970,"R",30987,"R",480,"R",31467,"R",32580,"R",480,"R",33060,.,.,"R",525,"R",600,"R",600,"R",600,"R",7710,"R",8190,"R",8490,"R",8490,"R",585,"R",645,"R",1080,"R",1080,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160968,"R",12300,"R",100,"R",410,"A",.,"R",12300,"R",100,"R",410,"A",.,"R",12300,"R",100,"R",410,"A",.,"R",12300,"R",100,"R",410,"R",12300,"R",100,"R",410,"R",12300,"R",100,"R",410,"R",10800,"R",50,"R",10850,"R",11100,"R",50,"R",11150,"R",11700,"R",50,"R",11750,"R",12300,"R",100,"R",12400,.,.,"R",10800,"R",50,"R",10850,"R",11100,"R",50,"R",11150,"R",11700,"R",50,"R",11750,"R",12300,"R",100,"R",12400,.,.,"R",10800,"R",50,"R",10850,"R",11100,"R",50,"R",11150,"R",11700,"R",50,"R",11750,"R",12300,"R",100,"R",12400,.,.,"R",850,"R",850,"R",850,"R",850,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12811,"R",13196,"R",13596,"R",14000,"R",8022,"R",8115,"R",8211,"R",8310,"R",8022,"R",8115,"R",8211,"R",8310,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
160977,"A",.,"A",.,"A",.,"R",51300,"A",.,"A",.,"A",.,"R",51300,"A",.,"A",.,"A",.,"R",51300,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"R",800,"R",800,"R",800,"R",800,"A",.,"A",.,"A",.,"A",.,"R",1250,"R",1250,"R",1250,"R",1250,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",44350,"R",46800,"R",49350,"R",51300,.,"R",44350,"R",46800,"R",49350,"R",51300,-2,"R",44350,"R",46800,"R",49350,"R",51300,-2,
161004,"R",39605,"R",415,"R",774,"A",.,"R",39605,"R",415,"R",774,"A",.,"R",39605,"R",415,"R",774,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",34280,"R",360,"R",34640,"R",35990,"R",380,"R",36370,"R",37790,"R",400,"R",38190,"R",39605,"R",415,"R",40020,.,.,"R",34280,"R",360,"R",34640,"R",35990,"R",380,"R",36370,"R",37790,"R",400,"R",38190,"R",39605,"R",415,"R",40020,.,.,"R",34280,"R",360,"R",34640,"R",35990,"R",380,"R",36370,"R",37790,"R",400,"R",38190,"R",39605,"R",415,"R",40020,.,.,"R",800,"R",800,"R",800,"R",800,"R",9310,"R",9890,"R",10380,"R",10880,"R",1200,"R",1200,"R",1200,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
161022,"R",6279,"R",1410,"R",182,"A",.,"R",6279,"R",1410,"R",182,"A",.,"R",6279,"R",1410,"R",182,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3080,"R",1340,"R",4420,"R",4568,"R",1340,"R",5908,"R",6110,"R",1553,"R",7663,"R",6362,"R",1585,"R",7947,.,.,"R",3080,"R",1340,"R",4420,"R",4568,"R",1340,"R",5908,"R",6110,"R",1553,"R",7663,"R",6362,"R",1585,"R",7947,.,.,"R",3080,"R",1340,"R",4420,"R",4568,"R",1340,"R",5908,"R",6110,"R",1553,"R",7663,"R",6362,"R",1585,"R",7947,.,.,"R",2326,"R",2663,"R",2421,"R",3034,"R",3350,"R",3410,"R",3530,"R",3770,"R",1350,"R",1350,"R",1350,"R",1585,"R",6750,"R",6810,"R",7380,"R",7620,"R",2322,"R",2418,"R",2562,"R",2789,"R",2322,"R",2418,"R",2562,"R",2789,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
161059,"R",3600,"R",875,"A",.,"A",.,"R",3600,"R",875,"A",.,"A",.,"R",3600,"R",875,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3000,"R",610,"R",3610,"R",3200,"R",610,"R",3810,"R",3400,"R",710,"R",4110,"R",3600,"R",875,"R",4475,.,.,"R",3000,"R",610,"R",3610,"R",3200,"R",610,"R",3810,"R",3400,"R",710,"R",4110,"R",3600,"R",875,"R",4475,.,.,"R",3000,"R",610,"R",3610,"R",3200,"R",610,"R",3810,"R",3400,"R",710,"R",4110,"R",3600,"R",875,"R",4475,.,.,"R",800,"R",850,"R",850,"R",900,"R",7320,"R",7424,"R",8232,"R",9248,"R",1000,"R",1000,"R",1000,"R",1050,"R",9720,"R",9824,"R",10632,"R",11048,"R",2944,"R",3136,"R",3424,"R",3858,"R",2944,"R",3136,"R",3424,"R",3858,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
161077,"R",2520,"R",990,"R",84,"A",.,"R",2520,"R",990,"R",84,"A",.,"R",5040,"R",990,"R",168,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2340,"R",660,"R",3000,"R",2400,"R",960,"R",3360,"R",2460,"R",978,"R",3438,"R",2520,"R",990,"R",3510,.,.,"R",2340,"R",660,"R",3000,"R",2400,"R",960,"R",3360,"R",2460,"R",978,"R",3438,"R",2520,"R",990,"R",3510,.,.,"R",4690,"R",660,"R",5350,"R",4830,"R",960,"R",5790,"R",4920,"R",978,"R",5898,"R",5040,"R",990,"R",6030,.,.,"R",1000,"R",1000,"R",1100,"R",1400,"R",5900,"R",7376,"R",8325,"R",8506,"R",1200,"R",1300,"R",1400,"R",1500,"R",5900,"R",6000,"R",6200,"R",6300,"R",2800,"R",2900,"R",3100,"R",3200,"R",2800,"R",2900,"R",3100,"R",3200,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
161086,"A",.,"A",.,"A",.,"R",50320,"A",.,"A",.,"A",.,"R",50320,"A",.,"A",.,"A",.,"R",50320,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,"R",700,"R",700,"R",700,"R",700,"A",.,"A",.,"A",.,"A",.,"R",800,"R",900,"R",900,"R",900,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",44080,"R",46100,"R",48520,"R",50320,.,"R",44080,"R",46100,"R",48520,"R",50320,-2,"R",44080,"R",46100,"R",48520,"R",50320,-2,
161138,"R",2520,"R",687,"R",84,"A",.,"R",2520,"R",687,"R",84,"A",.,"R",5040,"R",687,"R",168,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2496,"R",1057,"R",3553,"R",2560,"R",1130,"R",3690,"R",2460,"R",675,"R",3135,"R",2520,"R",687,"R",3207,.,.,"R",2496,"R",1057,"R",3553,"R",2560,"R",1130,"R",3690,"R",2460,"R",675,"R",3135,"R",2520,"R",687,"R",3207,.,.,"R",4992,"R",1057,"R",6049,"R",5476,"R",1130,"R",6606,"R",4920,"R",675,"R",5595,"R",5040,"R",687,"R",5727,.,.,"R",800,"R",800,"R",800,"R",850,"R",6080,"R",8160,"R",8160,"R",8160,"R",200,"R",240,"R",280,"R",325,"R",6080,"R",7200,"R",7500,"R",7500,"R",200,"R",240,"R",280,"R",325,"R",200,"R",240,"R",280,"R",325,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
161165,"R",12690,"R",300,"R",423,"A",.,"R",12690,"R",300,"R",423,"A",.,"R",12690,"R",300,"R",423,"A",.,"R",4806,"Z",0,"R",267,"R",4806,"Z",0,"R",267,"R",4806,"Z",0,"R",267,"R",11220,"R",300,"R",11520,"R",11670,"R",300,"R",11970,"R",12150,"R",300,"R",12450,"R",12690,"R",300,"R",12990,.,.,"R",11220,"R",300,"R",11520,"R",11670,"R",300,"R",11970,"R",12150,"R",300,"R",12450,"R",12690,"R",300,"R",12990,.,.,"R",11220,"R",300,"R",11520,"R",11670,"R",300,"R",11970,"R",12150,"R",300,"R",12450,"R",12690,"R",300,"R",12990,.,.,"R",1100,"R",930,"R",970,"R",1000,"R",6240,"R",6500,"R",6790,"R",6994,"R",1500,"R",1490,"R",1600,"R",1700,"R",3000,"R",3120,"R",3250,"R",3500,"R",2060,"R",2060,"R",2190,"R",2300,"R",2060,"R",2060,"R",2190,"R",2300,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
161192,"R",2520,"R",594,"R",84,"A",.,"R",2520,"R",594,"R",84,"A",.,"R",5040,"R",594,"R",168,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2340,"R",509,"R",2849,"R",2400,"R",540,"R",2940,"R",2460,"R",552,"R",3012,"R",2520,"R",594,"R",3114,.,.,"R",2340,"R",509,"R",2849,"R",2400,"R",540,"R",2940,"R",2460,"R",552,"R",3012,"R",2520,"R",594,"R",3114,.,.,"R",4770,"R",509,"R",5279,"R",4830,"R",540,"R",5370,"R",4920,"R",552,"R",5472,"R",5040,"R",594,"R",5634,.,.,"R",1042,"R",1066,"R",1070,"R",1094,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7068,"R",7068,"R",7068,"R",7068,"R",3433,"R",4780,"R",4816,"R",5164,"R",3433,"R",4780,"R",4816,"R",5164,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
161208,"R",16700,"R",660,"A",.,"A",.,"R",16700,"R",660,"A",.,"A",.,"R",16700,"R",660,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13900,"R",200,"R",14100,"R",14400,"R",200,"R",14600,"R",15900,"R",412,"R",16312,"R",16700,"R",660,"R",17360,.,.,"R",13900,"R",200,"R",14100,"R",14400,"R",200,"R",14600,"R",15900,"R",412,"R",16312,"R",16700,"R",660,"R",17360,.,.,"R",13900,"R",200,"R",14100,"R",14400,"R",200,"R",14600,"R",15900,"R",412,"R",16312,"R",16700,"R",660,"R",17360,.,.,"R",2083,"R",2029,"R",2325,"R",2375,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8550,"R",7880,"R",9690,"R",10865,"R",2120,"R",2600,"R",3385,"R",3695,"R",2120,"R",2600,"R",3385,"R",3695,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
161217,"R",6000,"R",855,"R",200,"A",.,"R",6000,"R",855,"R",200,"A",.,"R",14520,"R",855,"R",484,"A",.,"A",.,"A",.,"R",200,"A",.,"A",.,"R",200,"A",.,"A",.,"R",484,"R",4710,"R",711,"R",5421,"R",5220,"R",765,"R",5985,"R",5700,"R",795,"R",6495,"R",6000,"R",855,"R",6855,.,.,"R",4710,"R",711,"R",5421,"R",5220,"R",765,"R",5985,"R",5700,"R",795,"R",6495,"R",6000,"R",855,"R",6855,.,.,"R",11400,"R",735,"R",12135,"R",12630,"R",765,"R",13395,"R",13800,"R",795,"R",14595,"R",14520,"R",855,"R",15375,.,.,"R",910,"R",910,"R",1040,"R",1040,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4926,"R",5172,"R",5172,"R",5172,"R",2800,"R",3200,"R",3600,"R",3600,"R",2800,"R",3200,"R",3600,"R",3600,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,
