unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,part,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb131","xb132","xb133","xb161","xb162","xb163","xb191","xb192","xb193","xb221","xb222","xb223","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"156578","212425","0","212425","212425","0","0","0","0","0","0","0","0","21552","0","21552","0","0","0","0","0","171684","0","171684","0","21786","0","21786","0","","","","0","0","0","0","0","0","427447","0","427447","0","0","0","0","0","0","0","0","0","427447","0","427447","212425","17153","0","0","229578","0","0","0","0","0","0","0","B",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"156620","42993995","616113","43610108","30342992","283474","481589","765063","365951","1455706","6093616","7549322","3456359","10702647","4366838","15069485","7553017","6195236","344837","6540073","3022047","8571964","35462","8607426","4814660","8449662","13874","8463536","3486712","1848684","11673500","13522184","4836502","0","4836502","449079","0","449079","85786949","23625829","109412778","15151152","246278","15397430","0","0","0","0","0","0","100938101","23872107","124810208","53041738","18288119","0","0","71329857","3306171","1788591","0","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"156727","1252420","0","1252420","592092","63830","0","63830","48676","0","0","0","0","27412","0","27412","19708","38254","0","38254","7080","564776","0","564776","180002","0","0","0","0","190112","0","190112","62216","0","62216","0","0","0","2199020","0","2199020","0","0","0","0","0","0","0","0","0","2199020","0","2199020","847558","102485","0","0","950043","1555","0","0","0","0","0","0","B",10,31,10,10,10,31,10,10,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,31,31,31,31,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,10,31,10,10,10,31,31,10,16,31,31,31,31,31,31
"156745","3910357","225199","4135556","2868196","0","0","0","0","4367","0","4367","0","655201","43901","699102","407472","1746536","213832","1960368","819855","2382904","71090","2453994","1197679","965262","17047","982309","349584","2155605","1938967","4094572","486815","0","486815","-623083","-91319","-714402","11683964","2418717","14102681","4124298","165111","4289409","0","0","0","0","0","0","15808262","2583828","18392090","5642786","1159976","0","0","6802762","200040","233113","0","0","0","0","0","B",10,10,10,10,31,31,31,31,10,31,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,31,10,10,10,10,11,11,10,10,10,10,31,31,31,31,31,31,11,11,10,10,10,31,31,10,10,10,31,31,31,31,31
"156903","234103","0","234103","234103","0","0","0","0","0","0","0","0","21552","0","21552","0","0","0","0","0","171684","0","171684","0","21786","0","21786","0","0","0","0","0","0","0","0","0","0","449125","0","449125","0","0","0","0","0","0","0","0","0","449125","0","449125","234103","18903","0","0","253006","4009","0","0","0","0","0","0","B",10,31,10,10,10,31,10,31,10,31,10,31,10,31,10,31,31,31,31,31,10,31,10,31,10,31,10,31,10,31,10,10,31,10,10,31,10,10,31,10,31,31,31,31,31,31,31,31,31,10,31,10,10,10,31,31,10,21,31,31,31,31,31,31
"157021","981051","0","981051","796906","0","0","0","0","1185","0","1185","0","464532","0","464532","230155","670471","0","670471","547871","1607097","0","1607097","798931","684947","0","684947","34247","174487","1390893","1565380","0","0","0","0","0","0","4583770","1390893","5974663","937063","0","937063","0","0","0","0","0","0","5520833","1390893","6911726","2408110","229808","0","0","2637918","188739","0","0","0","0","0","0","B",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"157030","8489","0","8489","8489","0","0","0","0","0","0","0","0","1064","0","1064","0","934","0","934","0","30930","0","30930","23250","100012","0","100012","63923","26911","69540","96451","0","0","0","0","0","0","168340","69540","237880","81303","0","81303","0","0","0","0","0","0","249643","69540","319183","95662","1415","0","0","97077","0","0","0","0","0","0","0","B",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,31,10,31,10,31,10,31,10,10,10,31,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,10,10,10,31,10,10,31,31,31,31
"157058","7306368","761873","8068241","5920830","5367","2908172","2913539","1569563","88954","3009161","3098115","1798601","1371839","411945","1783784","1085448","2187494","270994","2458488","1235014","4426674","91135","4517809","2558875","2694945","0","2694945","1478303","925484","2451663","3377147","2916890","0","2916890","1380000","-202531","1177469","23304015","9702412","33006427","3320171","0","3320171","0","0","0","0","0","0","26624186","9702412","36326598","15646634","3633804","0","0","19280438","692177","0","0","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,31,10,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"157076","2224966","225493","2450459","1800646","0","0","0","0","9236","91","9327","3042","305211","364804","670015","168948","879395","21799","901194","411593","1189656","73438","1263094","504899","609120","175949","785069","206718","2229570","1242985","3472555","428168","7186","435354","0","0","0","7875322","2111745","9987067","1386851","52513","1439364","0","0","0","0","0","0","9262173","2164258","11426431","3095846","797090","0","0","3892936","255197","0","0","0","0","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"157085","142703004","7094137","149797141","118826169","42180782","57398537","99579319","60054711","57940474","11341436","69281910","57999430","35946921","2995644","38942565","21643824","14575786","221795","14797581","11125946","26303144","575311","26878455","24704371","26680676","10378","26691054","15183714","11878720","10663308","22542028","22405662","1570397","23976059","4926789","-64375","4862414","385541958","91806568","477348526","46586900","2490281","49077181","195534965","232899","195767864","0","0","0","627663823","94529748","722193571","309538165","64150023","0","0","373688188","11527892","2203673","3887669","1438632","18431122","0","0","B",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,10,10,31,31,10,10,10,10,10,10,31,31
