UNITID,XFA01_1,FA01_1,XFA02_1,FA02_1,XFA04_1,FA04_1,XFA05_1,FA05_1,XFA06_1,FA06_1,XFA07_1,FA07_1,XFA08_1,FA08_1,XFA910_1,FA910_1,XFA11_1,FA11_1,XFA12_1,FA12_1,XFA13_1,FA13_1,XFA14_16,FA14_16,XFA17_1,FA17_1,XFAA01,FAA01,XFAA02,FAA02,XFAA03,FAA03,XFAA04,FAA04,XFAA05,FAA05,XFAA06,FAA06,XFAA07,FAA07,XFAA08,FAA08,XFAA09,FAA09,XFB01_1,FB01_1,XFB02_1,FB02_1,XFB03_1,FB03_1,XFB04_1,FB04_1,XFB05_1,FB05_1,XFB06_1,FB06_1,XFB07_1,FB07_1,XFB08_1,FB08_1,XFB910_1,FB910_1,XFB11_1,FB11_1,XFB12_1,FB12_1,XFC01,FC01,XFC02,FC02,XFC03_08,FC03_08,XFC09,FC09,XFC10,FC10,XFC11,FC11,XFC12,FC12,XFD05,FD05,XFD08,FD08,XFD17,FD17,XFD20,FD20,XFD23,FD23,XFD24,FD24,XFDC01_1,FDC01_1,XFDC02_1,FDC02_1,XFDC03_1,FDC03_1,XFDC04_1,FDC04_1 
101912,"R",9669151,"Z",0,"Z",0,"Z",0,"R",3313355,"Z",0,"Z",0,"R",7454494,"R",1149034,"R",78124,"R",4895068,"R",946388,"R",27505614,"C",1369805,"C",564157,"C",78000,"C",0,"C",147268,"C",1660164,"C",3819394,"Z",0,"Z",0,"R",5417925,"R",395803,"Z",0,"R",2575675,"R",1976441,"R",5115292,"R",4340655,"R",1163858,"C",678820,"R",3647867,"R",25312336,"R",27505614,"R",-25312336,"R",-69545,"R",2123733,"R",22330191,"Z",0,"R",24453924,"R",6950053,"R",32333486,"R",7909562,"R",17043540,"R",7380384,"R",24423924,"R",1054636,"R",18620471,"R",9590297,"Z",0,
102049,"R",43840199,"Z",0,"Z",0,"Z",0,"R",92120,"R",4167,"Z",0,"R",10385501,"R",27739957,"Z",0,"R",10909168,"R",3586404,"R",96557516,"C",549905,"C",280591,"C",0,"C",0,"C",0,"C",0,"C",830496,"Z",0,"Z",0,"R",27282654,"R",8935,"R",1201182,"R",6011850,"R",7542040,"R",7092015,"R",6741446,"R",8417797,"R",0,"R",12163508,"R",76461427,"R",96557516,"R",-76461427,"R",-399545,"R",19696544,"R",213658123,"Z",0,"R",233354667,"R",188838459,"R",305917562,"R",72562895,"R",139511016,"R",93843651,"R",233354667,"R",16504946,"R",88894986,"R",30750189,"Z",0,
102216,"R",417135,"R",0,"R",0,"R",0,"R",90920,"R",0,"R",0,"R",58518,"R",0,"R",0,"R",2768,"R",0,"R",569341,"C",159209,"C",0,"C",34816,"C",0,"C",0,"C",0,"C",194025,"R",194025,"Z",0,"R",56611,"C",0,"R",22912,"R",194751,"R",57280,"R",95466,"R",11455,"R",34816,"C",0,"R",74766,"R",548057,"R",569341,"R",-548057,"Z",0,"R",21284,"R",192549,"R",2,"R",213835,"Z",0,"R",531889,"R",318054,"R",213835,"Z",0,"R",213835,"R",12000,"R",50100,"R",189953,"Z",0,
102234,"R",8609918,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3411084,"R",1161840,"Z",0,"R",4766238,"R",517795,"R",18466875,"C",459362,"C",198988,"C",0,"C",0,"C",0,"C",4792706,"C",5451056,"R",4792706,"R",0,"R",5456008,"Z",0,"R",419287,"R",1269249,"R",2886455,"R",2769774,"R",4658505,"R",267919,"Z",0,"Z",0,"R",17727197,"R",18466875,"R",-17727197,"R",5201388,"R",5941066,"R",24323506,"R",5746897,"R",36011469,"R",23762790,"R",57176628,"R",21165159,"R",23368909,"R",12642560,"R",36011469,"R",2706327,"R",18522104,"R",10777431,"Z",0,
102261,"R",598280,"Z",0,"Z",0,"Z",0,"R",158704,"R",8772,"Z",0,"R",687383,"R",42384,"Z",0,"R",414954,"R",72580,"R",1983057,"C",149326,"C",9378,"C",8772,"C",0,"C",62309,"C",111975,"C",341760,"Z",0,"Z",0,"R",334202,"C",0,"C",0,"R",56020,"R",274178,"R",665239,"R",357209,"C",0,"C",0,"R",388891,"R",2075739,"R",1983057,"R",-2075739,"R",33868,"R",-58814,"R",4011844,"Z",0,"R",3953030,"R",1140459,"R",4859423,"R",906393,"R",3026783,"R",926247,"R",3953030,"R",2000000,"R",1927827,"R",626674,"Z",0,
102270,"R",5366668,"Z",0,"Z",0,"Z",0,"R",6183353,"R",171495,"Z",0,"R",2064473,"R",2925561,"R",5150,"R",2100074,"R",390370,"R",19207144,"C",1514867,"C",932967,"C",0,"C",1108463,"C",0,"C",0,"C",3556297,"Z",0,"Z",0,"R",3738319,"C",0,"R",534849,"R",1506011,"R",928353,"R",2391251,"R",2590544,"R",3577577,"C",0,"R",1377050,"R",16643954,"R",19207144,"R",-16643954,"Z",0,"R",2563190,"R",26920155,"Z",0,"R",29483345,"R",21291866,"R",34634446,"R",5151101,"R",5189538,"R",24293807,"R",29483345,"R",205968,"R",8629236,"R",4183271,"Z",0,
102298,"R",3706825,"R",0,"R",417638,"R",0,"R",5979974,"R",22400,"R",0,"R",2598885,"R",471238,"Z",0,"R",2005004,"R",197358,"R",15399322,"C",937931,"C",5042043,"C",22400,"C",0,"C",0,"C",0,"C",6002374,"Z",0,"Z",0,"R",1833727,"R",684089,"R",653038,"R",1028746,"R",1283464,"R",2495066,"R",1200537,"R",2531189,"C",464101,"R",3165750,"R",15339707,"R",15399322,"R",-15339707,"Z",0,"R",59615,"R",13286866,"Z",0,"R",13346481,"R",7244133,"R",16584970,"R",3238489,"R",4104931,"R",9241550,"R",13346481,"Z",0,"Z",0,"Z",0,"Z",0,
102377,"N",7863431,"N",0,"N",11403998,"N",1351566,"N",13115853,"N",1127118,"N",0,"N",12027151,"N",0,"N",0,"N",5346070,"N",16311813,"N",68547000,"N",0,"N",107907,"N",0,"N",0,"N",182500,"N",0,"N",290407,"N",182500,"N",0,"N",28597968,"N",17241333,"N",1427776,"N",4298658,"N",707357,"N",6428052,"N",2674000,"N",0,"N",0,"N",6914815,"N",68289959,"N",68547000,"N",-68289959,"N",0,"N",257041,"N",27497661,"N",-773348,"N",26981354,"N",900548,"N",79534152,"N",59817068,"N",19717084,"N",7264270,"N",26981354,"N",8606919,"N",52073105,"N",39254142,"N",0,
102395,"R",1462403,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",344034,"R",900125,"Z",0,"R",150608,"R",93981,"R",2951151,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",802499,"C",0,"C",0,"R",534560,"R",281165,"R",733103,"R",82998,"R",20844,"C",0,"R",453690,"R",2908859,"R",2951151,"R",-2908859,"R",-203,"R",42089,"R",8677995,"R",42089,"R",8762173,"R",5139402,"R",9093979,"R",331806,"R",8762173,"R",0,"R",8762173,"R",875000,"R",3126244,"R",1320612,"Z",0,
102669,"R",2789818,"Z",0,"Z",0,"Z",0,"R",58756,"Z",0,"Z",0,"R",1672953,"R",3156762,"Z",0,"R",1077623,"R",273415,"R",9029327,"C",124858,"C",63713,"C",0,"C",0,"C",85221,"C",574865,"R",848657,"R",566279,"R",0,"R",2649094,"Z",0,"Z",0,"R",255706,"R",1161035,"R",1620411,"R",1654365,"Z",0,"Z",0,"R",0,"R",7340611,"R",9029327,"R",-7340611,"R",-1200779,"R",487937,"R",22227632,"R",0,"R",22715569,"R",33937581,"R",45410801,"R",22695232,"R",21500931,"R",1214638,"R",22715569,"R",836600,"R",14027326,"R",1746367,"Z",0,
