UNITID,XFA01_1,FA01_1,XFA02_1,FA02_1,XFA04_1,FA04_1,XFA05_1,FA05_1,XFA06_1,FA06_1,XFA07_1,FA07_1,XFA08_1,FA08_1,XFA910_1,FA910_1,XFA11_1,FA11_1,XFA12_1,FA12_1,XFA13_1,FA13_1,XFA14_16,FA14_16,XFA17_1,FA17_1,XFAA01,FAA01,XFAA02,FAA02,XFAA03,FAA03,XFAA04,FAA04,XFAA05,FAA05,XFAA06,FAA06,XFAA07,FAA07,XFAA08,FAA08,XFAA09,FAA09,XFB01_1,FB01_1,XFB02_1,FB02_1,XFB03_1,FB03_1,XFB04_1,FB04_1,XFB05_1,FB05_1,XFB06_1,FB06_1,XFB07_1,FB07_1,XFB08_1,FB08_1,XFB910_1,FB910_1,XFB11_1,FB11_1,XFB12_1,FB12_1,XFC01,FC01,XFC02,FC02,XFC03_08,FC03_08,XFC09,FC09,XFC10,FC10,XFC11,FC11,XFC12,FC12,XFD05,FD05,XFD08,FD08,XFD17,FD17,XFD20,FD20,XFD23,FD23,XFD24,FD24,XFDC01_1,FDC01_1,XFDC02_1,FDC02_1,XFDC03_1,FDC03_1,XFDC04_1,FDC04_1 
125897,"R",13122820,"Z",0,"Z",0,"Z",0,"R",781386,"R",777598,"Z",0,"R",319642,"R",337389,"Z",0,"R",722218,"R",345122,"R",16406175,"C",583669,"C",197717,"C",777598,"C",0,"C",0,"C",0,"C",1558984,"Z",0,"Z",0,"R",3916418,"C",0,"C",0,"R",970641,"R",1319759,"R",2742164,"R",412606,"R",3650903,"C",0,"R",2307858,"R",15320349,"R",16406175,"R",-15320349,"R",43088,"R",1128914,"R",16416425,"Z",0,"R",17545339,"R",3861766,"R",28482919,"R",10937580,"R",15882642,"R",1662697,"R",17545339,"R",8316795,"R",14046184,"R",4927663,"R",319286,
126012,"N",15304465,"N",0,"N",0,"N",0,"N",1285961,"N",8639,"N",0,"N",3991492,"N",6704637,"N",0,"N",4842927,"N",848047,"N",32986168,"N",619439,"N",1285961,"N",8639,"N",0,"N",7272426,"N",0,"N",9186465,"N",7272426,"N",0,"N",9704983,"N",112171,"N",329799,"N",1370171,"N",2118619,"N",3480307,"N",3183832,"N",854387,"N",0,"N",4208626,"N",25362895,"N",32986168,"N",-25362895,"N",-13303,"N",7609970,"N",51198186,"N",0,"N",58808156,"N",44289630,"N",86591088,"N",27782933,"N",32925610,"N",25882546,"N",58808156,"N",5049839,"N",26698379,"N",8928928,"N",0,
126076,"N",27888,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",381720,"N",58802,"N",0,"N",1581,"N",0,"N",469991,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",87118,"N",0,"N",0,"N",100390,"N",25516,"N",156435,"N",186335,"N",0,"N",0,"N",0,"N",555794,"N",469991,"N",-555794,"N",-8154,"N",-93957,"N",2376095,"N",0,"N",2282138,"N",14618,"N",2503789,"N",17177,"N",2486612,"N",0,"N",2486612,"N",193421,"N",5358047,"N",1072970,"N",0,
126669,"R",15169926,"R",0,"R",0,"R",0,"R",140817,"R",0,"R",0,"R",1704306,"R",1489053,"Z",0,"R",1473426,"R",318106,"R",20295634,"R",677994,"R",149533,"C",0,"C",0,"C",0,"C",0,"C",827527,"Z",0,"Z",0,"R",12475643,"Z",0,"R",1450814,"R",676052,"Z",0,"R",3620581,"R",1559682,"Z",0,"Z",0,"R",0,"R",19782772,"R",20295634,"R",-19782772,"R",3952,"R",516814,"R",9343188,"Z",0,"R",9860002,"R",7937195,"R",20992059,"R",11132057,"R",9363997,"R",496005,"R",9860002,"R",501177,"R",6223190,"R",4042388,"Z",0,
126678,"R",27969317,"Z",0,"Z",0,"Z",0,"R",966172,"R",500246,"Z",0,"R",10655054,"R",52225097,"Z",0,"R",10340437,"R",2242933,"R",104899256,"C",450938,"C",418138,"C",500246,"C",0,"C",6370631,"C",6049065,"C",947345,"R",28746594,"Z",0,"R",22837006,"R",184474,"R",656121,"R",4119924,"R",6910619,"R",6985311,"R",9279405,"R",207454,"Z",0,"R",0,"R",51180314,"R",104899256,"R",-51180314,"R",-931873,"R",52787069,"R",298653767,"Z",0,"R",351440836,"R",289710099,"R",381727154,"R",30286318,"R",268241243,"R",83199593,"R",351440836,"R",1446896,"R",61904925,"R",12038368,"Z",0,
126979,"R",1805944,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1398916,"R",625865,"Z",0,"R",784046,"Z",0,"R",4614771,"C",0,"C",0,"C",0,"C",0,"C",29650,"C",168987,"C",198637,"R",198637,"Z",0,"R",1282486,"C",0,"R",26863,"R",778646,"R",449540,"R",1198117,"R",387360,"C",0,"C",0,"R",312382,"R",4435394,"R",4614771,"R",-4435394,"R",87646,"R",267023,"R",8444459,"Z",0,"R",8711482,"R",5855672,"R",9898634,"R",1187152,"R",6846272,"R",1865210,"R",8711482,"R",556833,"R",3777633,"R",2780935,"Z",0,
127060,"R",94154940,"Z",0,"Z",0,"Z",0,"R",11981997,"R",4608689,"Z",0,"R",20930768,"R",21280216,"R",2037931,"R",17724528,"R",2316102,"R",175035171,"C",846636,"C",966889,"C",1993756,"C",0,"C",2602847,"C",18546950,"R",24957078,"R",22688713,"Z",0,"R",60537325,"R",14003300,"R",2530566,"R",19262373,"R",8912965,"R",15634217,"R",27535859,"R",1421729,"Z",0,"Z",0,"R",149838334,"R",175035171,"R",-149838334,"R",951122,"R",26147959,"R",229152355,"Z",0,"R",255300314,"R",113245894,"R",358266363,"R",102966049,"R",78767636,"R",176532678,"R",255300314,"R",5744765,"R",96305651,"R",37899972,"Z",0,
127273,"R",2094210,"R",27002,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2096523,"R",5159392,"Z",0,"R",288141,"R",37511,"R",9702779,"C",0,"C",27002,"C",0,"C",0,"C",726416,"C",170088,"C",923506,"Z",0,"Z",0,"R",3062963,"Z",0,"Z",0,"R",684883,"R",184706,"R",1151950,"R",257925,"R",780669,"Z",0,"Z",0,"R",6123096,"R",9702779,"R",-6123096,"R",-65360,"R",3514323,"R",32508504,"Z",0,"R",36022827,"R",29373903,"R",37847149,"R",1824322,"R",21221418,"R",14801409,"R",36022827,"R",287995,"R",5451072,"R",4955229,"Z",0,
127653,"R",6258280,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",571728,"R",430945,"Z",0,"R",369742,"R",68576,"R",7699271,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3548870,"Z",0,"Z",0,"Z",0,"R",226546,"R",2592901,"R",362392,"Z",0,"Z",0,"Z",0,"R",6730709,"R",7699271,"R",-6730709,"Z",0,"R",968562,"R",4559105,"Z",0,"R",5527667,"R",153309,"R",9340449,"R",3812782,"R",4751701,"R",775966,"R",5527667,"R",1231106,"R",1852678,"R",1239669,"Z",0,
127714,"R",1125733,"Z",0,"Z",0,"Z",0,"R",11807,"Z",0,"Z",0,"R",1677371,"R",135081,"Z",0,"R",176963,"R",100967,"R",3227922,"C",344432,"C",31676,"C",0,"C",0,"C",113463,"C",0,"C",489571,"Z",0,"Z",0,"R",894507,"C",0,"C",0,"R",222831,"R",362067,"R",755718,"R",147979,"R",489571,"C",0,"R",435320,"R",3307993,"R",3227922,"R",-3307993,"Z",0,"R",-80071,"R",5115615,"Z",0,"R",5035544,"R",689333,"R",5331965,"R",296421,"R",4142372,"R",893172,"R",5035544,"R",1258587,"R",3430747,"R",929936,"Z",0,
127918,"R",32442366,"R",0,"R",0,"R",0,"R",771965,"R",1563023,"R",0,"R",2819480,"R",2129361,"R",2740300,"R",3113232,"R",-698214,"R",44881513,"C",960558,"C",0,"C",0,"C",0,"C",2473370,"C",4292887,"R",7726815,"R",6766257,"R",0,"R",12299358,"Z",0,"Z",0,"R",10600285,"R",6420655,"R",9726822,"R",2816912,"Z",0,"Z",0,"Z",0,"R",41864032,"R",44881513,"R",-41864032,"R",0,"R",3017481,"R",37731194,"R",0,"R",40748675,"R",24187143,"R",60670906,"R",19922231,"R",33028044,"R",7720631,"R",40748675,"Z",0,"Z",0,"Z",0,"Z",0,
128498,"R",8772982,"Z",0,"Z",0,"Z",0,"R",571732,"R",426932,"Z",0,"R",937697,"R",223637,"R",0,"R",710818,"R",87593,"R",11731391,"C",598140,"C",528224,"C",853864,"C",0,"C",0,"C",0,"C",1980228,"Z",0,"Z",0,"R",2802728,"C",0,"C",0,"R",824357,"R",844963,"R",2358108,"R",612136,"R",1833998,"C",0,"R",1387422,"R",10663712,"R",11731391,"R",-10663712,"Z",0,"R",1067679,"R",5224043,"R",0,"R",6291722,"R",1260382,"R",11661525,"R",5369803,"R",4421962,"R",1869760,"R",6291722,"R",315765,"R",12533452,"R",977906,"Z",0,
128586,"N",148635,"N",0,"N",0,"N",0,"N",59527,"N",0,"N",0,"N",654976,"N",42444,"N",0,"N",82848,"N",11996,"N",1000426,"N",59527,"N",0,"N",0,"N",0,"N",0,"N",0,"N",59527,"N",0,"N",0,"N",238900,"N",0,"N",0,"N",142641,"N",62973,"N",321922,"N",89013,"N",28543,"N",0,"N",123248,"N",1007240,"N",1000426,"N",-1007240,"N",0,"N",-6814,"N",2780349,"N",0,"N",2773535,"N",127386,"N",2832924,"N",59389,"N",2342482,"N",431053,"N",2773535,"N",150000,"N",1308534,"N",420496,"N",0,
128744,"R",15463000,"Z",0,"Z",0,"Z",0,"R",1749000,"Z",0,"Z",0,"R",1917000,"R",237000,"R",14000,"R",2482000,"R",492000,"R",22354000,"C",428000,"C",492000,"C",307000,"C",0,"C",0,"C",7637000,"C",8864000,"R",7570000,"R",1294000,"R",14520000,"Z",0,"Z",0,"R",3149000,"R",3652000,"R",6697000,"R",3691000,"Z",0,"Z",0,"R",0,"R",31709000,"R",22354000,"R",-31709000,"Z",0,"R",-9355000,"R",-54770000,"R",54000,"R",-64071000,"R",3300000,"R",31288000,"R",95359000,"R",-65475000,"R",1404000,"R",-64071000,"R",3184000,"R",49745000,"R",14835000,"Z",0,
128902,"R",28998270,"Z",0,"Z",0,"Z",0,"R",1817245,"R",963263,"Z",0,"R",16735516,"R",14046981,"Z",0,"R",8705937,"R",495787,"R",71762999,"C",432413,"C",561026,"C",406820,"C",0,"C",1636518,"C",9216297,"R",12253074,"R",11517131,"Z",0,"R",20042005,"R",1041871,"R",1383227,"R",4400516,"R",6755810,"R",10082452,"R",10305004,"Z",0,"R",212147,"Z",0,"R",54223032,"R",71762999,"R",-54223032,"R",-104468,"R",17435499,"R",136997099,"Z",0,"R",154432598,"R",97160482,"R",206416575,"R",51983977,"R",92407700,"R",62024898,"R",154432598,"R",4734199,"R",67593205,"R",19336056,"R",4562000,
129242,"R",48491596,"Z",0,"Z",0,"Z",0,"R",395288,"R",1256515,"Z",0,"R",8365237,"R",8256763,"Z",0,"R",15837292,"R",3987736,"R",86590427,"C",529666,"C",350505,"C",1256515,"C",0,"C",11715384,"C",0,"C",13852070,"R",13322404,"R",0,"R",28438141,"R",174366,"R",473933,"R",8278815,"R",11105457,"R",13117202,"R",11927800,"R",0,"R",0,"R",0,"R",73515714,"R",86590427,"R",-73515714,"C",11345,"R",13086058,"R",97651287,"Z",0,"R",110737345,"R",61450013,"R",158523380,"R",47808725,"R",64589525,"R",46125130,"R",110714655,"R",3184750,"R",92751448,"R",21995648,"Z",0,
129428,"R",35353783,"Z",0,"Z",0,"Z",0,"Z",0,"R",2598079,"Z",0,"R",543241,"R",625781,"Z",0,"R",408770,"R",1583814,"C",41113468,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9195885,"Z",0,"Z",0,"Z",0,"Z",0,"R",7764082,"R",558551,"Z",0,"R",22024239,"Z",0,"R",39542757,"R",41113468,"R",-39542757,"R",-525000,"R",1045711,"R",5542688,"Z",0,"R",6588399,"R",2819014,"R",9082370,"R",9160438,"R",5591972,"R",996427,"R",6588399,"R",614163,"R",13409676,"R",3720694,"Z",0,
129491,"R",632868,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1020972,"R",4666232,"R",25696,"R",350877,"R",111431,"R",6808076,"C",0,"C",0,"C",0,"C",0,"C",37945,"C",0,"C",37945,"Z",0,"Z",0,"R",754734,"R",782321,"R",175573,"R",173220,"C",0,"R",1365456,"R",215080,"C",0,"C",0,"R",458780,"R",3925164,"R",6808076,"R",-3925164,"Z",0,"R",2882912,"R",29365737,"Z",0,"R",32248649,"R",28643714,"R",33345877,"R",1097228,"R",28211425,"R",4037224,"R",32248649,"R",348972,"R",5832431,"R",747513,"Z",0,
129525,"R",50768000,"Z",0,"Z",0,"Z",0,"R",1450000,"R",344000,"R",332000,"R",8472000,"R",6398000,"R",3054000,"R",22903000,"C",3871000,"R",97592000,"C",1098000,"C",771000,"C",0,"C",0,"C",943000,"C",28182000,"C",30994000,"R",29415000,"R",0,"R",53498000,"R",2322000,"Z",0,"R",2170000,"R",9694000,"R",12738000,"R",15960000,"Z",0,"Z",0,"Z",0,"R",96382000,"R",99167000,"R",-96382000,"R",0,"R",2785000,"R",66068000,"R",-4447000,"R",64406000,"R",41339000,"R",166129000,"R",101723000,"R",22942049,"R",41463951,"R",64406000,"R",6450000,"R",123015000,"R",47608000,"Z",0,
129534,"R",1220520,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",489566,"R",100625,"Z",0,"R",172,"R",16176,"R",1827059,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1120688,"C",0,"C",0,"R",389840,"C",0,"R",205188,"C",0,"C",0,"C",4246,"R",249055,"R",1969017,"R",1827059,"R",-1969017,"Z",0,"R",-141958,"R",1479457,"R",-82778,"R",1254721,"Z",0,"R",1366837,"R",112116,"R",194601,"R",1060120,"R",1254721,"Z",0,"R",978172,"R",363388,"Z",0,
129686,"R",597452,"Z",0,"Z",0,"Z",0,"R",41746,"R",96251,"Z",0,"R",436515,"R",58955,"R",90247,"R",32382,"Z",0,"R",1353548,"C",27340,"C",14406,"C",51251,"C",0,"C",39959,"C",11804,"C",144760,"Z",0,"Z",0,"R",369718,"C",0,"C",0,"R",280395,"C",0,"R",369489,"R",29249,"C",0,"C",0,"R",169385,"R",1218236,"R",1353548,"R",-1218236,"Z",0,"R",135312,"R",2382601,"R",10348,"R",2528261,"R",186623,"R",2754995,"R",226734,"R",2315545,"R",212716,"R",2528261,"R",42300,"R",1499796,"R",115985,"Z",0,
129774,"R",5140038,"R",0,"R",0,"R",0,"R",376459,"R",263178,"R",0,"R",212572,"R",832221,"R",0,"R",2740210,"R",342745,"R",9907423,"R",259865,"R",98550,"R",271073,"R",4650,"R",0,"R",1203918,"R",1838056,"R",1838056,"R",0,"R",1555431,"R",0,"R",0,"R",531191,"R",2505072,"R",2006304,"R",1542978,"R",856648,"R",113329,"R",0,"R",9110953,"R",9907423,"R",-9110953,"R",63346,"R",859816,"R",7618431,"R",20037,"R",8498284,"R",4875495,"R",9405690,"R",907406,"R",4842384,"R",3655900,"R",8498284,"R",179958,"R",5978752,"R",3301019,"R",0,
129941,"R",35546421,"Z",0,"Z",0,"Z",0,"R",525276,"R",1412234,"Z",0,"R",3273514,"R",748622,"Z",0,"R",2796683,"Z",0,"R",44302750,"C",0,"C",401180,"C",1296061,"C",0,"C",4699622,"C",0,"C",6396863,"Z",0,"Z",0,"R",18327144,"C",0,"C",0,"R",2664555,"R",3190196,"R",5535658,"R",2970493,"R",6396863,"C",0,"R",3823818,"R",42908727,"R",44302750,"R",-42908727,"Z",0,"R",1394023,"R",10501823,"Z",0,"R",11895846,"R",3176278,"R",50413296,"R",38517450,"R",4805666,"R",7090180,"R",11895846,"R",4067463,"R",32486348,"R",19102474,"Z",0,
130086,"N",1338710,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",1601813,"N",2940523,"N",528663,"N",44107,"N",765940,"N",0,"N",0,"N",0,"N",1338710,"N",0,"N",0,"N",912541,"N",0,"N",0,"N",912764,"N",245876,"N",0,"N",0,"N",0,"N",0,"N",343959,"N",2415140,"N",2940523,"N",-2415140,"N",0,"N",525383,"N",2289281,"N",0,"N",2814664,"N",0,"N",3157645,"N",342981,"N",2814664,"N",0,"N",2814664,"N",189000,"N",1512960,"N",348077,"N",0,
130183,"R",9301786,"R",211270,"R",712658,"Z",0,"Z",0,"Z",0,"Z",0,"R",305961,"R",132449,"Z",0,"R",1336115,"Z",0,"R",12000239,"C",398236,"C",211270,"C",712658,"C",0,"C",154880,"C",1832497,"C",3309541,"R",2911305,"Z",0,"R",4270671,"Z",0,"Z",0,"R",737492,"R",2448826,"R",1802177,"R",2133009,"Z",0,"Z",0,"R",0,"R",11392175,"R",12000239,"R",-11392175,"Z",0,"R",608064,"R",5764404,"R",39544,"R",6412012,"R",477095,"R",10001113,"R",3589101,"R",5953007,"R",459005,"R",6412012,"R",1228862,"R",7564150,"R",4995853,"Z",0,
130226,"R",61567693,"Z",0,"Z",0,"Z",0,"R",625187,"R",1598796,"Z",0,"R",2408625,"R",4150446,"R",1082579,"R",13875248,"Z",0,"R",85308574,"C",688363,"C",625187,"C",1598796,"C",0,"C",10309133,"C",0,"R",13221479,"R",6481495,"R",3092740,"R",29948382,"R",151886,"Z",0,"R",3478429,"R",5360121,"R",10073182,"R",13004556,"R",2234872,"Z",0,"Z",0,"R",64251428,"R",85308574,"R",-64251428,"Z",0,"R",21057146,"R",71556584,"Z",0,"R",92613730,"R",21846486,"R",160502740,"R",67889010,"R",84881675,"R",7732055,"R",92613730,"R",10504281,"R",98099371,"R",21022662,"Z",0,
130253,"R",32725452,"Z",0,"Z",0,"Z",0,"R",822901,"R",1794355,"R",304106,"R",5300678,"R",1989830,"Z",0,"R",7639566,"R",1204017,"R",51780905,"C",906597,"C",174764,"C",1838038,"C",262525,"C",807332,"C",6696841,"C",10686097,"R",9368448,"R",294552,"R",15159811,"Z",0,"R",1681893,"R",4646232,"R",5732394,"R",12502261,"R",8958752,"Z",0,"Z",0,"Z",0,"R",48681343,"R",51780905,"R",-48681343,"Z",0,"R",3099562,"R",28602494,"Z",0,"R",31702056,"R",16262402,"R",97763699,"R",66061643,"R",23121151,"R",8580905,"R",31702056,"R",5734606,"R",34195295,"R",13700630,"Z",0,
130314,"R",10011928,"Z",0,"Z",0,"Z",0,"R",597201,"R",827883,"Z",0,"R",1282009,"R",1352212,"R",4039962,"R",1897240,"R",59120,"R",20067555,"C",412700,"C",135385,"C",779083,"C",0,"C",244132,"C",1908199,"C",3479499,"R",3479499,"Z",0,"R",6472288,"Z",0,"R",3191091,"R",2006795,"R",2199684,"R",2627135,"R",2157259,"Z",0,"Z",0,"R",0,"R",18654252,"R",20067555,"R",-18654252,"Z",0,"R",1413303,"R",17934020,"Z",0,"R",19347323,"R",9399841,"R",23533107,"R",4185784,"R",11230046,"R",8117277,"R",19347323,"R",836977,"R",15497382,"R",5604275,"Z",0,
130448,"R",1023252,"Z",0,"Z",0,"Z",0,"R",73555,"Z",0,"Z",0,"R",122700,"Z",0,"Z",0,"R",5344,"R",2282699,"R",3507550,"C",59696,"C",13859,"C",0,"C",0,"C",0,"C",0,"C",73555,"Z",0,"Z",0,"R",1690651,"Z",0,"Z",0,"R",77597,"R",648005,"R",1093555,"R",15306,"Z",0,"Z",0,"Z",0,"R",3525114,"R",3507550,"R",-3525114,"Z",0,"R",-17564,"R",2138140,"R",517112,"R",2637688,"Z",0,"R",3523601,"R",885913,"R",188762,"R",2448926,"R",2637688,"Z",0,"Z",0,"R",182257,"Z",0,
130590,"R",33714676,"Z",0,"Z",0,"Z",0,"R",1087984,"R",431827,"Z",0,"R",11196100,"R",56313518,"Z",0,"R",12254705,"R",2600164,"R",117598974,"C",512207,"C",494282,"C",411162,"C",0,"C",2380479,"C",8251111,"R",12049241,"R",11537034,"R",0,"R",28276380,"R",1064729,"R",1451666,"R",6853131,"R",6360224,"R",12525835,"R",15058049,"Z",0,"Z",0,"Z",0,"R",71590014,"R",117598974,"R",-71590014,"R",1412390,"R",47421350,"R",306068468,"Z",0,"R",353489818,"R",307672695,"R",447192182,"R",93702364,"R",243545030,"R",109944788,"R",353489818,"R",4550323,"R",94907578,"R",18923160,"Z",0,
130697,"R",48693000,"Z",0,"Z",0,"Z",0,"R",5987000,"R",1613000,"Z",0,"R",16321000,"R",78367000,"R",792000,"R",17202000,"R",3788000,"R",172763000,"C",731000,"C",747000,"C",230000,"C",0,"C",16825000,"C",0,"R",18533000,"R",17495000,"Z",0,"R",48885000,"R",5293000,"Z",0,"R",10209000,"R",5616000,"R",15022000,"R",20926000,"R",307000,"Z",0,"R",0,"R",106258000,"R",172763000,"R",-106258000,"Z",0,"R",66505000,"R",469505000,"R",-3849000,"R",532161000,"R",456086000,"R",601854000,"R",69693000,"R",397191000,"R",134970000,"R",532161000,"R",8155000,"R",142193000,"R",47115000,"Z",0,
130794,"R",136168000,"Z",0,"Z",0,"Z",0,"R",216692601,"R",14225370,"Z",0,"R",198947029,"R",1056938000,"R",175549786,"R",55769485,"R",78185729,"R",1932476000,"C",1229154,"C",12479730,"C",487905,"C",0,"C",23418175,"C",68489419,"C",106104383,"R",75742233,"R",2153000,"R",444747000,"R",185705000,"Z",0,"R",105948000,"R",81513000,"R",68692000,"R",96368000,"Z",0,"R",12242000,"Z",0,"R",995215000,"R",1932476000,"R",-995215000,"Z",0,"R",937261000,"R",5568332000,"Z",0,"R",6505593000,"R",5999079000,"R",7362879000,"R",857286000,"R",3731096000,"R",2774497000,"R",6505593000,"R",65595715,"R",952491620,"R",280191793,"Z",0,
130989,"N",7948957,"N",0,"N",0,"N",0,"N",589012,"N",0,"N",0,"N",0,"N",123613,"N",1306502,"N",0,"N",499,"N",9968583,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",589012,"N",589012,"N",0,"N",2769114,"N",0,"N",233548,"N",211868,"N",1260904,"N",1846520,"N",765068,"N",3075224,"N",0,"N",831445,"N",10993691,"N",11025359,"N",-10993691,"N",-4172,"N",27496,"N",5336711,"N",0,"N",5364207,"N",53250,"N",9895732,"N",4531525,"N",3683140,"N",1681067,"N",5364207,"N",97300,"N",5058133,"N",2815672,"N",0,
131098,"R",8580467,"Z",0,"Z",0,"Z",0,"R",78708,"Z",0,"Z",0,"R",369379,"R",1052983,"Z",0,"R",1797082,"R",197817,"R",12076436,"C",1223466,"C",327130,"C",409426,"C",0,"C",206320,"C",2861392,"C",5027734,"Z",0,"Z",0,"R",3514093,"C",0,"C",0,"R",597300,"R",1736389,"R",1878714,"R",885392,"R",1533856,"C",0,"R",1905458,"R",12051202,"R",12076436,"R",-12051202,"R",-9,"R",25225,"R",10825271,"R",9814,"R",10860310,"R",4235244,"R",15050255,"R",4205356,"R",7299745,"R",3545154,"R",10844899,"R",1596014,"R",14971893,"R",2701744,"Z",0,
131113,"R",14391158,"Z",0,"Z",0,"Z",0,"R",151067,"R",12678,"Z",0,"R",51495,"R",1796208,"Z",0,"R",918888,"R",8267,"R",17329761,"C",414387,"C",151067,"C",12678,"C",0,"C",0,"C",0,"C",578132,"R",414387,"Z",0,"R",6947640,"Z",0,"Z",0,"R",749785,"R",2511622,"R",3793172,"R",788203,"R",276620,"Z",0,"Z",0,"R",15067042,"R",17329761,"R",-15067042,"R",2170,"R",2264889,"R",18123894,"Z",0,"R",20388783,"R",7117241,"R",22849995,"R",2461212,"R",14994030,"R",5394753,"R",20388783,"R",662772,"R",9435283,"R",3533537,"Z",0,
131159,"R",131953000,"Z",0,"Z",0,"Z",0,"R",7621000,"Z",0,"Z",0,"R",12544000,"R",17726000,"Z",0,"R",27731000,"R",985000,"R",198560000,"C",998000,"C",720000,"C",0,"C",0,"C",1033000,"C",33411000,"C",36162000,"R",36162000,"Z",0,"R",68910000,"R",6957000,"R",3926000,"R",18871000,"R",16759000,"R",26314000,"R",31708000,"Z",0,"Z",0,"Z",0,"R",173445000,"R",198560000,"R",-173445000,"Z",0,"R",25115000,"R",218156000,"Z",0,"R",243271000,"R",113290000,"R",416315000,"R",173044000,"R",197217000,"R",46054000,"R",243271000,"R",25132000,"R",177328000,"R",62083000,"Z",0,
131283,"R",61508870,"Z",0,"Z",0,"Z",0,"R",9739133,"R",160601,"R",0,"R",19247638,"R",24952103,"R",738567,"R",12104191,"R",1405415,"R",129856518,"C",606547,"C",511058,"C",97743,"C",0,"C",2923356,"C",15753235,"C",19891939,"R",17800242,"Z",0,"R",53355560,"R",8305738,"R",1546803,"R",5916030,"R",7452790,"R",11721687,"R",16001534,"Z",0,"Z",0,"Z",0,"R",104300142,"R",129856518,"R",-104300142,"R",0,"R",25556376,"R",182681929,"R",0,"R",208238305,"R",151299935,"R",281088338,"R",72850033,"R",135881185,"R",72357120,"R",208238305,"R",9247202,"R",114473481,"R",41318718,"R",0,
131308,"N",3935796,"N",0,"N",0,"N",0,"N",984657,"N",0,"N",0,"N",427450,"N",60721,"N",0,"N",752413,"N",73036,"N",6234073,"N",638057,"N",90472,"N",687618,"N",0,"N",1261959,"N",33920,"N",2712026,"N",1261959,"N",0,"N",2443376,"N",0,"N",161060,"N",136370,"N",615912,"N",1319350,"N",530127,"N",762449,"N",0,"N",461790,"N",6430434,"N",6234073,"N",-6430434,"N",0,"N",-196361,"N",2077589,"N",0,"N",1881228,"N",200000,"N",3591951,"N",1710723,"N",1594831,"N",286397,"N",1881228,"N",536672,"N",2905490,"N",1570686,"N",0,
131450,"R",10996253,"R",53319000,"Z",0,"Z",0,"R",3538857,"Z",0,"Z",0,"R",380754,"R",7792257,"Z",0,"R",10901079,"R",2211562,"R",89139762,"C",559354,"C",679106,"C",0,"C",0,"C",1102657,"C",1279014,"C",3620131,"Z",0,"Z",0,"R",32842090,"R",4628326,"R",2794891,"R",9429820,"R",5509736,"R",10309007,"R",15374446,"R",3620131,"Z",0,"Z",0,"R",84508447,"R",89139762,"R",-84508447,"R",13939692,"R",18571007,"R",182742609,"Z",0,"R",201313616,"R",106036881,"R",220599342,"R",19285726,"R",148792384,"R",52521232,"R",201313616,"R",3760619,"R",132741596,"R",26582874,"Z",0,
131469,"R",231292034,"Z",0,"Z",0,"Z",0,"R",39310240,"R",540622,"Z",0,"R",51309637,"R",111984681,"R",0,"R",45035889,"R",345536814,"R",825009917,"C",1356682,"C",6777209,"C",0,"C",0,"C",1754771,"C",54287216,"C",64175878,"R",54287216,"Z",0,"R",201350242,"R",60162000,"R",0,"R",0,"R",38609604,"R",119908308,"R",36324249,"R",11517897,"R",257106000,"R",0,"R",724978300,"R",825009917,"R",-724978300,"R",-19293000,"R",80738617,"R",701042000,"R",0,"R",781780617,"R",679376000,"R",1198842635,"R",417062018,"R",632260059,"R",149520558,"R",781780617,"R",44363266,"R",345128430,"R",144080853,"R",0,
131496,"R",201752000,"Z",0,"Z",0,"Z",0,"R",121879000,"Z",0,"R",730000,"R",102439000,"R",107683000,"R",14738000,"R",53102000,"R",322357000,"R",924680000,"C",2265230,"C",2135558,"Z",0,"Z",0,"Z",0,"Z",0,"R",4400791,"R",40212000,"R",0,"R",169648000,"R",100857000,"R",28132000,"R",84618000,"R",31659000,"R",107207000,"R",24752000,"R",3822000,"R",286693000,"Z",0,"R",837388000,"R",924914000,"R",-837388000,"Z",0,"R",87526000,"R",892131000,"Z",0,"R",979657000,"R",641600000,"R",1590526000,"R",610869000,"R",651838000,"R",327819000,"R",979657000,"R",41767253,"R",674211082,"R",206463405,"Z",0,
