unitid,part,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,filler1,b101,b102,b103,filler2,b111,b112,b113,filler3,b121,b122,b123,b124,b131,b132,b133,b134,b161,b162,b163,b164,b191,b192,b193,b194,b221,b222,b223,b224,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,filler4,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093",filler5,"xb101","xb102","xb103",filler6,"xb111","xb112","xb113",filler7,"xb121","xb122","xb123","xb124","xb131","xb132","xb133","xb134","xb161","xb162","xb163","xb164","xb191","xb192","xb193","xb194","xb221","xb222","xb223","xb224","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"155292","B","9502315","277352","9779667","7275050","75786","0","75786","50360","79454","0","79454","55555","2061372","0","2061372","1210702","1510021","0","1510021","981552","2841886","1158191","4000077","2706066","3783393","0","3783393","1181918","343599","2324277","2667876","","0","0","0","","450000","0","450000","","20647826","3759820","24407646","13461203","1240154","247825","1487979","259937","0","0","0","0","0","0","0","0","21887980","4007645","25895625","13721140","13461203","2190011","0","0","15651214","483608","247825","0","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,10,10,"",10,10,10,"",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"155317","B","98719416","12023304","110742720","78419346","19680327","29899663","49579990","27209024","10039886","3302","10043188","4305529","28206355","197422","28403777","14707090","12340306","63123","12403429","6721020","19969342","7762","19977104","10178337","23680177","5290","23685467","10899243","22110796","7934132","30044928","","1228672","0","1228672","","819050","-925655","-106605","","236794327","49208343","286002670","152439589","50053530","4933","50058463","17456230","0","0","0","0","0","0","0","0","286847857","49213276","336061133","169895819","152439589","31093741","0","0","183533330","12512975","486670","2192700","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10,15,"",10,10,10,"",10,10,10,"",18,10,18,10,10,10,10,10,10,10,10,10,10,10,10,10,18,10,18,10,10,10,10,10,10,10,10,10,10,10,31,31
"155326","B","60525600","0","60525600","42618720","9742116","28094564","37836680","14469960","0","0","0","0","7330986","0","7330986","4057724","1755210","0","1755210","992893","16667504","0","16667504","7785086","15765137","0","15765137","7097783","4221018","294904","4515922","","0","0","0","","0","0","0","","116007571","28389468","144397039","77022166","1376789","0","1376789","420580","179728798","0","179728798","80169240","0","0","0","0","297113158","28389468","325502626","157611986","77022166","16471903","0","0","93494069","3173911","0","0","0","0","0","0","",10,31,10,10,10,10,10,10,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,10,10,10,"",31,31,31,"",31,31,31,"",10,10,10,10,10,31,10,10,10,31,10,10,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"155335","B","3980585","484118","4464703","3825934","0","0","0","0","74337","4496","78833","0","406879","180934","587813","292675","1450749","113650","1564399","815651","2863578","278962","3142540","923200","688131","0","688131","185389","1624504","1912023","3536527","","272","0","272","","172847","755","173602","","11261882","2974938","14236820","6042849","855877","0","855877","57437","0","0","0","0","0","0","0","0","12117759","2974938","15092697","6100286","6042849","1225652","0","0","7268501","339525","40499","0","0","0","0","0","",10,10,10,10,31,31,31,31,10,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,"",10,31,10,"",10,10,10,"",10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,10,31,31,31,31,31
"155399","B","80419093","5072917","85492010","61468734","38074710","28461190","66535900","35247223","30109786","4070853","34180639","20584881","19135565","143891","19279456","9791350","11634712","753690","12388402","5486368","11052774","103253","11156027","6826778","18715287","8969","18724256","8755857","1075214","9343703","10418917","","37372","7657","45029","","343923","62081","406004","","210598436","48028204","258626640","148161191","18655327","134421","18789748","9077593","0","0","0","0","0","0","0","0","229253763","48162625","277416388","157238784","148161191","31962372","0","0","180123563","7203497","1407409","46942","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,10,10,"",10,10,10,"",10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31
"155405","B","3378887","124025","3502912","2079964","44228","99529","143757","80512","251315","120732","372047","196302","452751","1999","454750","278264","291482","0","291482","161731","881179","0","881179","458856","1043136","0","1043136","505981","0","440","440","","0","0","0","","0","0","0","","6342978","346725","6689703","3761610","377088","0","377088","88166","0","0","0","0","0","0","0","0","6720066","346725","7066791","3849776","3761610","905159","0","0","4666769","188193","0","0","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,31,10,10,31,10,10,"",10,10,10,"",10,10,10,"",10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,10,10,31,31,31,31
"155414","B","1829177","72343","1901520","1514492","0","0","0","0","0","0","0","0","345105","21055","366160","167334","895286","23222","918508","454091","769647","16291","785938","314846","403109","10770","413879","251317","683053","1416450","2099503","","14773","0","14773","","0","20362","20362","","4940150","1580493","6520643","2702080","825843","80","825923","28596","0","0","0","0","0","72049","72049","42722","5765993","1652622","7418615","2773398","2702080","436277","0","0","3138357","166508","0","0","0","0","0","0","",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,31,10,"",31,10,10,"",10,10,10,10,10,10,10,10,31,31,31,31,31,10,10,10,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"155450","B","3115332","0","3115332","2618428","0","0","0","0","0","0","0","0","608493","0","608493","429891","491915","0","491915","357196","448294","620083","1068377","195405","918808","0","918808","273568","373466","607692","981158","","0","0","0","","5215","0","5215","","5961523","1227775","7189298","3874488","410404","0","410404","33614","0","0","0","0","0","0","0","0","6371927","1227775","7599702","3908102","3874488","445074","0","0","4319562","29702","0","0","0","0","0","0","",10,31,10,10,31,31,31,31,31,31,31,31,10,31,10,10,10,31,10,11,10,10,10,10,10,31,10,10,10,10,10,"",31,31,31,"",10,31,10,"",10,11,10,18,10,31,10,16,31,31,31,31,31,31,31,31,10,10,10,18,18,10,31,31,18,10,31,31,31,31,31,31
"155496","B","667592","0","667592","409749","0","0","0","0","0","0","0","0","107107","4674","111781","61224","316245","40474","356719","149423","580893","52394","633287","272086","142927","50","142977","37416","148116","218811","366927","","167700","191769","359469","","29880","2488","32368","","2160460","510660","2671120","929898","320300","0","320300","38051","0","0","0","0","0","0","0","0","2480760","510660","2991420","967949","929898","277342","0","0","1207240","49635","0","0","0","0","0","0","",10,10,10,10,10,10,10,31,10,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,10,10,"",10,10,10,"",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,31,31,10,10,10,10,10,10,10,10
"155511","B","1723255","171022","1894277","1135882","0","0","0","0","0","0","0","0","341048","6068","347116","214059","814340","103670","918010","423140","1254799","1097","1255896","535636","493473","2702","496175","353768","507005","792929","1299934","","2637","0","2637","","39264","-31036","8228","","5175821","1046452","6222273","2662485","974895","408","975303","121025","0","0","0","0","0","0","0","0","6150716","1046860","7197576","2783510","2662485","657576","0","0","3320061","195825","0","0","0","0","0","0","",10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,31,10,"",10,10,10,"",10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"155520","B","4247912","59195","4307107","2871768","0","0","0","0","0","0","0","0","689875","0","689875","472105","1077871","0","1077871","756096","2915894","0","2915894","830291","1025847","0","1025847","445035","1224674","2355349","3580023","","100237","0","100237","","300000","0","300000","","11582310","2414544","13996854","5375295","2580647","0","2580647","643124","0","0","0","0","0","0","0","0","14162957","2414544","16577501","6018419","5375295","1634181","0","0","7009476","315409","107706","0","0","0","0","0","",10,10,10,10,31,31,31,31,31,31,31,31,10,31,10,10,10,31,10,10,10,31,10,10,10,31,10,10,10,10,10,"",10,31,10,"",10,31,10,"",10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,10,31,31,31,31,31
"155566","B","2535131","0","2535131","2084017","0","0","0","0","14936","0","14936","12096","301068","0","301068","139852","543236","0","543236","273937","760354","422305","1182659","423928","335294","0","335294","109363","172443","831858","1004301","","0","0","0","","0","0","0","","4662462","1254163","5916625","3043193","503734","0","503734","49821","0","0","0","0","0","0","0","0","5166196","1254163","6420359","3093014","3043193","606792","91983","0","3741968","152397","0","0","0","0","0","0","",10,31,10,10,31,31,31,31,10,31,18,10,10,31,10,10,10,31,10,10,10,10,10,10,10,31,10,10,10,10,10,"",31,31,31,"",31,31,31,"",10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,31,10,10,31,31,31,31,31,31
"155627","B","4367660","7182","4374842","3554689","0","0","0","0","81936","117287","199223","8054","4164263","27416","4191679","1167414","1394378","69304","1463682","443038","1562317","118518","1680835","645854","715216","0","715216","150488","848125","1511829","2359954","","363298","50000","413298","","542448","87293","629741","","14039641","1988829","16028470","5969537","1010285","12112","1022397","124910","0","0","0","0","0","0","0","0","15049926","2000941","17050867","6094447","5969537","939431","0","0","6908968","127226","7992","11635","0","0","0","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",10,10,10,"",10,10,10,"",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"155681","B","17945277","735718","18680995","14062142","0","1428277","1428277","709416","193193","1241074","1434267","773655","4298021","367492","4665513","2595528","2766020","768109","3534129","2206598","2975636","301150","3276786","2123422","5435701","76074","5511775","3045311","563198","3431373","3994571","","0","0","0","","0","0","0","","34177046","8349267","42526313","25516072","0","3189554","3189554","1004082","0","0","0","0","0","0","0","0","34177046","11538821","45715867","26520154","25516072","5816993","0","0","31333065","1380903","0","0","0","0","0","0","",10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"",31,31,31,"",31,31,31,"",10,10,10,10,31,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"155715","B","2372734","106299","2479033","1762219","0","0","0","0","0","255697","255697","115193","406366","123937","530303","235952","763174","0","763174","458851","916132","94083","1010215","517530","509308","28051","537359","230163","330682","524533","855215","","0","0","0","","0","0","0","","5298396","1132600","6430996","3319908","227057","581586","808643","92723","0","0","0","0","0","0","0","0","5525453","1714186","7239639","3412631","3319908","0","0","485187","3805095","134079","240220","568423","0","0","0","0","",10,10,10,10,31,31,31,31,31,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,"",31,31,10,"",10,10,10,"",11,11,10,10,10,10,10,10,31,31,31,31,31,31,31,31,11,11,18,10,10,31,31,10,10,10,10,10,31,31,31,31
