unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,part,aline03
"210809","10531556","0","10531556","","","","","","","","","","","","","","","","","","","1604727","325356","1930083","62690","734902","797592","5301266","0","5301266","","","","","","","305073","0","305073","","","","17805312","1060258","18865570","A",""
"210836","1614732","","1614732","","","","","","","","","","","222562","222562","","","","","","","","","","","","","","","","","","","","","","","","","","","","1614732","222562","1837294","A",""
"210890","1000000","","1000000","","","","","","","","","","","72162","72162","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","72162","1072162","A",""
"210906","1398729","0","1398729","","","","","","","","","","","629305","629305","84439","25791","110230","","","","","","","","","","","","","","","","","","","1891","0","1891","0","0","0","1485059","655096","2140155","A",""
"210942","8211905","248883","8460788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8211905","248883","8460788","A",""
"210960","15004906","0","15004906","","","","","","","","","","0","2093395","2093395","0","1697136","1697136","","","","","","","","","","","","","1700296","0","1700296","","","","70819","0","70819","","","","16776021","3790531","20566552","A",""
"211024","3075061","0","3075061","","","","","","","","","","0","388537","388537","","","","","","","700414","211274","911688","0","24590","24590","","","","2054098","0","2054098","","","","91984","0","91984","","","","5921557","624401","6545958","A",""
"211079","3968042","0","3968042","","","","3944458","0","3944458","660427","0","660427","0","1948105","1948105","0","100082","100082","","","","0","550","550","","","","","","","0","584222","584222","","","","283817","0","283817","","","","8856744","2632959","11489703","A",""
"211088","12052905","0","12052905","","","","","","","","","","1743","408134","409877","247800","94887","342687","","","","591016","625767","1216783","129985","26430","156415","","","","2364135","0","2364135","","","","426710","0","426710","9906833","0","9906833","25721127","1155218","26876345","A",""
"211112","485582","","485582","","","","983353","","983353","","","","","268983","268983","","134127","134127","","","","","","","","","","","","","","","","","","","17768","","17768","","","","1486703","403110","1889813","A",""
"211130","519227","0","519227","","","","","","","","","","","","","","","","","","","640774","20060","660834","0","27342","27342","","","","84491","0","84491","","","","8471","253","8724","","","","1252963","47655","1300618","A",""
"211158","18960389","0","18960389","","","","26266224","15498","26281722","","","","45412","3022266","3067678","35777","2002412","2038189","","","","20664","357771","378435","0","97941","97941","","","","7434376","0","7434376","","","","2280258","27687","2307945","","","","55043100","5523575","60566675","A",""
"211200","2518040","0","2518040","0","28732","28732","433","0","433","","","","","353869","353869","11067","62714","73781","294","4455","4749","2184","127","2311","","","","11785","0","11785","198546","0","198546","","","","42324","128","42452","6772","0","6772","2791445","450025","3241470","A",""
"211273","23048978","0","23048978","","","","","","","","","","163694","1379222","1542916","0","227348","227348","","","","1960474","4159034","6119508","4000615","2416274","6416889","","","","8974657","0","8974657","","","","2839594","1989969","4829563","","","","40988012","10171847","51159859","A",""
"211291","49790000","0","49790000","","","","","","","","","","93000","1311000","1404000","315000","955000","1270000","","","","1917000","2215000","4132000","1479000","2814000","4293000","392000","0","392000","15616000","0","15616000","","","","2302000","0","2302000","","","","71904000","7295000","79199000","A",""
"211307","10384182","206976","10591158","183730","1497531","1681261","10391671","247902","10639573","6039250","0","6039250","0","1086285","1086285","0","150470","150470","0","196358","196358","0","1043677","1043677","","","","","","","2108388","0","2108388","","","","290281","52144","342425","","","","29397502","4481343","33878845","A",""
"211343","2960711","0","2960711","","","","3214700","0","3214700","1805644","0","1805644","0","1443955","1443955","0","218326","218326","0","151167","151167","0","150","150","","","","","","","806923","0","806923","","","","107734","41","107775","","","","8895712","1813639","10709351","A",""
"211352","7954026","0","7954026","","","","","","","","","","0","540126","540126","0","514544","514544","","","","291303","617935","909238","255631","37387","293018","","","","2579416","0","2579416","","","","235032","56648","291680","","","","11315408","1766640","13082048","A",""
"211361","15702746","0","15702746","","","","22595258","33288","22628546","","","","42081","5428774","5470855","0","3253337","3253337","","","","3220","520459","523679","","","","","","","4125229","0","4125229","","","","2376257","0","2376257","","","","44844791","9235858","54080649","A",""
"211431","6868790","0","6868790","","","","","","","","","","0","811464","811464","276842","583584","860426","","","","253810","325799","579609","24185","201951","226136","","","","2114935","0","2114935","","","","169971","50139","220110","","","","9708533","1972937","11681470","A",""
