unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,aline03,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"100654","13988152","0","13988152","0","2591006","2591006","25901338","0","25901338","0","0","0","1723301","14283236","16006537","21539","1071640","1093179","0","0","0","17180","753430","770610","0","0","0","366604","0","366604","6408623","0","6408623","0","0","0","213749","10931","224680","0","0","0","48640486","18710243","67350729","0",10,31,10,31,10,10,10,31,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100663","49074274","0","49074274","0","0","0","160706973","478656","161185629","0","0","0","33371544","118062840","151434384","155184","4717739","4872923","85425","4136286","4221711","5572826","32611734","38184560","1851","7254143","7255994","25318419","79678","25398097","15701591","0","15701591","494668254","0","494668254","43062923","1410164","44473087","0","0","0","827719264","168751240","996470504","0",10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,10,10,10,10,31,10,15,31,15,10,10,18,31,31,31,18,10,18,31
"100672","772160","0","772160","0","0","0","2378282","0","2378282","0","0","0","0","208712","208712","0","182739","182739","0","10484","10484","0","0","0","0","0","0","586","0","586","151772","0","151772","0","0","0","38675","0","38675","0","0","0","3341475","401935","3743410","0",10,31,10,31,31,31,10,31,10,31,31,31,31,10,10,31,10,10,31,10,10,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"100690","727761","0","727761","0","0","0","0","0","0","0","0","0","0","13762","13762","0","0","0","0","0","0","1458820","5500","1464320","14556","0","14556","0","0","0","0","0","0","0","0","0","16326","0","16326","0","0","0","2217463","19262","2236725","0",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31
"100706","17070962","0","17070962","0","0","0","34236494","0","34236494","0","0","0","6073597","27033984","33107581","58851","878558","937409","1275","2726","4001","191764","1579016","1770780","10652","14620","25272","0","0","0","3588255","0","3588255","0","0","0","1903412","0","1903412","0","0","0","63135262","29508904","92644166","0",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"100724","12589636","0","12589636","0","0","0","32310112","0","32310112","0","0","0","0","12269640","12269640","0","662982","662982","0","2400","2400","343977","529280","873257","0","0","0","72236","0","72236","8291510","0","8291510","0","0","0","2500043","131839","2631882","0","0","0","56107514","13596141","69703655","0",11,31,18,31,31,31,16,31,16,31,31,31,31,11,11,31,11,11,31,10,10,10,10,10,31,31,10,10,31,10,11,31,11,31,31,31,11,11,11,31,31,31,18,18,18,31
"100733","0","0","0","0","0","0","583838","0","583838","0","0","0","0","0","0","0","0","0","0","0","0","0","2100","2100","0","0","0","0","0","0","0","0","0","0","0","0","132369","0","132369","0","0","0","716207","2100","718307","0",31,31,31,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31
"100751","65675647","0","65675647","0","0","0","103673391","13266","103686657","0","0","0","2815763","25132765","27948528","208374","4952269","5160643","31407","1203666","1235073","1982310","7022544","9004854","3518965","3614387","7133352","9571884","0","9571884","56638995","0","56638995","0","0","0","9636470","127115","9763585","0","0","0","253753206","42066012","295819218","0",10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100760","2496708","0","2496708","0","0","0","5341407","0","5341407","0","0","0","3980","2807420","2811400","1000","152157","153157","0","9200","9200","26860","137753","164613","0","0","0","17484","1675","19159","576991","0","576991","0","0","0","176006","5253","181259","0","0","0","8640436","3113458","11753894","0",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,10,10,10,31,10,10,10,10,10,31,31,31,10,10,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100812","4646998","0","4646998","0","0","0","7019638","0","7019638","0","0","0","0","1976131","1976131","0","319585","319585","0","0","0","0","0","0","0","0","0","0","0","0","626456","0","626456","0","0","0","239350","15538","254888","0","0","0","12532442","2311254","14843696","0",10,31,10,31,31,31,10,31,10,31,31,31,31,21,18,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,18,18,31
