UNITID,XF1A01,F1A01,XF1A02,F1A02,XF1A03,F1A03,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A211,F1A211,XF1A212,F1A212,XF1A213,F1A213,XF1A214,F1A214,XF1A221,F1A221,XF1A222,F1A222,XF1A223,F1A223,XF1A224,F1A224,XF1A231,F1A231,XF1A232,F1A232,XF1A233,F1A233,XF1A234,F1A234,XF1A241,F1A241,XF1A242,F1A242,XF1A243,F1A243,XF1A244,F1A244,XF1A251,F1A251,XF1A252,F1A252,XF1A253,F1A253,XF1A254,F1A254,XF1A261,F1A261,XF1A262,F1A262,XF1A263,F1A263,XF1A264,F1A264,XF1A271,F1A271,XF1A272,F1A272,XF1A273,F1A273,XF1A274,F1A274,XF1A281,F1A281,XF1A282,F1A282,XF1A283,F1A283,XF1A284,F1A284,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B05,F1B05,XF1B06,F1B06,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C013,F1C013,XF1C014,F1C014,XF1C015,F1C015,XF1C021,F1C021,XF1C022,F1C022,XF1C023,F1C023,XF1C024,F1C024,XF1C025,F1C025,XF1C031,F1C031,XF1C032,F1C032,XF1C033,F1C033,XF1C034,F1C034,XF1C035,F1C035,XF1C051,F1C051,XF1C052,F1C052,XF1C053,F1C053,XF1C054,F1C054,XF1C055,F1C055,XF1C061,F1C061,XF1C062,F1C062,XF1C063,F1C063,XF1C064,F1C064,XF1C065,F1C065,XF1C071,F1C071,XF1C072,F1C072,XF1C073,F1C073,XF1C074,F1C074,XF1C075,F1C075,XF1C081,F1C081,XF1C082,F1C082,XF1C083,F1C083,XF1C084,F1C084,XF1C085,F1C085,XF1C091,F1C091,XF1C094,F1C094,XF1C101,F1C101,XF1C102,F1C102,XF1C103,F1C103,XF1C104,F1C104,XF1C105,F1C105,XF1C111,F1C111,XF1C112,F1C112,XF1C113,F1C113,XF1C114,F1C114,XF1C115,F1C115,XF1C121,F1C121,XF1C122,F1C122,XF1C123,F1C123,XF1C124,F1C124,XF1C125,F1C125,XF1C131,F1C131,XF1C132,F1C132,XF1C133,F1C133,XF1C134,F1C134,XF1C135,F1C135,XF1C141,F1C141,XF1C142,F1C142,XF1C143,F1C143,XF1C144,F1C144,XF1C145,F1C145,XF1C151,F1C151,XF1C152,F1C152,XF1C153,F1C153,XF1C154,F1C154,XF1C155,F1C155,XF1C161,F1C161,XF1C165,F1C165,XF1C171,F1C171,XF1C172,F1C172,XF1C173,F1C173,XF1C174,F1C174,XF1C175,F1C175,XF1C181,F1C181,XF1C182,F1C182,XF1C183,F1C183,XF1C184,F1C184,XF1C185,F1C185,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C194,F1C194,XF1C195,F1C195,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",47402803,"R",162269057,"R",54156313,"R",0,"R",108112744,"R",155515547,"R",2803161,"R",24179710,"R",26982871,"R",58710368,"R",0,"R",58710368,"R",85693239,"R",46975549,"R",22326924,"Z",0,"R",519835,"R",69822308,"R",4982207,"Z",0,"R",0,"R",4982207,"R",0,"Z",0,"R",0,"Z",0,"R",138096694,"Z",0,"R",0,"R",138096694,"R",6022907,"R",1771898,"R",726568,"R",7068237,"R",9016030,"R",703857,"R",0,"R",9719887,"R",0,"Z",0,"R",0,"Z",0,"R",4615557,"Z",0,"R",2213525,"R",2402032,"R",51160174,"R",3837682,"R",841543,"R",54156313,"R",27935321,"R",33738784,"R",2588240,"R",1489011,"R",10499801,"Z",0,"Z",0,"R",1883733,"R",78134890,"R",3478368,"R",34232111,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"R",2464854,"R",40175333,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",118310223,"R",23983227,"R",18845460,"R",3998327,"Z",0,"R",1139440,"R",12070514,"R",5810157,"R",974047,"Z",0,"R",5286310,"R",12406803,"R",7246158,"R",1400997,"Z",0,"R",3759648,"R",6880470,"R",3683351,"R",728919,"Z",0,"R",2468200,"R",9153322,"R",4762961,"R",973790,"Z",0,"R",3416571,"R",18517555,"R",7764959,"R",2755393,"Z",0,"R",7997203,"R",6944336,"R",2531792,"R",570808,"Z",0,"R",3841736,"R",3837682,"R",3837682,"R",12769335,"B",,"B",,"B",,"R",12769335,"R",9169739,"R",2879697,"R",623142,"Z",0,"R",5666900,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",115732983,"R",53524535,"R",12025423,"R",3837682,"R",46345343,"R",3167967,"R",3167967,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3167967,"R",0,"R",0,"R",0,"R",3167967,"R",118900950,"R",53524535,"R",12025423,"R",3837682,"R",49513310,"R",118310223,"R",118900950,"R",-590727,"R",71756166,"R",-1343131,"R",69822308,"R",10268911,"R",538536,"Z",0,"Z",0,"Z",0,"R",9474346,"R",20281793,"R",7512458,"R",0,"R",7512458,"R",12769335,1 ,"R",15513234,"R",17836152
100663,"R",455621486,"R",2243859552,"R",1009885072,"R",916559302,"R",2150533782,"R",2606155268,"R",20113429,"R",219060047,"R",239173476,"R",619340835,"R",16717093,"R",636057928,"R",875231404,"R",594520216,"R",167552874,"R",204616732,"R",764234042,"R",1730923864,"R",48624334,"R",11402651,"R",467000,"R",59559985,"R",71130491,"R",9235279,"R",0,"R",80365770,"R",1014810663,"R",327753047,"R",2815885,"R",1339747825,"R",563184510,"R",53117944,"R",26348307,"R",589954147,"R",62133499,"R",4152504,"R",0,"R",66286003,"R",0,"Z",0,"R",0,"Z",0,"R",322947978,"R",75190425,"R",290192581,"R",107945822,"R",932666875,"R",102494334,"R",25276137,"R",1009885072,"R",73626338,"R",317210534,"R",2504419,"R",44998713,"R",17435583,"R",729646427,"R",43956428,"R",42202665,"R",1271581107,"R",0,"R",225966057,"R",0,"R",13289342,"R",102556,"R",554465,"R",20222462,"R",90234251,"R",3715670,"R",354084803,"R",18232216,"R",32594108,"R",6361051,"R",26750000,"R",83937375,"R",1709603285,"R",218266616,"R",154047121,"R",34462940,"R",0,"R",29756555,"R",240175092,"R",122578591,"R",27449863,"R",0,"R",90146638,"R",67233341,"R",37977495,"R",8727248,"R",0,"R",20528598,"R",76254498,"R",46379781,"R",10782848,"R",0,"R",19091869,"R",19562595,"R",9775455,"R",2216286,"R",0,"R",7570854,"R",75907290,"R",40180292,"R",12871825,"R",0,"R",22855173,"R",46065416,"R",17757611,"R",4467336,"R",0,"R",23840469,"R",103073467,"R",103073467,"R",19733167,"B",,"B",,"B",,"R",19733167,"R",25235088,"R",9470670,"R",2444419,"R",0,"R",13319999,"R",686219809,"R",284624079,"R",73552436,"R",0,"R",328043294,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1577726379,"R",722791095,"R",176975201,"R",103073467,"R",574886616,"R",23480504,"R",23480504,"R",3267857,"R",0,"R",0,"R",0,"R",3267857,"R",26748361,"R",0,"R",0,"R",0,"R",26748361,"R",1604474740,"R",722791095,"R",176975201,"R",103073467,"R",601634977,"R",1709603285,"R",1604474740,"R",105128545,"R",1681552712,"R",-55757393,"R",1730923864,"R",9582184,"R",9785288,"R",189715,"R",480649,"R",7158472,"R",14629822,"R",41826130,"R",21669443,"R",423520,"R",22092963,"R",19733167,1 ,"R",279552521,"R",304338640
100706,"R",55145932,"R",258832220,"R",125617417,"R",44361557,"R",177576360,"R",232722292,"R",1870000,"R",30064264,"R",31934264,"R",58176000,"R",0,"R",58176000,"R",90110264,"R",75910726,"R",5939987,"R",1797288,"R",58964027,"R",142612028,"R",7793359,"R",11616,"R",10875,"R",7794100,"R",0,"R",0,"R",0,"R",0,"R",156706282,"R",16242196,"R",285841,"R",172662637,"R",51771824,"R",5581425,"R",1271454,"R",56081795,"R",21197130,"R",1096558,"R",0,"R",22293688,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",118065363,"R",9063055,"R",1511001,"R",125617417,"R",26814138,"R",50078241,"R",967399,"R",4288676,"R",5195915,"R",0,"R",0,"R",2754994,"R",90099363,"R",0,"R",38516070,"R",0,"R",0,"R",0,"R",0,"R",2684513,"R",4369339,"R",0,"R",45569922,"R",0,"R",5551328,"R",0,"R",0,"R",5551328,"R",141220613,"R",36873855,"R",25834281,"R",6723790,"R",0,"R",4315784,"R",42234860,"R",27557545,"R",6447876,"R",0,"R",8229439,"R",4713340,"R",984113,"R",212350,"R",0,"R",3516877,"R",5022485,"R",3143144,"R",803533,"R",0,"R",1075808,"R",8047676,"R",3062384,"R",793107,"R",0,"R",4192185,"R",9855414,"R",6837304,"R",2201734,"R",0,"R",816376,"R",7809192,"R",2632434,"R",834598,"R",0,"R",4342160,"R",9063055,"R",9063055,"R",569210,"B",,"B",,"B",,"R",569210,"R",3634744,"R",522967,"R",103694,"R",0,"R",3008083,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",127823831,"R",70574172,"R",18120682,"R",9063055,"R",30065922,"R",2707938,"R",2707938,"R",57169,"R",0,"R",0,"R",0,"R",57169,"R",2765107,"R",0,"R",0,"R",0,"R",2765107,"R",130588938,"R",70574172,"R",18120682,"R",9063055,"R",32831029,"R",141220613,"R",130588938,"R",10631675,"R",131980353,"R",0,"R",142612028,"R",3688815,"R",164965,"R",40567,"R",0,"R",1292752,"R",3337787,"R",8524886,"R",7683494,"R",272182,"R",7955676,"R",569210,1 ,"R",23493510,"R",27191692
100724,"R",74527525,"R",137374169,"R",64509032,"R",4530590,"R",77395727,"R",151923252,"R",1710000,"R",15722161,"R",17432161,"R",56072078,"R",1768717,"R",57840795,"R",75272956,"R",50089287,"R",8246403,"R",200000,"R",18114606,"R",76650296,"R",13029015,"R",220412,"R",0,"R",13249427,"R",6542612,"Z",0,"R",0,"R",6542612,"R",86589868,"Z",0,"R",0,"R",86589868,"R",19374754,"R",1488368,"R",0,"R",20863122,"R",8467515,"R",296206,"R",0,"R",8763721,"R",0,"Z",0,"R",0,"Z",0,"R",248643,"R",1116776,"R",0,"R",1365419,"R",60859151,"R",3649881,"R",0,"R",64509032,"R",27478790,"R",21591339,"R",8441414,"R",1588884,"R",7608187,"Z",0,"Z",0,"R",1667110,"R",68375724,"Z",0,"R",32210927,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",966255,"R",8888,"R",33186070,"R",698,"Z",0,"Z",0,"R",0,"R",698,"R",101562492,"R",22946866,"R",17555160,"R",3403765,"Z",0,"R",1987941,"R",2151220,"R",1058856,"R",106764,"Z",0,"R",985600,"R",5030806,"R",1308112,"R",248259,"Z",0,"R",3474435,"R",6158267,"R",3594578,"R",729739,"Z",0,"R",1833950,"R",8413389,"R",4273405,"R",1525194,"Z",0,"R",2614790,"R",14073303,"R",5002009,"R",1934568,"Z",0,"R",7136726,"R",7556789,"R",3662083,"R",925950,"Z",0,"R",2968756,"R",3649560,"R",3649560,"R",12692590,"B",,"B",,"B",,"R",12692590,"R",7452691,"R",2068592,"R",493516,"Z",0,"R",4890583,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",1893095,"R",0,"R",0,"R",0,"R",1893095,"R",92018576,"R",38522795,"R",9367755,"R",3649560,"R",40478466,"R",2834109,"R",2834109,"R",178085,"R",0,"R",0,"R",0,"R",178085,"R",3012194,"R",0,"R",0,"R",0,"R",3012194,"R",95030770,"R",38522795,"R",9367755,"R",3649560,"R",43490660,"R",101562492,"R",95030770,"R",6531722,"R",70118575,"R",-1,"R",76650296,"R",10536402,"R",1204167,"R",952021,"R",0,"R",0,"R",3594735,"R",16287325,"R",1977104,"R",1617631,"R",3594735,"R",12692590,1 ,"R",31398122,"R",39552627
100733,"R",1721210,"R",3321987,"R",2076975,"R",7114355,"R",8359367,"R",10080577,"R",0,"R",1177543,"R",1177543,"R",0,"R",0,"R",0,"R",1177543,"R",1351762,"R",0,"R",0,"R",7551272,"R",8903034,"R",106750,"R",0,"R",0,"R",106750,"R",56543,"R",0,"R",0,"R",56543,"R",1802424,"R",103792,"R",0,"R",1906216,"R",1430387,"R",100522,"R",171681,"R",1359228,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2041077,"R",164500,"R",128602,"R",2076975,"R",0,"R",0,"R",0,"R",0,"R",0,"B",,"B",,"R",9717772,"R",9717772,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",166678,"R",57762,"R",224440,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9942212,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",10058442,"R",6516190,"R",1685132,"R",200398,"R",1656722,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"B",,"B",,"B",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10058442,"R",6516190,"R",1685132,"R",200398,"R",1656722,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10058442,"R",6516190,"R",1685132,"R",200398,"R",1656722,"R",9942212,"R",10058442,"R",-116230,"R",9019265,"R",-1,"R",8903034,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",
100751,"R",130718704,"R",966514444,"R",362828783,"R",783656059,"R",1387341720,"R",1518060424,"R",6303871,"R",125814808,"R",132118679,"R",316125470,"R",13812862,"R",329938332,"R",462057011,"R",382682636,"R",245032736,"R",215449644,"R",212838397,"R",1056003413,"R",22697028,"R",135665,"R",0,"R",22832693,"R",22814383,"R",904887,"R",0,"R",23719270,"R",540098155,"R",59381688,"R",0,"R",599479843,"R",142504807,"R",18750292,"R",6349629,"R",154905470,"R",83416359,"R",6202019,"R",0,"R",89618378,"R",0,"Z",0,"R",0,"Z",0,"R",30103717,"R",48048821,"R",2193750,"R",75958788,"R",339591881,"R",29941228,"R",6704326,"R",362828783,"R",108300675,"R",53268772,"R",9059681,"R",3339141,"R",90801084,"Z",0,"Z",0,"R",22322866,"R",287092219,"R",0,"R",126910824,"R",0,"R",42000,"R",70900,"R",613633,"R",56714848,"R",72821298,"R",0,"R",257173503,"R",0,"R",7709438,"R",15540385,"R",0,"R",23249823,"R",567515545,"R",131538558,"R",91250172,"R",19839656,"R",5586362,"R",14862368,"R",24061409,"R",11882076,"R",1863268,"R",1198780,"R",9117285,"R",37079166,"R",21712805,"R",3892185,"R",273947,"R",11200229,"R",36922817,"R",21105923,"R",5072595,"R",9139613,"R",1604686,"R",13506288,"R",8087351,"R",1517699,"R",994055,"R",2907183,"R",37075388,"R",21871237,"R",10651908,"R",687599,"R",3864644,"R",29477952,"R",11788023,"R",3204437,"R",1016530,"R",13468962,"R",0,"R",0,"R",15722877,"B",,"B",,"B",,"R",15722877,"R",79951756,"R",28111420,"R",6679441,"R",11044342,"R",34116553,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",29941228,"R",0,"R",0,"R",0,"R",29941228,"R",435277439,"R",215809007,"R",52721189,"R",29941228,"R",136806015,"R",14496816,"R",14496816,"R",20588,"R",0,"R",0,"R",0,"R",20588,"R",14517404,"R",0,"R",0,"R",0,"R",14517404,"R",449794843,"R",215809007,"R",52721189,"R",29941228,"R",151323419,"R",567515545,"R",449794843,"R",117720702,"R",938282710,"R",1,"R",1056003413,"R",10139174,"R",2374014,"R",74752,"R",0,"R",7977757,"R",22095071,"R",42660768,"R",26937891,"R",0,"R",26937891,"R",15722877,1 ,"R",358823732,"R",409257866
100760,"R",8710125,"R",27130190,"R",8976869,"R",2090874,"R",20244195,"R",28954320,"R",325000,"R",1818090,"R",2143090,"R",8385000,"R",342544,"R",8727544,"R",10870634,"R",11545549,"R",1000977,"R",500,"R",5536660,"R",18083686,"R",1331474,"R",0,"R",0,"R",1331474,"R",1146121,"R",0,"R",0,"R",1146121,"R",18580751,"R",55547,"R",0,"R",18636298,"R",2374487,"R",831860,"R",32595,"R",3173752,"R",492581,"R",10201,"R",1320,"R",501462,"R",0,"R",0,"R",0,"R",0,"R",1217161,"R",3064874,"R",609478,"R",3672557,"R",8139432,"R",861774,"R",24337,"R",8976869,"R",1906366,"R",6054733,"R",103742,"R",36611,"R",1149297,"B",,"B",,"R",9933,"R",9260682,"R",0,"R",7164496,"R",10000,"R",0,"R",0,"R",0,"R",0,"R",161174,"R",366196,"R",7701866,"Z",0,"R",1706000,"Z",0,"R",0,"R",1706000,"R",18668548,"R",6922875,"R",4892962,"R",1124245,"R",0,"R",905668,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",152206,"R",85893,"R",24683,"R",0,"R",41630,"R",716575,"R",434332,"R",121332,"R",0,"R",160911,"R",1307302,"R",787436,"R",249757,"R",0,"R",270109,"R",1552255,"R",788515,"R",277948,"R",0,"R",485792,"R",1251526,"R",381920,"R",142309,"R",0,"R",727297,"R",861774,"R",861774,"R",1787500,"B",,"B",,"B",,"R",1787500,"R",1640903,"R",435581,"R",144334,"R",0,"R",1060988,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",16192916,"R",7806639,"R",2084608,"R",861774,"R",5439895,"R",367641,"R",367641,"R",184722,"R",0,"R",0,"R",0,"R",184722,"R",552363,"R",0,"R",0,"R",0,"R",552363,"R",16745279,"R",7806639,"R",2084608,"R",861774,"R",5992258,"R",18668548,"R",16745279,"R",1923269,"R",16114449,"R",45968,"R",18083686,"R",3300318,"R",67784,"R",6000,"R",0,"R",68784,"R",1111746,"R",4554632,"R",2767132,"R",0,"R",2767132,"R",1787500,1 ,"R",5033,"R",5048
100812,"R",11146877,"R",19806548,"R",7871007,"R",632011,"R",12567552,"R",23714429,"R",195000,"R",2453628,"R",2648628,"R",2200000,"R",611527,"R",2811527,"R",5460155,"R",10057809,"R",454061,"R",0,"R",7742404,"R",18254274,"R",502268,"R",15000,"R",0,"R",517268,"R",868498,"R",192179,"R",0,"R",1060677,"R",15404293,"R",126691,"R",0,"R",15530984,"R",2070196,"R",193540,"R",61378,"R",2202358,"R",914999,"R",36186,"R",0,"R",951185,"R",0,"R",0,"R",0,"R",0,"R",81994,"R",61344,"R",81994,"R",61344,"R",7285555,"R",646829,"R",61378,"R",7871006,"R",4564578,"R",11351724,"R",896356,"R",13633,"R",146713,"R",0,"R",0,"R",9067,"R",16982071,"R",0,"R",9793601,"R",0,"R",0,"R",0,"R",0,"R",0,"R",186833,"R",25365,"R",10005799,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"R",26987870,"R",8901315,"R",6531905,"R",1578185,"R",0,"R",791225,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1147211,"R",783236,"R",219749,"R",0,"R",144226,"R",1618826,"R",1212881,"R",350132,"R",0,"R",55813,"R",3650889,"R",1582235,"R",543375,"R",0,"R",1525279,"R",2073201,"R",945718,"R",355748,"R",0,"R",771735,"R",646829,"R",646829,"R",6825549,"B",,"B",,"B",,"R",6825549,"R",107811,"R",27153,"R",5315,"R",0,"R",75343,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",24971631,"R",11083128,"R",3052504,"R",646829,"R",10189170,"R",143600,"R",143600,"R",234572,"R",0,"R",0,"R",0,"R",234572,"R",378172,"R",0,"R",0,"R",0,"R",378172,"R",25349803,"R",11083128,"R",3052504,"R",646829,"R",10567342,"R",26987870,"R",25349803,"R",1638067,"R",16616207,"R",0,"R",18254274,"R",2317301,"R",8942692,"R",8025,"R",0,"R",0,"R",325145,"R",11593163,"R",4767614,"R",0,"R",4767614,"R",6825549,1 ,"R",913228,"R",948248
100830,"R",7640816,"R",81068316,"R",42384974,"R",21921510,"R",60604852,"R",68245668,"R",230000,"R",13182282,"R",13412282,"R",1555000,"R",2101692,"R",3656692,"R",17068974,"R",35588042,"R",5121155,"R",5430778,"R",5036719,"R",51176694,"R",1085032,"Z",0,"R",0,"R",1085032,"R",1471207,"Z",0,"R",0,"R",1471207,"R",53293895,"R",383206,"R",0,"R",53677101,"R",4415837,"R",291871,"R",398255,"R",4309453,"R",19868461,"R",892874,"R",235812,"R",20525523,"R",0,"Z",0,"R",0,"Z",0,"R",632,"Z",0,"R",632,"R",0,"R",40512733,"R",2377715,"R",505474,"R",42384974,"R",16677391,"R",6998735,"R",8448441,"R",146886,"R",4255531,"Z",0,"R",0,"R",3404423,"R",39931407,"Z",0,"R",20149157,"Z",0,"Z",0,"Z",0,"Z",0,"R",266121,"R",1041169,"R",0,"R",21456447,"R",69191,"R",53380,"R",52768,"R",0,"R",175339,"R",61563193,"R",21578171,"R",15693983,"R",3419834,"Z",0,"R",2464354,"R",237271,"R",154375,"R",23968,"Z",0,"R",58928,"R",12048030,"R",2390423,"R",477645,"Z",0,"R",9179962,"R",4415245,"R",2389940,"R",522772,"Z",0,"R",1502533,"R",4522027,"R",2701111,"R",580532,"Z",0,"R",1240384,"R",8337860,"R",3502840,"R",1613147,"Z",0,"R",3221873,"R",4669803,"R",1146564,"R",366051,"Z",0,"R",3157188,"R",2377715,"R",2377715,"R",2578778,"B",,"B",,"B",,"R",2578778,"R",4923749,"R",851554,"R",182766,"Z",0,"R",3889429,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",65688649,"R",28830790,"R",7186715,"R",2377715,"R",27293429,"R",51375,"R",51375,"R",0,"R",0,"R",0,"R",0,"R",0,"R",51375,"R",0,"R",0,"R",0,"R",51375,"R",65740024,"R",28830790,"R",7186715,"R",2377715,"R",27344804,"R",61563193,"R",65740024,"R",-4176831,"R",56281754,"R",-928229,"R",51176694,"R",4138125,"R",287168,"R",47410,"Z",0,"R",308480,"R",1482669,"R",6263852,"R",3317646,"R",367428,"R",3685074,"R",2578778,1 ,"R",15676599,"R",16025220
100858,"R",114872456,"R",934329106,"R",446594248,"R",617958603,"R",1105693461,"R",1220565917,"R",12418799,"R",171325553,"R",183744352,"R",274221060,"R",17607088,"R",291828148,"R",475572500,"R",359977381,"R",84883080,"R",17516412,"R",282616544,"R",744993417,"R",36886728,"R",4931393,"R",0,"R",41818121,"R",78369425,"R",14536765,"R",11254861,"R",81651329,"R",511443037,"R",77337895,"R",5714359,"R",583066573,"R",140626703,"R",13771475,"R",7727472,"R",146670706,"R",98232984,"R",6967589,"R",99400,"R",105101173,"R",0,"R",0,"R",0,"R",0,"R",73913571,"R",38102046,"R",41289207,"R",70726410,"R",441357582,"R",28262895,"R",23026229,"R",446594248,"R",175637868,"R",84123041,"R",4432442,"R",12984455,"R",56659935,"R",0,"R",0,"R",30791843,"R",364629584,"R",0,"R",196245917,"R",0,"R",0,"R",0,"R",0,"R",30429743,"R",27062299,"R",0,"R",253737959,"R",7890639,"R",7117176,"R",3589707,"R",0,"R",18597522,"R",636965065,"R",168125242,"R",114304642,"R",19941578,"Z",0,"R",33879022,"R",94786817,"R",49066556,"R",10135948,"Z",0,"R",35584313,"R",65066968,"R",33328315,"R",11239843,"Z",0,"R",20498810,"R",38635062,"R",22959039,"R",5292520,"Z",0,"R",10383503,"R",10564348,"R",5508062,"R",1191132,"Z",0,"R",3865154,"R",37945146,"R",25760980,"R",10922537,"Z",0,"R",1261629,"R",30527941,"R",14786481,"R",4611639,"Z",0,"R",11129821,"R",28262895,"R",28262895,"R",13494916,"B",,"B",,"B",,"R",13494916,"R",65471476,"R",25494297,"R",5088290,"Z",0,"R",34888889,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",552880811,"R",291208372,"R",68423487,"R",28262895,"R",164986057,"R",20219179,"R",20219179,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20219179,"R",0,"R",0,"R",0,"R",20219179,"R",573099990,"R",291208372,"R",68423487,"R",28262895,"R",185205236,"R",636965065,"R",573099990,"R",63865075,"R",681128342,"R",0,"R",744993417,"R",6895173,"R",790667,"R",0,"R",0,"R",12081135,"R",27664101,"R",47431076,"R",32505140,"R",1431020,"R",33936160,"R",13494916,1 ,"R",288453211,"R",354378773
