UNITID,CONTRACT,ARANK,XEMPCNTM,EMPCNTM,XOUTLAYM,OUTLAYM,XAVESALM,AVESALM,XEMPCNTW,EMPCNTW,XOUTLAYW,OUTLAYW,XAVESALW,AVESALW,XEMPCNTT,EMPCNTT,XOUTLAYT,OUTLAYT,XAVESALT,AVESALT 
100654,1,1,"R",21,"R",1747206,"R",83200,"R",13,"R",1136489,"R",87422,"R",34,"R",2883695,"R",84815
100654,1,2,"R",36,"R",2540115,"R",70559,"R",17,"R",1184019,"R",69648,"R",53,"R",3724134,"R",70267
100654,1,3,"R",69,"R",3829526,"R",55500,"R",40,"R",2092031,"R",52301,"R",109,"R",5921557,"R",54326
100654,1,4,"R",17,"R",745357,"R",43845,"R",32,"R",1392623,"R",43519,"R",49,"R",2137980,"R",43632
100654,1,7,"R",143,"R",8862204,"R",61973,"R",102,"R",5805162,"R",56913,"R",245,"R",14667366,"R",59867
100654,2,1,"R",12,"R",1299160,"R",108263,"R",3,"R",330854,"R",110285,"R",15,"R",1630014,"R",108668
100654,2,2,"R",5,"R",515203,"R",103041,"R",3,"R",241617,"R",80539,"R",8,"R",756820,"R",94603
100654,2,3,"R",3,"R",279688,"R",93229,"R",5,"R",388208,"R",77642,"R",8,"R",667896,"R",83487
100654,2,7,"R",20,"R",2094051,"R",104703,"R",11,"R",960679,"R",87334,"R",31,"R",3054730,"R",98540
100654,4,1,"R",33,"R",2810179,"R",85157,"R",16,"R",1407194,"R",87950,"R",49,"R",4217373,"R",86069
100654,4,2,"R",41,"R",2961654,"R",72235,"R",20,"R",1381710,"R",69086,"R",61,"R",4343364,"R",71203
100654,4,3,"R",72,"R",4058367,"R",56366,"R",45,"R",2409663,"R",53548,"R",117,"R",6468030,"R",55282
100654,4,4,"R",17,"R",745357,"R",43845,"R",32,"R",1392623,"R",43519,"R",49,"R",2137980,"R",43632
100654,4,7,"R",163,"R",10575557,"R",64881,"R",113,"R",6591190,"R",58329,"R",276,"R",17166747,"R",62198
100663,1,1,"R",75,"R",7691751,"R",102557,"R",20,"R",1829209,"R",91460,"R",95,"R",9520960,"R",100221
100663,1,2,"R",79,"R",5996554,"R",75906,"R",50,"R",3455988,"R",69120,"R",129,"R",9452542,"R",73276
100663,1,3,"R",70,"R",4362792,"R",62326,"R",53,"R",3176095,"R",59926,"R",123,"R",7538887,"R",61292
100663,1,4,"R",14,"R",648920,"R",46351,"R",19,"R",807727,"R",42512,"R",33,"R",1456647,"R",44141
100663,1,5,"Z",0,"Z",0,"A",,"R",1,"R",36000,"R",36000,"R",1,"R",36000,"R",36000
