unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b124,b131,b132,b133,b134,b161,b162,b163,b164,b191,b192,b193,b194,b221,b222,b223,b224,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072","xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb124","xb131","xb132","xb133","xb134","xb161","xb162","xb163","xb164","xb191","xb192","xb193","xb194","xb221","xb222","xb223","xb224","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"143215","12654849","1186771","13841620","11471781","0","0","0","0","283329","4479252","4762581","2456403","2847901","35754","2883655","1894838","2600970","897988","3498958","2748106","5865810","3294926","9160736","2501150","2821528","0","2821528","1249005","0","3372937","3372937","0","0","0","1200876","325454","1526330","28275263","13593082","41868345","22321283","3221500","0","3221500","614356","0","0","0","0","0","0","0","0","31496763","13593082","45089845","22935639","22321283","2008757","168262","0","24498302","597555","0","124921","0","0","0","0",10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,31
"143233","278421","142901","421322","229451","0","0","0","0","0","49241","49241","33734","114869","0","114869","55495","2787","0","2787","0","506347","35336","541683","294846","71115","13628","84743","16408","177197","71810","249007","0","0","0","187295","-107808","79487","1338031","205108","1543139","629934","19835","0","19835","0","0","0","0","0","0","0","0","0","1357866","205108","1562974","629934","629934","0","0","0","629934","22003","0","0","0","0","0","0",10,10,10,10,31,31,31,31,31,10,10,10,10,31,10,10,10,31,10,31,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,18,10,31,10,31,31,31,31,31,31,31,31,31,18,18,18,18,18,31,31,31,18,10,31,31,31,31,31,31
"143279","9718697","1730420","11449117","7950456","0","0","0","0","754304","1623243","2377547","528424","2405253","1548630","3953883","1901425","2035418","3041028","5076446","1437736","4011266","1452413","5463679","2208543","2522229","150463","2672692","1028245","1324406","2996478","4320884","0","0","0","-160000","0","-160000","22611573","12542675","35154248","15054829","2717935","4794","2722729","403663","0","0","0","0","0","0","0","0","25329508","12547469","37876977","15458492","15054829","2258426","0","0","17313255","416526","0","0","0","0","0","0",10,10,10,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,10,10,10,10,18,18,10,10,10,10,10,10,31,31,31,31,31,31,31,31,18,18,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"143288","1349825","110863","1460688","1051555","0","0","0","0","0","0","0","0","242380","25749","268129","106782","860470","14315","874785","449038","588134","46870","635004","314072","241016","150815","391831","179601","954482","620496","1574978","27451","0","27451","0","0","0","4263758","969108","5232866","2101048","1172523","797","1173320","47696","0","0","0","0","0","0","0","0","5436281","969905","6406186","2148744","2101048","420507","0","0","2521555","125790","0","0","0","0","0","0",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"143297","1473897","0","1473897","1199323","0","0","0","0","0","0","0","0","425380","0","425380","219513","504985","0","504985","382833","0","0","0","0","0","0","0","0","0","1408511","1408511","0","0","0","0","0","0","2404262","1408511","3812773","1801669","0","0","0","0","0","0","0","0","0","0","0","0","2404262","1408511","3812773","1801669","1801669","150798","0","0","1952467","41387","0","0","0","0","0","0",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"143358","22046016","9766667","31812683","19814908","385487","344972","730459","238683","2070646","108312","2178958","1133449","3400769","20271","3421040","2699911","4146938","0","4146938","1752116","13544774","0","13544774","2482874","4901604","0","4901604","2651659","13774689","4295715","18070404","1672540","0","1672540","2661540","402486","3064026","68605003","14938423","83543426","30773600","10852775","0","10852775","2714307","0","0","0","0","0","0","0","0","79457778","14938423","94396201","33487907","30773600","9304980","0","0","40078580","1630384","0","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
"143367","32551","0","32551","32551","300096","0","300096","0","0","0","0","0","20000","0","20000","0","3091","0","3091","0","0","0","0","0","220000","0","220000","0","40396","0","40396","0","0","0","77767","0","77767","693901","0","693901","32551","0","0","0","0","0","0","0","0","0","0","0","0","693901","0","693901","32551","32551","2473","0","0","35024","20000","0","0","0","0","0","0",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"143613","3626162","2212414","5838576","3997893","0","0","0","0","12353","217974","230327","113778","272166","0","272166","180867","470089","1189784","1659873","428964","1454342","1333837","2788179","537668","808235","1420150","2228385","338873","0","1376032","1376032","0","0","0","-363833","0","-363833","6279514","7750191","14029705","5598043","566619","0","566619","0","0","0","0","0","0","0","0","0","6846133","7750191","14596324","5598043","5598043","0","0","517712","6115755","249450","0","0","0","0","0","0",10,10,18,10,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,31,11,10,11,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,31,31,10,10,10,31,31,31,31,31,31
"143659","1602804","99824","1702628","1018264","0","0","0","0","0","0","0","0","323530","0","323530","175328","121363","0","121363","73202","699373","7151","706524","363789","359763","0","359763","79975","32092","143270","175362","19373","0","19373","0","0","0","3158298","250245","3408543","1710558","590882","0","590882","46648","0","0","0","0","0","0","0","0","3749180","250245","3999425","1757206","1710558","108577","0","0","1819135","80589","19304","0","0","0","0","0",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"143853","5481101","0","5481101","4943224","519347","755791","1275138","642585","29575","1449968","1479543","561865","12909027","414225","13323252","7817998","1164512","0","1164512","758185","9022513","134756","9157269","2974350","4054438","0","4054438","834283","0","918542","918542","0","0","0","0","0","0","33180513","3673282","36853795","18532490","251142","0","251142","162020","0","0","0","0","0","0","0","0","33431655","3673282","37104937","18694510","18532490","4278294","0","0","22810784","872263","0","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,10,10,31,31,31,31,31,31
