unitid,"xf2a01_1",f2a01_1,"xf2a02_1",f2a02_1,"xf2a04_1",f2a04_1,"xf2a05_1",f2a05_1,"xf2a06_1",f2a06_1,"xf2a07_1",f2a07_1,"xf2a08_1",f2a08_1,"xf2a09_1",f2a09_1,"xf2a10_1",f2a10_1,"xf2a11_1",f2a11_1,"xf2a12_1",f2a12_1,"xf2a13_1",f2a13_1,"xf2a14_1",f2a14_1,"xf2a15_1",f2a15_1,"xf2a16_1",f2a16_1,"xf2a17_1",f2a17_1,"xf2aa01",f2aa01,"xf2aa02",f2aa02,"xf2aa03",f2aa03,"xf2aa04",f2aa04,"xf2aa05",f2aa05,"xf2aa06",f2aa06,"xf2aa07",f2aa07,"xf2aa08",f2aa08,"xf2aa09",f2aa09,"xf2b01_1",f2b01_1,"xf2b01_2",f2b01_2,"xf2b02_1",f2b02_1,"xf2b02_2",f2b02_2,"xf2b03_1",f2b03_1,"xf2b03_2",f2b03_2,"xf2b04_1",f2b04_1,"xf2b04_2",f2b04_2,"xf2b05_1",f2b05_1,"xf2b05_2",f2b05_2,"xf2b06_1",f2b06_1,"xf2b06_2",f2b06_2,"xf2b07_1",f2b07_1,"xf2b07_2",f2b07_2,"xf2b08_1",f2b08_1,"xf2b08_2",f2b08_2,"xf2b09_1",f2b09_1,"xf2b09_2",f2b09_2,"xf2b10_1",f2b10_1,"xf2b10_2",f2b10_2,"xf2b11_2",f2b11_2,"xf2b12_1",f2b12_1,"xf2b12_2",f2b12_2,"xf2b12_3",f2b12_3,"xf2b12_5",f2b12_5,"xf2b12_6",f2b12_6,"xf2b12_7",f2b12_7,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c0308",f2c0308,"xf2c09",f2c09,"xf2c10",f2c10,"xf2c11",f2c11,"xf2c12",f2c12,"xf2d05",f2d05,"xf2d08",f2d08,"xf2d17",f2d17,"xf2d20",f2d20,"xf2d23",f2d23,"xf2d24",f2d24,"xf2dc014",f2dc014,"xf2dc024",f2dc024,"xf2dc034",f2dc034,"xf2dc044",f2dc044
"151777",10,"7552921",10,"0",10,"0",10,"0",10,"297787",10,"56320",10,"0",10,"6816126",10,"0",10,"4198244",10,"0",10,"4434582",10,"0",10,"0",10,"1187268",10,"24543248",10,"469721",10,"662666",10,"1704959",10,"320571",10,"545437",10,"4102623",11,"7805977",10,"5012984",10,"0",10,"4771809",10,"2884917",10,"16253",10,"0",10,"12266",10,"0",10,"1669362",10,"601713",10,"2698708",10,"1203853",10,"4501355",10,"1240230",10,"3839755",10,"461905",10,"34326",10,"0",18,"0",10,"0",18,"0",10,"0",10,"587095",10,"17543834",10,"6979713",10,"1468924",10,"951859",10,"548844",10,"7594494",10,"24543248",10,"-17543834",10,"-298100",10,"6701314",10,"36659690",10,"0",10,"43361004",10,"35052394",10,"60648739",10,"17287735",10,"18553101",10,"24807903",10,"43361004",10,"737582",10,"29562878",10,"5250412",10,"0"
"151786",10,"8472034",10,"0",10,"0",10,"0",10,"25223",10,"0",10,"0",10,"3331394",10,"0",10,"872885",10,"0",10,"3270874",10,"0",10,"0",10,"267004",10,"16239414",10,"42248",10,"0",10,"0",10,"0",10,"161018",10,"4036232",10,"4239498",10,"4197250",10,"0",10,"6061938",10,"3885427",18,"0",10,"0",18,"0",10,"0",10,"878539",10,"310564",10,"1283494",10,"712498",10,"3965830",10,"1749130",10,"3302938",10,"248981",10,"42248",10,"0",18,"0",10,"0",18,"0",10,"0",10,"773753",10,"15534987",10,"7680353",10,"1767962",10,"760502",10,"109952",10,"5216218",10,"16239414",10,"-15534987",10,"0",10,"704427",10,"15437650",10,"0",10,"16142077",10,"6278517",11,"26411438",11,"10269361",10,"8171034",10,"7971043",10,"16142077",10,"710329",10,"15786954",10,"8626837",10,"0"
"151801",10,"26498804",10,"0",10,"0",10,"0",10,"766790",10,"0",10,"0",10,"3637459",10,"780601",10,"2933064",10,"360179",10,"8285216",10,"0",10,"0",10,"486726",10,"43748839",10,"2880286",10,"1533580",10,"3950694",10,"0",10,"1563704",10,"9355570",11,"19283834",10,"6276427",10,"0",10,"12495464",10,"7597533",18,"0",10,"0",18,"0",10,"0",10,"1635279",10,"469925",10,"6443768",10,"2766296",10,"6422288",10,"2188249",10,"7458589",10,"777055",18,"0",10,"0",18,"0",10,"0",18,"0",10,"0",10,"1053911",10,"34455388",10,"14852969",10,"2673535",10,"2673840",10,"1529746",10,"12725298",10,"43748839",10,"-34455388",10,"-478319",10,"8815132",10,"51897236",10,"2481901",10,"63194269",10,"15088553",10,"104533549",10,"41339280",10,"49165346",10,"14028923",10,"63194269",10,"3131970",10,"51422590",10,"8745363",10,"0"
"151810",10,"1563382",10,"0",10,"0",10,"0",10,"481272",10,"797399",10,"12000",10,"877948",10,"0",10,"95966",10,"0",10,"203887",10,"0",10,"0",10,"204192",10,"4236046",10,"481272",10,"0",10,"797399",10,"0",10,"0",10,"0",10,"1278671",11,"0",10,"0",10,"1937039",10,"1252376",18,"0",10,"0",18,"0",10,"0",18,"0",10,"0",10,"616279",10,"415922",10,"1612871",10,"884723",10,"199646",10,"32596",18,"0",10,"0",18,"0",10,"0",18,"0",10,"0",10,"0",10,"4365835",10,"2585617",10,"294587",10,"112831",10,"20673",10,"1352127",10,"4236046",10,"-4365835",10,"0",11,"-129789",10,"3634591",10,"0",10,"3504802",10,"1042275",10,"4125121",10,"620319",10,"2030282",10,"1474520",10,"3504802",10,"200398",10,"1674119",10,"647264",10,"0"
"151865",10,"363980",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2271676",10,"0",10,"1548447",10,"26274",10,"264901",10,"0",10,"0",10,"236677",10,"4711955",10,"0",10,"0",10,"0",10,"0",10,"43703",10,"208291",10,"251994",10,"0",10,"0",10,"774176",10,"543347",10,"36746",10,"8500",18,"0",10,"0",10,"389582",10,"175136",10,"167906",10,"121163",10,"1047384",10,"353750",10,"259303",10,"65927",10,"12759",10,"0",18,"0",10,"0",18,"0",10,"0",10,"68723",10,"2687856",10,"1336546",10,"282336",10,"175521",18,"0",10,"893453",10,"4711955",10,"-2687856",10,"-37261",10,"1986838",10,"10974490",10,"0",10,"12961328",10,"10291435",10,"13263935",10,"302607",11,"5537531",11,"7423797",11,"12961328",10,"244044",10,"3602788",10,"574132",10,"0"
"151962",10,"543893",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"19338",10,"563231",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"171713",10,"144207",18,"0",10,"0",18,"0",10,"0",10,"68980",10,"57930",10,"375264",10,"21466",18,"0",10,"0",18,"0",10,"0",18,"0",10,"0",18,"0",10,"0",18,"0",10,"0",10,"0",10,"615957",10,"223603",10,"42650",10,"7793",18,"0",10,"341911",10,"563231",10,"-615957",10,"0",10,"-52726",10,"334922",10,"0",10,"282196",10,"0",10,"429614",10,"147418",10,"282196",10,"0",10,"282196",10,"16875",10,"0",10,"66489",10,"0"
"152080",10,"145251000",10,"0",10,"0",10,"0",10,"25822000",10,"550000",10,"0",10,"117155000",10,"0",10,"326341000",10,"1310000",10,"95611000",10,"0",10,"0",10,"17174000",10,"729214000",10,"1228000",10,"7219000",10,"694000",10,"0",10,"27329000",10,"22856000",10,"59326000",10,"43609000",10,"1397000",10,"133763000",10,"79750018",10,"23449000",10,"12124742",10,"17814000",10,"3714256",10,"33433000",10,"12367822",10,"17970000",10,"7395156",10,"54227000",10,"18425168",10,"89100000",10,"27743435",10,"3057000",10,"0",18,"0",10,"0",18,"0",10,"0",10,"12649501",10,"372813000",10,"174170098",10,"30888810",10,"20238658",10,"6905319",10,"140610115",10,"729214000",10,"-372813000",10,"1623000",10,"358024000",10,"2203840000",10,"0",10,"2561864000",10,"2161563000",10,"2922396000",10,"360532000",10,"1301247000",10,"1260617000",10,"2561864000",10,"34667000",10,"443266000",10,"182304000",10,"0"
"152099",10,"8312175",10,"341990",10,"0",10,"0",10,"1272272",10,"1714277",10,"0",10,"1099554",10,"0",10,"62599",10,"0",10,"1006880",10,"0",10,"0",10,"42333",10,"13852080",10,"584090",10,"688182",10,"1714277",10,"0",10,"0",10,"0",10,"2986549",10,"0",10,"0",11,"3453824",10,"2154204",18,"0",10,"0",11,"435277",10,"196578",11,"172343",10,"58269",11,"1041198",10,"103952",11,"1505089",10,"479542",11,"410364",10,"60305",10,"5610519",10,"64032",18,"0",10,"0",18,"0",10,"0",10,"192535",10,"12628614",10,"3309417",10,"78053",10,"328161",10,"162275",10,"8750708",10,"13852080",10,"-12628614",10,"0",10,"1223466",10,"8363776",11,"4",11,"9587246",10,"2080800",10,"14122841",10,"4535595",10,"5758217",10,"3829029",10,"9587246",10,"763557",10,"6727247",10,"2362124",10,"0"
"152318",10,"18118587",10,"0",10,"0",10,"0",10,"4796263",10,"198359",10,"0",10,"8554861",10,"0",10,"25145708",10,"0",10,"6076592",10,"0",10,"0",10,"16166",10,"62906536",10,"435536",10,"705913",10,"1409873",10,"32141",10,"2270249",10,"6347962",10,"11201674",10,"6719234",10,"0",10,"16390608",10,"9408738",18,"0",10,"0",18,"0",10,"0",10,"2852977",10,"712167",10,"4449192",10,"1516718",10,"5911270",10,"2520713",10,"8966147",10,"574170",18,"0",10,"0",18,"0",10,"0",18,"0",10,"0",10,"1243660",10,"38570194",10,"15976166",10,"5291251",10,"3135770",10,"1722804",10,"12444203",10,"62906536",10,"-38570194",10,"-474867",10,"23861475",10,"158025570",10,"0",10,"181887045",10,"134148948",10,"224357972",10,"42470927",10,"126751843",10,"55135202",10,"181887045",10,"1762886",10,"67823709",10,"24742929",10,"0"
"152336",10,"6787183",10,"0",10,"0",10,"0",10,"3846403",10,"1097286",10,"0",10,"3221566",10,"0",10,"683522",10,"75296",10,"1365095",10,"0",10,"0",10,"247192",10,"17323543",10,"836632",10,"301082",10,"2194572",10,"0",10,"81100",10,"4304848",10,"7718234",11,"7136663",10,"0",10,"3512657",10,"2254828",18,"0",10,"0",18,"0",10,"0",10,"4080542",10,"3339060",10,"1854372",10,"1081133",10,"2324142",10,"857760",10,"1150274",10,"149493",10,"5064183",10,"79569",18,"0",10,"0",18,"0",10,"0",10,"401227",11,"17986170",10,"8163070",11,"827584",10,"399301",18,"0",10,"8596215",10,"17323543",11,"-17986170",11,"0",11,"-662627",10,"8880597",11,"3000000",10,"11217970",10,"6709999",10,"16747232",10,"5529262",10,"6827856",10,"4390114",10,"11217970",10,"301124",10,"9242163",10,"3714396",10,"0"
