unitid,part,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,a65,a66,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,a80,a81,a82,a83,a84,a85,a86,a87,a88,a89,a90,a91,a92,a93,a94,a95,a96,a97,a98,a99,a100,a101,a102,a103,a104,a105,a106,a107,a108,a109,a110,a111,a112,a113,a114,a115,a116,a117,a118,a119,a120,a121,a122,a123,a124,a125,a126,a127,a128,a129,a130,a131,a132,a133,a134,a135,a136,a137,a138,a139,a140,a141,a142,a143,a144,a145,a146,a147,a148,a149,a150,a151,a152,a153,a154,a155,ga34,ga35,ga69,ga70,ga74,ga75,ga109,ga110,ga144,ga145,ga149,ga150
"100654","A","40","2","1","43","2146205","27","30","5","62","2560019","25","38","21","84","2962491","0","4","8","12","323413","0","0","0","0","0","0","0","0","0","0","92","74","35","201","7992128","15","0","0","15","733605","15","9","3","27","1065629","12","21","5","38","1264516","0","7","11","18","461185","0","0","0","0","0","0","0","0","0","0","42","37","19","98","3524935","134","111","54","299","11517063","5","0","0","5","338113","0","2","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","8","450356","1","0","0","1","0","2","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","4","162082","8","4","0","12","612438","0","0","0","0","0","201","7992128","98","3524935","299","11517063","8","450356","4","162082","12","612438"
"100663","A","55","0","1","56","3668682","102","8","4","114","5520291","2","43","2","47","1953289","0","1","6","7","212813","0","0","3","3","104658","0","0","0","0","0","159","52","16","227","11459733","8","0","0","8","485199","29","2","2","33","1430437","0","35","2","37","1387771","1","0","12","13","390151","0","0","1","1","0","0","0","0","0","0","38","37","17","92","0","197","89","33","319","0","104","0","3","107","10042699","60","5","2","67","4656754","3","17","11","31","1869895","0","0","5","5","217863","0","0","0","0","0","0","0","0","0","0","167","22","21","210","16787211","29","1","0","30","2412937","41","5","6","52","3106610","24","25","16","65","3312066","0","1","1","2","0","0","0","2","2","0","0","0","0","0","0","94","32","25","151","9001547","261","54","46","361","25788758","0","0","0","0","0","227","11459733","91","3693558","318","15153291","210","16787211","151","9001547","361","25788758"
"100672","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","2","0","15","603705","13","2","0","15","603705","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","4","149753","3","1","0","4","149753","16","3","0","19","753458","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","603705","4","149753","19","753458","0","0","0","0","0","0"
"100690","A","0","0","0","0","0","0","0","3","3","102000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","102000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","102000","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","92800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","4","4","108300","0","0","0","0","0","3","102000","0","0","3","102000","3","92800","0","0","3","92800"
"100706","A","52","1","1","54","3341973","48","8","2","58","2631558","1","27","7","35","1600417","0","0","1","1","0","0","0","4","4","111900","0","0","0","0","0","101","36","15","152","0","3","0","0","3","166017","19","1","1","21","865484","2","20","8","30","1094953","1","1","6","8","238568","0","0","12","12","294639","0","0","0","0","0","25","22","27","74","2659661","126","58","42","226","0","24","1","1","26","2306639","10","0","1","11","605921","1","1","0","2","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","35","2","4","41","3056053","1","0","0","1","0","4","0","0","4","175234","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","5","0","2","7","324202","40","2","6","48","3380255","0","0","0","0","0","151","7685848","74","2659661","225","10345509","41","3056053","7","324202","48","3380255"
"100724","A","17","0","2","19","971262","24","6","4","34","1424393","7","15","11","33","1281411","0","2","21","23","698387","0","0","0","0","0","0","0","0","0","0","48","23","38","109","4375453","11","1","0","12","575425","18","4","2","24","1017852","14","16","5","35","1232433","0","10","32","42","1222296","0","0","0","0","0","0","0","0","0","0","43","31","39","113","4048006","91","54","77","222","8423459","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","4375453","113","4048006","222","8423459","0","0","0","0","0","0"
"100751","A","206","1","2","209","13909516","153","7","2","162","8069914","5","87","8","100","4310889","1","0","32","33","867699","0","0","2","2","0","0","0","0","0","0","365","95","46","506","0","32","0","0","32","2003748","54","4","0","58","2653410","6","61","11","78","3002086","0","0","39","39","1122769","0","0","3","3","76497","0","0","0","0","0","92","65","53","210","8858510","457","160","99","716","0","11","0","0","11","892249","2","0","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","13","0","1","14","1056565","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","6","6","166138","0","0","0","0","0","0","0","0","0","0","2","0","6","8","0","15","0","7","22","1341969","0","0","0","0","0","504","27158018","210","8858510","714","36016528","14","1056565","6","166138","20","1222703"
"100760","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","7","0","27","1011926","20","7","0","27","1011926","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","6","0","20","730699","14","6","0","20","730699","34","13","0","47","1742625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","1","1","0","2","0","3","1","0","4","204522","0","0","0","0","0","27","1011926","20","730699","47","1742625","0","0","0","0","0","0"
"101648","A","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","8","11","272148","3","0","8","11","272148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","2","0","0","2","0","5","0","8","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","11","272148","0","0","11","272148","0","0","0","0","0","0"
"101675","A","1","0","0","1","0","0","2","2","4","64590","0","4","2","6","145555","0","3","1","4","82803","0","0","2","2","0","0","0","0","0","0","1","9","7","17","340368","0","0","0","0","0","1","0","1","2","0","0","6","1","7","161107","0","0","7","7","136845","0","0","0","0","0","0","0","0","0","0","1","6","9","16","0","2","15","16","33","688027","2","0","0","2","0","2","0","0","2","0","0","0","2","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","4","0","3","7","207693","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","87241","4","2","4","10","294934","0","0","0","0","0","17","340368","14","297952","31","638320","7","207693","3","87241","10","294934"
