UNITID,XF1A01,F1A01,XF1A02,F1A02,XF1A03,F1A03,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A211,F1A211,XF1A212,F1A212,XF1A213,F1A213,XF1A214,F1A214,XF1A221,F1A221,XF1A222,F1A222,XF1A223,F1A223,XF1A224,F1A224,XF1A231,F1A231,XF1A232,F1A232,XF1A233,F1A233,XF1A234,F1A234,XF1A241,F1A241,XF1A242,F1A242,XF1A243,F1A243,XF1A244,F1A244,XF1A251,F1A251,XF1A252,F1A252,XF1A253,F1A253,XF1A254,F1A254,XF1A261,F1A261,XF1A262,F1A262,XF1A263,F1A263,XF1A264,F1A264,XF1A271,F1A271,XF1A272,F1A272,XF1A273,F1A273,XF1A274,F1A274,XF1A281,F1A281,XF1A282,F1A282,XF1A283,F1A283,XF1A284,F1A284,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B05,F1B05,XF1B06,F1B06,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C013,F1C013,XF1C014,F1C014,XF1C015,F1C015,XF1C021,F1C021,XF1C022,F1C022,XF1C023,F1C023,XF1C024,F1C024,XF1C025,F1C025,XF1C031,F1C031,XF1C032,F1C032,XF1C033,F1C033,XF1C034,F1C034,XF1C035,F1C035,XF1C051,F1C051,XF1C052,F1C052,XF1C053,F1C053,XF1C054,F1C054,XF1C055,F1C055,XF1C061,F1C061,XF1C062,F1C062,XF1C063,F1C063,XF1C064,F1C064,XF1C065,F1C065,XF1C071,F1C071,XF1C072,F1C072,XF1C073,F1C073,XF1C074,F1C074,XF1C075,F1C075,XF1C081,F1C081,XF1C082,F1C082,XF1C083,F1C083,XF1C084,F1C084,XF1C085,F1C085,XF1C091,F1C091,XF1C094,F1C094,XF1C101,F1C101,XF1C102,F1C102,XF1C103,F1C103,XF1C104,F1C104,XF1C105,F1C105,XF1C111,F1C111,XF1C112,F1C112,XF1C113,F1C113,XF1C114,F1C114,XF1C115,F1C115,XF1C121,F1C121,XF1C122,F1C122,XF1C123,F1C123,XF1C124,F1C124,XF1C125,F1C125,XF1C131,F1C131,XF1C132,F1C132,XF1C133,F1C133,XF1C134,F1C134,XF1C135,F1C135,XF1C141,F1C141,XF1C142,F1C142,XF1C143,F1C143,XF1C144,F1C144,XF1C145,F1C145,XF1C151,F1C151,XF1C152,F1C152,XF1C153,F1C153,XF1C154,F1C154,XF1C155,F1C155,XF1C161,F1C161,XF1C165,F1C165,XF1C171,F1C171,XF1C172,F1C172,XF1C173,F1C173,XF1C174,F1C174,XF1C175,F1C175,XF1C181,F1C181,XF1C182,F1C182,XF1C183,F1C183,XF1C184,F1C184,XF1C185,F1C185,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C194,F1C194,XF1C195,F1C195,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",48848932,"R",162733395,"R",51160174,"R",0,"R",111573221,"R",160422153,"R",2742641,"R",24496199,"R",27238840,"R",61427147,"R",0,"R",61427147,"R",88665987,"R",48442540,"R",20886214,"Z",0,"R",2427412,"R",71756166,"R",4982207,"Z",0,"R",0,"R",4982207,"R",0,"Z",0,"R",0,"Z",0,"R",130997276,"R",7099418,"R",0,"R",138096694,"R",5890796,"R",247086,"R",114975,"R",6022907,"R",8213731,"R",802299,"R",0,"R",9016030,"Z",0,"Z",0,"R",0,"Z",0,"R",16542922,"R",1118935,"R",13046300,"R",4615557,"R",47574470,"R",3585704,"R",0,"R",51160174,"R",26977609,"R",28965398,"R",3089880,"R",1174655,"R",10049798,"Z",0,"Z",0,"R",2159900,"R",72417240,"R",3457991,"R",33926225,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",11670,"R",5263742,"R",42659628,"Z",0,"R",7099418,"Z",0,"R",0,"R",7099418,"R",122176286,"R",21317976,"R",17280432,"R",3086165,"Z",0,"R",951379,"R",10664248,"R",5236936,"R",787738,"Z",0,"R",4639574,"R",11740228,"R",6863653,"R",1157910,"Z",0,"R",3718665,"R",6489464,"R",3486069,"R",554114,"Z",0,"R",2449281,"R",8168292,"R",4317804,"R",723005,"Z",0,"R",3127483,"R",17568801,"R",7102015,"R",3585670,"Z",0,"R",6881116,"R",6533577,"R",2272729,"R",423734,"Z",0,"R",3837114,"R",6699573,"R",6699573,"R",11308974,"A",,"A",,"A",,"R",11308974,"R",7201112,"R",2464113,"R",439288,"Z",0,"R",4297711,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",107692245,"R",49023751,"R",10757624,"R",6699573,"R",41211297,"R",3301929,"R",3301929,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3301929,"R",0,"R",0,"R",0,"R",3301929,"R",110994174,"R",49023751,"R",10757624,"R",6699573,"R",44513226,"R",122176286,"R",110994174,"R",11182112,"R",60574054,"R",0,"R",71756166,"R",10124766,"R",491993,"Z",0,"Z",0,"Z",0,"R",7406568,"R",18023327,"R",6714353,"R",0,"R",6714353,"R",11308974,2 ,"A",,"A",
100663,"R",584196744,"R",2082831475,"R",932666875,"R",916741044,"R",2066905644,"R",2651102388,"R",20670618,"R",292854620,"R",313525238,"R",639127925,"R",16896513,"R",656024438,"R",969549676,"R",504206201,"R",205004148,"R",187925224,"R",784417139,"R",1681552712,"R",48309188,"R",573866,"R",258720,"R",48624334,"R",59718701,"R",11411790,"R",0,"R",71130491,"R",950888875,"R",66976081,"R",3054293,"R",1014810663,"R",503988206,"R",76135717,"R",16939413,"R",563184510,"R",58358368,"R",3775131,"R",0,"R",62133499,"R",0,"Z",0,"R",0,"R",0,"R",234544585,"R",122048886,"R",33645493,"R",322947978,"R",850780901,"R",99050369,"R",17164395,"R",932666875,"R",62948898,"R",294608395,"R",2911291,"R",42057363,"R",19057783,"R",652669126,"R",44370073,"R",181386113,"R",1300009042,"R",0,"R",219883401,"R",0,"R",17129894,"R",58592,"R",90927,"R",33874299,"R",99171347,"R",3695469,"R",373903929,"R",5233490,"R",11934310,"R",9424416,"R",0,"R",26592216,"R",1700505187,"R",209831103,"R",146479035,"R",32111278,"R",0,"R",31240790,"R",233492745,"R",126868026,"R",27409864,"R",0,"R",79214855,"R",174650614,"R",34206513,"R",6073996,"R",0,"R",134370105,"R",67775744,"R",41321055,"R",8926887,"R",0,"R",17527802,"R",16807745,"R",8452581,"R",1881342,"R",0,"R",6473822,"R",58290162,"R",30097689,"R",5237426,"R",0,"R",22955047,"R",48186376,"R",16663080,"R",4053906,"R",0,"R",27469390,"R",98549412,"R",98549412,"R",19636901,"A",,"A",,"A",,"R",19636901,"R",24301526,"R",8314497,"R",1963115,"R",0,"R",14023914,"R",607260443,"R",259701961,"R",61129302,"R",0,"R",286429180,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3000,"R",3000,"R",0,"R",0,"R",0,"R",1558785771,"R",672107437,"R",148787116,"R",98549412,"R",639341806,"R",10204582,"R",10204582,"R",2328936,"R",0,"R",0,"R",0,"R",2328936,"R",12533518,"R",0,"R",0,"R",0,"R",12533518,"R",1571319289,"R",672107437,"R",148787116,"R",98549412,"R",651875324,"R",1700505187,"R",1571319289,"R",129185898,"R",1552366814,"R",0,"R",1681552712,"R",9963501,"R",9313072,"R",124288,"R",509261,"R",6006469,"R",13622676,"R",39539267,"R",19511961,"R",390405,"R",19902366,"R",19636901,1 ,"R",251004030,"R",279552521
100706,"R",45507127,"R",237468595,"R",118065363,"R",52066668,"R",171469900,"R",216977027,"R",1830000,"R",23120674,"R",24950674,"R",60046000,"R",0,"R",60046000,"R",84996674,"R",71680503,"R",5635099,"R",1777384,"R",52887367,"R",131980353,"R",8084288,"R",109071,"R",400000,"R",7793359,"R",0,"R",0,"R",0,"R",0,"R",153292560,"R",4484958,"R",1071236,"R",156706282,"R",48269617,"R",3847239,"R",345032,"R",51771824,"R",20161109,"R",1036021,"R",0,"R",21197130,"R",745040,"R",0,"R",745040,"R",0,"R",0,"R",0,"R",0,"R",0,"R",110836743,"R",9090110,"R",1861490,"R",118065363,"R",24714197,"R",46027793,"R",997584,"R",3527435,"R",4593743,"R",0,"R",0,"R",2606536,"R",82467288,"R",0,"R",37430572,"R",0,"R",0,"R",0,"R",0,"R",2391172,"R",4647883,"R",0,"R",44469627,"R",0,"R",618383,"R",0,"R",0,"R",618383,"R",127555298,"R",32868400,"R",22900874,"R",5792222,"R",0,"R",4175304,"R",39485541,"R",24503885,"R",5789805,"R",0,"R",9191851,"R",3804260,"R",1011105,"R",215429,"R",0,"R",2577726,"R",4383913,"R",2758504,"R",742624,"R",0,"R",882785,"R",6986483,"R",2835913,"R",670673,"R",0,"R",3479897,"R",9376108,"R",6279874,"R",1837199,"R",0,"R",1259035,"R",7636922,"R",2326026,"R",672452,"R",0,"R",4638444,"R",9090110,"R",9090110,"R",583429,"A",,"A",,"A",,"R",583429,"R",3072659,"R",473723,"R",84612,"R",0,"R",2514324,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",117287825,"R",63089904,"R",15805016,"R",9090110,"R",29302795,"R",2289260,"R",2289260,"R",49820,"R",0,"R",0,"R",0,"R",49820,"R",2339080,"R",0,"R",0,"R",0,"R",2339080,"R",119626905,"R",63089904,"R",15805016,"R",9090110,"R",31641875,"R",127555298,"R",119626905,"R",7928393,"R",124051960,"R",0,"R",131980353,"R",3639435,"R",225784,"R",18983,"R",0,"R",1207468,"R",3067825,"R",8159495,"R",7283473,"R",292593,"R",7576066,"R",583429,1 ,"R",20866634,"R",23493510
100724,"R",65374302,"R",134253607,"R",62827017,"R",6772638,"R",78199228,"R",143573530,"R",1625000,"R",14677007,"R",16302007,"R",59180739,"R",1733008,"R",60913747,"R",77215754,"R",48863358,"R",8909744,"R",200000,"R",8384674,"R",66357776,"R",12583433,"R",445582,"R",0,"R",13029015,"R",6542612,"R",0,"R",0,"R",6542612,"R",86589868,"R",0,"R",0,"R",86589868,"R",17731582,"R",1858050,"R",213679,"R",19375953,"R",8187266,"R",280249,"R",0,"R",8467515,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",248643,"R",0,"R",248643,"R",57607179,"R",5427519,"R",207681,"R",62827017,"R",21097589,"R",20347055,"R",5616326,"R",1533892,"R",2482424,"R",0,"R",0,"R",1325805,"R",52403091,"Z",0,"R",31371022,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",626104,"R",9145,"R",32006271,"R",170667,"Z",0,"Z",0,"R",0,"R",170667,"R",84580029,"R",20931882,"R",17079418,"R",3236024,"Z",0,"R",616440,"R",2324378,"R",446576,"R",79287,"Z",0,"R",1798515,"R",2285953,"R",1003782,"R",182765,"Z",0,"R",1099406,"R",6629664,"R",3454018,"R",681914,"Z",0,"R",2493732,"R",7914876,"R",4099319,"R",1458949,"Z",0,"R",2356608,"R",12986045,"R",4434289,"R",1680167,"Z",0,"R",6871589,"R",6654060,"R",3643903,"R",898518,"Z",0,"R",2111639,"R",5427519,"R",5427519,"R",6411425,"A",,"A",,"A",,"R",6411425,"R",7232691,"R",2069404,"R",492488,"Z",0,"R",4670799,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",553717,"R",0,"R",0,"R",0,"R",553717,"R",79352210,"R",36230709,"R",8710112,"R",5427519,"R",28983870,"R",3081494,"R",3081494,"R",200160,"R",0,"R",0,"R",0,"R",200160,"R",3281654,"R",0,"R",0,"R",0,"R",3281654,"R",82633864,"R",36230709,"R",8710112,"R",5427519,"R",32265524,"R",84580029,"R",82633864,"R",1946165,"R",64481081,"R",-69470,"R",66357776,"R",10800787,"R",860125,"R",1202950,"R",0,"R",0,"R",6411425,"R",19275287,"R",7075124,"R",5788738,"R",12863862,"R",6411425,1 ,"R",26561916,"R",31398122
100733,"R",2786878,"R",3240956,"R",1922821,"R",6482168,"R",7800303,"R",10587181,"R",0,"R",1567916,"R",1567916,"R",0,"R",0,"R",0,"R",1567916,"R",1355027,"R",0,"R",0,"R",7664238,"R",9019265,"R",106750,"R",0,"R",0,"R",106750,"R",56543,"R",0,"R",0,"R",56543,"R",1706533,"R",95891,"R",0,"R",1802424,"R",1371130,"R",144291,"R",85034,"R",1430387,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1922821,"R",118256,"R",0,"R",2041077,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8640376,"R",8640376,"R",0,"R",50124,"R",0,"R",0,"R",0,"R",0,"R",0,"R",169940,"R",17464,"R",237528,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8877904,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8436349,"R",5625000,"R",1319445,"R",198230,"R",1293674,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8436349,"R",5625000,"R",1319445,"R",198230,"R",1293674,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8436349,"R",5625000,"R",1319445,"R",198230,"R",1293674,"R",8877904,"R",8436349,"R",441555,"R",8577710,"R",0,"R",9019265,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,2 ,"A",,"A",
100751,"R",163373113,"R",841634449,"R",339591881,"R",740154043,"R",1242196611,"R",1405569724,"R",5415786,"R",130712218,"R",136128004,"R",317387939,"R",13771071,"R",331159010,"R",467287014,"R",350877390,"R",213904409,"R",201945875,"R",171555036,"R",938282710,"R",24951293,"R",0,"R",2254265,"R",22697028,"R",25219938,"R",124239,"R",2529794,"R",22814383,"R",485621802,"R",20241405,"R",44417890,"R",461445317,"R",140130426,"R",9357432,"R",6983051,"R",142504807,"R",79155576,"R",4260783,"R",0,"R",83416359,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",60838847,"R",-47917708,"R",108756555,"R",320588533,"R",25686031,"R",6682683,"R",339591881,"R",90121208,"R",54229241,"R",8455153,"R",2807982,"R",71727171,"Z",0,"Z",0,"R",21605456,"R",248946211,"R",0,"R",123076215,"R",0,"R",40000,"R",201972,"R",616133,"R",26596023,"R",67248521,"R",0,"R",217778864,"R",0,"R",11544744,"R",9686477,"R",0,"R",21231221,"R",487956296,"R",127372436,"R",85487415,"R",19548761,"Z",0,"R",22336260,"R",28122701,"R",12687167,"R",2053017,"Z",0,"R",13382517,"R",36242047,"R",18619316,"R",3814809,"Z",0,"R",13807922,"R",36096096,"R",21067585,"R",5217347,"Z",0,"R",9811164,"R",11286255,"R",6581457,"R",1340506,"Z",0,"R",3364292,"R",30955541,"R",18994254,"R",9370056,"Z",0,"R",2591231,"R",32495994,"R",10718317,"R",3243607,"Z",0,"R",18534070,"R",25686031,"R",25686031,"R",9856750,"A",,"A",,"A",,"R",9856750,"R",61352494,"R",23176051,"R",5708235,"Z",0,"R",32468208,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",399466345,"R",197331562,"R",50296338,"R",25686031,"R",126152414,"R",4645089,"R",4645089,"R",211793,"R",0,"R",0,"R",0,"R",211793,"R",4856882,"R",0,"R",0,"R",0,"R",4856882,"R",404323227,"R",197331562,"R",50296338,"R",25686031,"R",131009296,"R",487956296,"R",404323227,"R",83633069,"R",854649611,"R",30,"R",938282710,"R",10734748,"R",2468194,"R",61750,"R",7715169,"Z",0,"R",21669315,"R",42649176,"R",24630219,"R",8162207,"R",32792426,"R",9856750,1 ,"R",309532755,"R",358823732
100760,"R",6937724,"R",25142575,"R",8139432,"R",2268568,"R",19271711,"R",26209435,"R",240000,"R",2939915,"R",3179915,"R",6635000,"R",280071,"R",6915071,"R",10094986,"R",12620773,"R",7651,"R",500,"R",3485525,"R",16114449,"R",1331474,"R",0,"R",0,"R",1331474,"R",1146121,"R",0,"R",0,"R",1146121,"R",12013508,"R",6567243,"R",0,"R",18580751,"R",1387753,"R",1091868,"R",105134,"R",2374487,"R",487493,"R",9678,"R",4590,"R",492581,"R",0,"R",0,"R",0,"R",0,"R",3563148,"R",4327214,"R",6673201,"R",1217161,"R",7466624,"R",782532,"R",109724,"R",8139432,"R",1879644,"R",5836625,"R",560185,"R",85539,"R",1066895,"R",0,"R",0,"R",23106,"R",9451994,"R",0,"R",6930901,"R",0,"R",0,"R",0,"R",0,"R",10000,"R",159838,"R",28415,"R",7129154,"R",0,"R",2465188,"R",0,"R",0,"R",2465188,"R",19046336,"R",6641178,"R",4733664,"R",1004657,"R",0,"R",902857,"R",0,"R",0,"R",0,"R",0,"R",0,"R",149732,"R",86350,"R",26086,"R",0,"R",37296,"R",665784,"R",412031,"R",90396,"R",0,"R",163357,"R",1161916,"R",743365,"R",199302,"R",0,"R",219249,"R",1374046,"R",826239,"R",228784,"R",0,"R",319023,"R",1045518,"R",342078,"R",111616,"R",0,"R",591824,"R",782532,"R",782532,"R",1594861,"A",,"A",,"A",,"R",1594861,"R",1504122,"R",436968,"R",126242,"R",0,"R",940912,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",14919689,"R",7580695,"R",1787083,"R",782532,"R",4769379,"R",305042,"R",305042,"R",829567,"R",0,"R",0,"R",0,"R",829567,"R",1134609,"R",0,"R",0,"R",0,"R",1134609,"R",16054298,"R",7580695,"R",1787083,"R",782532,"R",5903988,"R",19046336,"R",16054298,"R",2992038,"R",13122411,"R",0,"R",16114449,"R",3028145,"R",63330,"R",8000,"R",0,"R",51451,"R",1078691,"R",4229617,"R",2634756,"R",0,"R",2634756,"R",1594861,1 ,"R",5023,"R",5033
100812,"R",9487190,"R",19339980,"R",7285555,"R",631440,"R",12685865,"R",22173055,"R",190000,"R",2420800,"R",2610800,"R",2395000,"R",551048,"R",2946048,"R",5556848,"R",9971693,"R",472903,"R",0,"R",6171611,"R",16616207,"R",502268,"R",0,"R",0,"R",502268,"R",854933,"R",13565,"R",0,"R",868498,"R",15167247,"R",237046,"R",0,"R",15404293,"R",1938448,"R",211613,"R",79865,"R",2070196,"R",870330,"R",44669,"R",0,"R",914999,"R",0,"R",0,"R",0,"R",0,"R",0,"R",81994,"R",0,"R",81994,"R",6739564,"R",625855,"R",79864,"R",7285555,"R",4031707,"R",10597296,"R",888340,"R",26087,"R",120608,"Z",0,"Z",0,"R",9166,"R",15673204,"Z",0,"R",9120270,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",120329,"R",24294,"R",9264893,"R",0,"R",0,"R",0,"R",0,"R",0,"R",24938097,"R",8250274,"R",6259426,"R",1350818,"R",0,"R",640030,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1025782,"R",695853,"R",187858,"R",0,"R",142071,"R",1593222,"R",1222819,"R",302936,"R",0,"R",67467,"R",2929770,"R",1362714,"R",377093,"R",0,"R",1189963,"R",2066380,"R",932488,"R",312796,"R",0,"R",821096,"R",625855,"R",625855,"R",6290070,"A",,"A",,"A",,"R",6290070,"R",118770,"R",10673,"R",786,"R",0,"R",107311,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22900123,"R",10483973,"R",2532287,"R",625855,"R",9258008,"R",142599,"R",142599,"R",192496,"R",0,"R",0,"R",0,"R",192496,"R",335095,"R",0,"R",0,"R",0,"R",335095,"R",23235218,"R",10483973,"R",2532287,"R",625855,"R",9593103,"R",24938097,"R",23235218,"R",1702879,"R",14913328,"R",0,"R",16616207,"R",2213408,"R",8291120,"R",12475,"R",0,"R",0,"R",380390,"R",10897393,"R",4607323,"R",0,"R",4607323,"R",6290070,2 ,"A",,"A",
100830,"R",7365935,"R",79641317,"R",42640129,"R",27265950,"R",64267138,"R",71633073,"R",265000,"R",11184520,"R",11449520,"R",1650000,"R",2251799,"R",3901799,"R",15351319,"R",36317375,"R",4641481,"R",5069196,"R",10253702,"R",56281754,"R",1085032,"Z",0,"R",0,"R",1085032,"R",721111,"R",750096,"R",0,"R",1471207,"R",51160455,"R",2133440,"R",0,"R",53293895,"R",4895914,"R",303610,"R",783687,"R",4415837,"R",19231090,"R",681891,"R",44520,"R",19868461,"Z",0,"Z",0,"R",0,"Z",0,"R",1232677,"R",997498,"R",2229543,"R",632,"R",38714853,"R",2019103,"R",221223,"R",40512733,"R",15625025,"R",8004145,"R",3842416,"R",150851,"R",3988656,"Z",0,"R",0,"R",2696506,"R",34307599,"Z",0,"R",19569737,"Z",0,"Z",0,"Z",0,"Z",0,"R",228055,"R",1013591,"R",0,"R",20811383,"R",2011260,"R",22278,"R",2575332,"R",0,"R",4608870,"R",59727852,"R",20527719,"R",15499917,"R",2940388,"Z",0,"R",2087414,"R",294938,"R",161482,"R",27223,"Z",0,"R",106233,"R",7555799,"R",2709148,"R",527527,"Z",0,"R",4319124,"R",3840307,"R",2314631,"R",483075,"Z",0,"R",1042601,"R",4507606,"R",2630247,"R",559853,"Z",0,"R",1317506,"R",7335613,"R",3438530,"R",1454550,"Z",0,"R",2442533,"R",3565657,"R",1128145,"R",332793,"Z",0,"R",2104719,"R",2591143,"R",2591143,"R",2823712,"A",,"A",,"A",,"R",2823712,"R",4728624,"R",913102,"R",193576,"Z",0,"R",3621946,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",57771118,"R",28795202,"R",6518985,"R",2591143,"R",19865788,"R",56768,"R",56768,"R",0,"R",0,"R",0,"R",0,"R",0,"R",56768,"R",0,"R",0,"R",0,"R",56768,"R",57827886,"R",28795202,"R",6518985,"R",2591143,"R",19922556,"R",59727852,"R",57827886,"R",1899966,"R",54051011,"R",330777,"R",56281754,"R",4500768,"R",480261,"R",47117,"Z",0,"R",327916,"R",1246682,"R",6602744,"R",3421394,"R",357638,"R",3779032,"R",2823712,1 ,"R",12613480,"R",15676599
100858,"R",164263925,"R",846810196,"R",441357582,"R",558225175,"R",963677789,"R",1127941714,"R",10982414,"R",145235605,"R",156218019,"R",283544108,"R",7051245,"R",290595353,"R",446813372,"R",316242810,"R",81793680,"R",14504182,"R",268587670,"R",681128342,"R",34773992,"R",2114366,"R",1630,"R",36886728,"R",68669954,"R",9699471,"R",0,"R",78369425,"R",461263238,"R",50806924,"R",627125,"R",511443037,"R",137011093,"R",12534489,"R",8918879,"R",140626703,"R",90860776,"R",7412368,"R",40160,"R",98232984,"R",0,"Z",0,"R",0,"Z",0,"R",39136655,"R",61895696,"R",27118780,"R",73913571,"R",424115385,"R",25845493,"R",8603296,"R",441357582,"R",158155906,"R",87217294,"R",2616353,"R",11812969,"R",67865607,"R",0,"R",0,"R",29640481,"R",357308610,"Z",0,"R",189014441,"Z",0,"Z",0,"Z",0,"Z",0,"R",15657565,"R",23767710,"R",0,"R",228439716,"R",13071484,"R",18638910,"R",696092,"R",0,"R",32406486,"R",618154812,"R",163742578,"R",117529698,"R",22067536,"Z",0,"R",24145344,"R",91152294,"R",46696597,"R",8941127,"Z",0,"R",35514570,"R",65459422,"R",36707176,"R",10925730,"Z",0,"R",17826516,"R",39052825,"R",23338811,"R",5150581,"Z",0,"R",10563433,"R",11445400,"R",6506771,"R",1317479,"Z",0,"R",3621150,"R",38922278,"R",27375892,"R",9973260,"Z",0,"R",1573126,"R",28372207,"R",14680899,"R",4256266,"Z",0,"R",9435042,"R",25845493,"R",25845493,"R",13180171,"A",,"A",,"A",,"R",13180171,"R",66665387,"R",20445403,"R",3955624,"Z",0,"R",42264360,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",543838055,"R",293281247,"R",66587603,"R",25845493,"R",158123712,"R",9047968,"R",9047968,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9047968,"R",0,"R",0,"R",0,"R",9047968,"R",552886023,"R",293281247,"R",66587603,"R",25845493,"R",167171680,"R",618154812,"R",552886023,"R",65268789,"R",615859553,"R",0,"R",681128342,"R",7122104,"R",962636,"R",0,"R",0,"R",12502459,"R",27331426,"R",47918625,"R",33261857,"R",1476597,"R",34738454,"R",13180171,1 ,"R",252255457,"R",288453211
