UNITID,CONTRACT,ARANK,XEMPCNTM,EMPCNTM,XOUTLAYM,OUTLAYM,XAVESALM,AVESALM,XEMPCNTW,EMPCNTW,XOUTLAYW,OUTLAYW,XAVESALW,AVESALW,XEMPCNTT,EMPCNTT,XOUTLAYT,OUTLAYT,XAVESALT,AVESALT 
100654,1,1,"R",23,"R",1945291,"R",84578,"R",12,"R",1004515,"R",83710,"R",35,"R",2949806,"R",84280
100654,1,2,"R",44,"R",3123150,"R",70981,"R",16,"R",1012749,"R",63297,"R",60,"R",4135899,"R",68932
100654,1,3,"R",79,"R",4408753,"R",55807,"R",51,"R",2710653,"R",53150,"R",130,"R",7119406,"R",54765
100654,1,4,"R",19,"R",800026,"R",42107,"R",33,"R",1281937,"R",38847,"R",52,"R",2081963,"R",40038
100654,1,7,"R",165,"R",10277220,"R",62286,"R",112,"R",6009854,"R",53659,"R",277,"R",16287074,"R",58798
100654,2,1,"R",14,"R",1509504,"R",107822,"R",2,"R",223894,"R",111947,"R",16,"R",1733398,"R",108337
100654,2,2,"R",5,"R",444778,"R",88956,"R",4,"R",309317,"R",77329,"R",9,"R",754095,"R",83788
100654,2,3,"R",4,"R",304778,"R",76195,"R",4,"R",318437,"R",79609,"R",8,"R",623215,"R",77902
100654,2,4,"Z",0,"Z",0,"A",,"R",1,"R",70534,"R",70534,"R",1,"R",70534,"R",70534
100654,2,7,"R",23,"R",2259060,"R",98220,"R",11,"R",922182,"R",83835,"R",34,"R",3181242,"R",93566
100654,4,1,"R",37,"R",3180367,"R",85956,"R",14,"R",1187705,"R",84836,"R",51,"R",4368072,"R",85648
100654,4,2,"R",49,"R",3487067,"R",71165,"R",20,"R",1265832,"R",63292,"R",69,"R",4752899,"R",68883
100654,4,3,"R",83,"R",4658122,"R",56122,"R",55,"R",2971198,"R",54022,"R",138,"R",7629320,"R",55285
100654,4,4,"R",19,"R",800026,"R",42107,"R",34,"R",1339648,"R",39401,"R",53,"R",2139674,"R",40371
100654,4,7,"R",188,"R",12125582,"R",64498,"R",123,"R",6764383,"R",54995,"R",311,"R",18889965,"R",60739
100663,1,1,"R",75,"R",7351578,"R",98021,"R",19,"R",1640388,"R",86336,"R",94,"R",8991966,"R",95659
100663,1,2,"R",83,"R",6211594,"R",74838,"R",48,"R",3247007,"R",67646,"R",131,"R",9458601,"R",72203
100663,1,3,"R",64,"R",3796334,"R",59318,"R",50,"R",2775164,"R",55503,"R",114,"R",6571498,"R",57645
100663,1,4,"R",13,"R",593978,"R",45691,"R",17,"R",667113,"R",39242,"R",30,"R",1261091,"R",42036
100663,1,5,"Z",0,"Z",0,"A",,"R",1,"R",36000,"R",36000,"R",1,"R",36000,"R",36000
100663,1,7,"R",235,"R",17953484,"R",76398,"R",135,"R",8365672,"R",61968,"R",370,"R",26319156,"R",71133
100663,2,1,"R",92,"R",14914040,"R",162109,"R",35,"R",5093677,"R",145534,"R",127,"R",20007717,"R",157541
100663,2,2,"R",63,"R",6812586,"R",108136,"R",57,"R",6062266,"R",106356,"R",120,"R",12874852,"R",107290
100663,2,3,"R",57,"R",4878774,"R",85593,"R",104,"R",8339722,"R",80190,"R",161,"R",13218496,"R",82102
100663,2,4,"R",14,"R",943996,"R",67428,"R",40,"R",2858480,"R",71462,"R",54,"R",3802476,"R",70416
100663,2,7,"R",226,"R",27549396,"R",121900,"R",236,"R",22354145,"R",94721,"R",462,"R",49903541,"R",108016
100663,4,1,"R",167,"R",19554246,"R",117091,"R",54,"R",5808035,"R",107556,"R",221,"R",25362281,"R",114761
100663,4,2,"R",146,"R",11785652,"R",80724,"R",105,"R",8207153,"R",78163,"R",251,"R",19992805,"R",79653
100663,4,3,"R",121,"R",7788147,"R",64365,"R",154,"R",9598725,"R",62329,"R",275,"R",17386872,"R",63225
100663,4,4,"R",27,"R",1366356,"R",50606,"R",57,"R",3005921,"R",52735,"R",84,"R",4372277,"R",52051
100663,4,5,"Z",0,"Z",0,"A",,"R",1,"R",36000,"R",36000,"R",1,"R",36000,"R",36000
100663,4,7,"R",461,"R",40494401,"R",87840,"R",371,"R",26655834,"R",71849,"R",832,"R",67150235,"R",80709
100690,2,4,"R",33,"R",1312202,"R",39764,"R",7,"R",298000,"R",42571,"R",40,"R",1610202,"R",40255
100690,2,7,"R",33,"R",1312202,"R",39764,"R",7,"R",298000,"R",42571,"R",40,"R",1610202,"R",40255
100690,4,4,"R",33,"R",1073644,"R",32535,"R",7,"R",243824,"R",34832,"R",40,"R",1317468,"R",32937
100690,4,7,"R",33,"R",1073644,"R",32535,"R",7,"R",243824,"R",34832,"R",40,"R",1317468,"R",32937
100706,1,1,"R",54,"R",5521303,"R",102246,"R",7,"R",694294,"R",99185,"R",61,"R",6215597,"R",101895
100706,1,2,"R",58,"R",4647894,"R",80136,"R",27,"R",1971247,"R",73009,"R",85,"R",6619141,"R",77872
100706,1,3,"R",44,"R",2943395,"R",66895,"R",39,"R",2243316,"R",57521,"R",83,"R",5186711,"R",62490
100706,1,4,"R",1,"R",47000,"R",47000,"R",10,"R",547600,"R",54760,"R",11,"R",594600,"R",54055
100706,1,5,"R",9,"R",419492,"R",46610,"R",16,"R",641827,"R",40114,"R",25,"R",1061319,"R",42453
100706,1,7,"R",166,"R",13579084,"R",81802,"R",99,"R",6098284,"R",61599,"R",265,"R",19677368,"R",74254
100706,2,1,"R",14,"R",2064144,"R",147439,"R",1,"R",99617,"R",99617,"R",15,"R",2163761,"R",144251
100706,2,2,"R",3,"R",311370,"R",103790,"R",5,"R",427345,"R",85469,"R",8,"R",738715,"R",92339
