unitid,"xa011",a011,"xa012",a012,"xa013",a013,"xa021",a021,"xa022",a022,"xa023",a023,"xaline03",aline03,"xa041",a041,"xa042",a042,"xa043",a043,"xa051",a051,"xa052",a052,"xa053",a053,"xa061",a061,"xa062",a062,"xa063",a063,"xa071",a071,"xa072",a072,"xa073",a073,"xa081",a081,"xa082",a082,"xa083",a083,"xa091",a091,"xa092",a092,"xa093",a093,"xa101",a101,"xa102",a102,"xa103",a103,"xa111",a111,"xa112",a112,"xa113",a113,"xa121",a121,"xa122",a122,"xa123",a123,"xa131",a131,"xa132",a132,"xa133",a133,"xa141",a141,"xa142",a142,"xa143",a143,"xa151",a151,"xa152",a152,"xa153",a153,"xa161",a161,"xa162",a162,"xa163",a163,"xb011",b011,"xb012",b012,"xb013",b013,"xb014",b014,"xb021",b021,"xb022",b022,"xb023",b023,"xb024",b024,"xb031",b031,"xb032",b032,"xb033",b033,"xb034",b034,"xb041",b041,"xb042",b042,"xb043",b043,"xb044",b044,"xbline05",bline05,"xb061",b061,"xb062",b062,"xb063",b063,"xb064",b064,"xb071",b071,"xb072",b072,"xb073",b073,"xb074",b074,"xb081",b081,"xb082",b082,"xb083",b083,"xb084",b084,"xb091",b091,"xb092",b092,"xb093",b093,"xb101",b101,"xb102",b102,"xb103",b103,"xb111",b111,"xb112",b112,"xb113",b113,"xb121",b121,"xb122",b122,"xb123",b123,"xb124",b124,"xb131",b131,"xb132",b132,"xb133",b133,"xb134",b134,"xbline14",bline14,"xbline15",bline15,"xb161",b161,"xb162",b162,"xb163",b163,"xb164",b164,"xbline17",bline17,"xbline18",bline18,"xb191",b191,"xb192",b192,"xb193",b193,"xb194",b194,"xbline20",bline20,"xbline21",bline21,"xb221",b221,"xb222",b222,"xb223",b223,"xb224",b224,"xb234",b234,"xb244",b244,"xb254",b254,"xb264",b264,"xb274",b274,c1_1,c1_2,c1amt,c2a,c2b,c2c,c2d,c3_1,c3_3,c3amt3,c3_4,c3amt4,c3_5,c3amt5,c3_6,c3amt6,c4a,c4a1,c4reven,c4expen,c4b,c4c,c5,c5reven,c5expen,c6,c6amt,c7,c8a,c8b,c8c,"xd01",d01,"xe012",e012,"xe013",e013,"xe021",e021,"xe022",e022,"xe023",e023,"xe031",e031,"xe032",e032,"xe033",e033,"xe041",e041,"xe042",e042,"xe043",e043,"xe051",e051,"xe052",e052,"xe053",e053,"xe061",e061,"xe062",e062,"xe063",e063,"xe071",e071,"xe072",e072,"xe073",e073,"xf01",f01,"xf02",f02,"xf03",f03,"xg01",g01,"xg02",g02,"xg03",g03,"xg04",g04,"xg05",g05,fha,"xh011",h011,"xh012",h012,"xh021",h021,"xh022",h022,"xh033",h033,"xh043",h043,"xh053",h053,"xi01",i01,"xi02",i02,"xi03",i03,"xi04",i04,"xi05",i05,"xi06",i06,"xj011",j011,"xj012",j012,"xj013",j013,"xj021",j021,"xj022",j022,"xj023",j023,"xj031",j031,"xj032",j032,"xj033",j033,"xj041",j041,"xj042",j042,"xj043",j043,"xj051",j051,"xj052",j052,"xj053",j053,"xj061",j061,"xj062",j062,"xj063",j063,"xj071",j071,"xj072",j072,"xj073",j073,"xj081",j081,"xj082",j082,"xj083",j083,"xk011",k011,"xk012",k012,"xk013",k013,"xk014",k014,"xk021",k021,"xk022",k022,"xk023",k023,"xk024",k024,"xk025",k025,"xk031",k031,"xk032",k032,"xk033",k033,"xk034",k034,"xk035",k035
"153524",10,"4628438",10,"321889",10,"4950327",10,"614817",13,"0",10,"614817",10,"601575",10,"7016708",10,"118081",10,"7134789",10,"966637",10,"542157",10,"1508794",13,"0",10,"2019476",10,"2019476",13,"0",10,"105848",10,"105848",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"403316",10,"174539",10,"577855",10,"1809930",10,"809724",10,"2619654",13,"0",13,"0",13,"0",10,"254302",10,"1044810",10,"1299112",13,"0",13,"0",13,"0",10,"15694148",10,"5136524",10,"20830672",10,"8892799",10,"969882",10,"9862681",10,"5924597",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"301406",13,"0",10,"301406",10,"137599",10,"301406",10,"1132476",13,"0",10,"1132476",10,"722423",10,"2705124",10,"445508",10,"3150632",10,"1306185",10,"822775",10,"130715",10,"953490",10,"412962",13,"0",10,"1640301",10,"1640301",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"13854580",10,"3186406",10,"17040986",10,"8503766",10,"1825003",10,"2122451",10,"3947454",10,"869102",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"15679583",10,"5308857",10,"20988440",10,"9372868",10,"8503766",10,"2156001",13,"0",13,"0",10,"10659767","2","-1","0","4950327","0","0","4950327","1","1","316330","-1","0","-1","0","-1","0","1","2","0","0","1","1","2","0","0","2","0","2","1299112","216634","0",10,"580001",10,"1408448",10,"1408448",13,"0",10,"68646",10,"68646",13,"0",10,"105848",10,"105848",13,"0",13,"0",13,"0",13,"0",10,"57359",10,"57359",13,"0",13,"0",13,"0",13,"0",10,"1640301",10,"1640301",10,"60489",10,"0",10,"60489",10,"302500",10,"4105000",10,"27500",10,"4380000",10,"31552","2",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1824925",13,"0",10,"-46187",10,"25762293",13,"0",10,"27541031",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1031116",10,"0",10,"0",10,"1031116",10,"14291942",10,"100000",10,"0",10,"14391942",10,"33000000",10,"8171091",10,"496970",10,"58745",10,"8609316",10,"16000000"
"153533",10,"4839514",10,"222511",10,"5062025",13,"0",13,"0",13,"0",13,"0",10,"6693483",13,"0",10,"6693483",10,"591207",10,"527229",10,"1118436",10,"1688119",10,"1444297",10,"3132416",10,"211006",10,"163939",10,"374945",13,"0",13,"0",13,"0",10,"114097",13,"0",10,"114097",10,"6856",13,"0",10,"6856",10,"73112",10,"81256",10,"154368",10,"3105747",13,"0",10,"3105747",13,"0",13,"0",13,"0",10,"251577",10,"1183470",10,"1435047",13,"0",13,"0",13,"0",10,"17574718",18,"3622702",18,"21197420",10,"6988327",10,"2280476",10,"9268803",10,"5366971",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"896747",13,"0",10,"896747",10,"552600",10,"436967",10,"1239442",10,"660",10,"1240102",10,"769209",10,"1999527",10,"817208",10,"2816735",10,"1040919",10,"972311",13,"0",10,"972311",10,"383986",10,"32379",10,"1789249",10,"1821628",10,"9584",13,"0",10,"9584",10,"480475",13,"0",10,"480475",10,"12618792",10,"4887593",10,"17506385",10,"8113685",10,"3100798",13,"0",10,"3100798",10,"408502",10,"142409",10,"92638",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"15719590",10,"4887593",10,"20607183",10,"8522187",10,"8113685",10,"2151779",13,"0",13,"0",10,"10265464","2","-1","0","5062025","0","0","5062025","1","-1","86059","-1","0","1","259928","-1","0","1","2","0","0","1","1","2","0","0","-1","0","2","1435047","134334","0",10,"439671",10,"1366555",10,"1366555",13,"0",10,"77742",10,"77742",13,"0",10,"163939",10,"163939",13,"0",13,"0",13,"0",13,"0",10,"97701",10,"97701",10,"32379",10,"83312",10,"115691",18,"32379",18,"1789249",18,"1821628",10,"77354",13,"0",10,"77354",10,"4093457",10,"1600000",10,"435562",10,"5257895",10,"247004","1",10,"233310",10,"233310",10,"234450",10,"234450",10,"9500",10,"1140",13,"0",10,"2740533",10,"0",10,"2395588",13,"0",10,"109451",10,"5245572",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"961654",13,"0",13,"0",18,"961654",10,"14287375",10,"523282",10,"286731",10,"14523926",10,"20500000",10,"6413836",10,"1960604",10,"504506",10,"7869934",10,"11000000"
"153603",10,"92873108",10,"0",10,"92873108",10,"0",10,"10877434",10,"10877434",10,"0",10,"179615181",10,"59894743",10,"239509924",10,"0",10,"0",10,"0",10,"10043709",10,"69685136",10,"79728845",10,"644271",10,"11221666",10,"11865937",10,"53335",10,"385857",10,"439192",10,"8434694",10,"15688947",10,"24123641",10,"1186223",10,"171203",18,"1357426",10,"7521021",10,"0",10,"7521021",10,"77171234",10,"0",10,"77171234",10,"0",10,"0",10,"0",10,"29997686",10,"3718723",18,"33716409",10,"0",10,"29288311",10,"29288311",10,"407540462",10,"200932020",10,"608472482",10,"132388850",10,"842563",10,"133231413",10,"98622053",10,"16320321",10,"107557618",10,"123877939",10,"67777006",10,"13004445",10,"46451069",10,"59455514",10,"32931650",10,"36776773",10,"437179",10,"37213952",10,"20498112",10,"12983924",10,"18260436",10,"705195",10,"18965631",10,"8297181",10,"29526220",10,"800348",10,"30326568",10,"24213001",10,"24678164",10,"12605",10,"24690769",10,"12691926",10,"12605422",10,"14837132",10,"27442554",10,"14504201",10,"0",10,"14504201",10,"17158485",10,"1113008",10,"18271493",10,"315223317",10,"172756717",10,"487980034",10,"265030929",10,"76322655",10,"0",10,"76322655",10,"21045352",10,"2800491",10,"-1162896",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"28722131",10,"28722131",10,"15231098",10,"0",10,"-566180",10,"391545972",10,"201478848",10,"593024820",10,"301307379",10,"265030929",10,"58139160",10,"0",10,"0",10,"323170089","2","-1","0","92873108","13581832","0","92873108","1","1","15470224","-1","0","-1","0","-1","0","1","2","0","0","1","1","2","0","0","2","0","2","33716409","2143242","0",10,"31627829",10,"7758748",10,"7758748",10,"0",10,"2202620",10,"2202620",10,"0",10,"413696",10,"413696",10,"0",10,"4255",10,"4255",10,"58689",10,"4457813",10,"4516502",10,"12546733",10,"0",10,"12546733",10,"12605422",10,"14837132",10,"27442554",10,"5103726",10,"0",10,"5103726",10,"180891704",10,"46270",10,"9506354",10,"171431620",10,"10288469","1",10,"34813640",10,"43179939",10,"37279997",10,"45732194",10,"2038185",10,"680759",13,"0",10,"73213745",10,"17174027",10,"-2364744",10,"28861045",10,"15822048",10,"132706121",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4175541",10,"0",10,"0",10,"4175541",10,"516721437",10,"26473443",10,"339763",10,"542855117",13,"0",10,"254705490",10,"26483697",10,"7872133",10,"273317054",13,"0"
"153630",10,"8966788",10,"2104",10,"8968892",10,"35679",10,"1398",10,"37077",10,"855",10,"7536241",10,"694095",10,"8230336",10,"918402",10,"323701",10,"1242103",10,"820743",10,"1585233",18,"2405976",13,"0",10,"102860",18,"102860",13,"0",13,"0",13,"0",13,"0",10,"38621",10,"38621",13,"0",13,"0",13,"0",10,"307488",10,"133327",10,"440815",10,"2540886",13,"0",10,"2540886",13,"0",13,"0",13,"0",10,"652440",10,"4034104",10,"4686544",13,"0",13,"0",13,"0",10,"21778667",18,"6915443",18,"28694110",10,"11396335",10,"4759431",10,"16155766",10,"7754581",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1684612",13,"0",10,"1684612",10,"887406",10,"350862",10,"1455719",10,"304447",10,"1760166",10,"1081187",10,"2512067",10,"1471857",10,"3983924",10,"1272223",10,"1405838",10,"258504",10,"1664342",10,"356120",13,"0",10,"1688093",10,"1688093",10,"765574",10,"39898",10,"805472",13,"0",13,"0",13,"0",10,"19220145",10,"8522230",10,"27742375",10,"11351517",10,"2750022",13,"0",10,"2750022",10,"385914",13,"0",10,"63007",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"21970167",10,"8522230",10,"30492397",10,"11737431",10,"11351517",10,"2621442",13,"0",13,"0",10,"13972959","2","-1","0","8968892","0","0","8968892","1","1","165873","-1","0","-1","0","-1","0","1","2","0","0","1","1","2","0","0","2","0","2","4686544","348250","0",10,"451926",10,"1514207",10,"1514207",13,"0",10,"71026",10,"71026",13,"0",10,"102860",10,"102860",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1688093",10,"1688093",10,"31170",13,"0",10,"31170",10,"0",10,"6000000",10,"335000",10,"5665000",10,"145876","2",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3459848",13,"0",10,"1762338",13,"0",13,"0",10,"5222186",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"472025",13,"0",13,"0",10,"472025",10,"16824491",10,"261387",13,"0",10,"17085878",10,"17598455",10,"7233677",10,"1076219",10,"101334",10,"8208562",10,"8454819"
"153658",10,"110654375",13,"0",10,"110654375",13,"0",13,"0",13,"0",13,"0",10,"231693637",13,"0",10,"231693637",13,"0",13,"0",13,"0",10,"28279679",10,"114223070",10,"142502749",10,"281442",10,"5016893",10,"5298335",10,"35961",10,"602071",10,"638032",10,"3211602",10,"47274436",10,"50486038",10,"54169",10,"2224660",10,"2278829",10,"32917281",13,"0",10,"32917281",10,"97339132",13,"0",10,"97339132",10,"450732260",13,"0",10,"450732260",10,"40652559",13,"0",10,"40652559",13,"0",13,"0",13,"0",10,"995852097",10,"169341130",10,"1165193227",10,"197221791",10,"11461471",10,"208683262",10,"154444023",10,"14118812",10,"113925792",10,"128044604",10,"65832030",10,"43207151",10,"12520449",10,"55727600",10,"19665062",10,"59269819",10,"3476679",10,"62746498",10,"32248594",10,"20406467",10,"18652647",10,"639960",10,"19292607",10,"10234540",10,"20577219",10,"5996222",10,"26573441",10,"22386133",10,"41826175",13,"0",10,"41826175",10,"1042358",10,"20153577",10,"21320557",10,"41474134",10,"21657798",13,"0",10,"21657798",10,"21993264",10,"2062086",10,"24055350",10,"458678253",18,"171403216",18,"630081469",10,"305852740",10,"93386817",13,"0",10,"93386817",10,"28671801",10,"17077439",10,"-8846981",10,"435180338",13,"0",10,"435180338",10,"168035039",10,"63375118",10,"1561259",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"987245408",18,"171403216",18,"1158648624",10,"502559580",10,"305852740",10,"65767609",13,"0",13,"0",10,"371620349","2","-1","0","110654375","1596933","0","110654375","1","1","26277630","-1","0","-1","0","1","2480257","1","2","0","0","1","1","2","0","0","1","25571120","2","40652559","6237422","0",10,"36258046",10,"4391892",10,"4391892",13,"0",10,"7027293",10,"7027293",10,"16897876",10,"313141",10,"17211017",13,"0",13,"0",13,"0",13,"0",10,"9588231",10,"9588231",10,"3255701",13,"0",10,"3255701",10,"20153577",10,"21320557",10,"41474134",10,"5655128",10,"1327396",10,"6982524",10,"282282351",10,"9976104",10,"15403310",10,"276855145",10,"13562978","1",10,"46541411",10,"67949983",10,"52520711",10,"63214238",10,"3767460",13,"0",13,"0",10,"187015991",10,"52520711",10,"158270463",10,"12196756",10,"35809689",10,"445813610",13,"0",13,"0",13,"0",10,"47680234",13,"0",10,"47680234",13,"0",13,"0",13,"0",10,"390334763",13,"0",10,"390334763",10,"2476597",13,"0",10,"2476597",13,"0",13,"0",13,"0",10,"10240666",13,"0",10,"10240666",10,"450732260",13,"0",10,"450732260",10,"199315425",10,"12879741",13,"0",10,"212195166",10,"878300318",10,"41065339",10,"271284",10,"919094373",10,"2408651673",10,"573319914",10,"55770498",10,"34466655",10,"594623757",10,"301081459"
"153737",10,"16947819",10,"437",10,"16948256",10,"735613",13,"0",10,"735613",10,"735613",10,"17253764",13,"0",10,"17253764",10,"2217463",10,"2011259",10,"4228722",10,"265504",10,"6230660",10,"6496164",10,"369176",10,"1556295",10,"1925471",13,"0",13,"0",13,"0",10,"280843",10,"109652",10,"390495",13,"0",13,"0",13,"0",10,"1675797",13,"0",10,"1675797",10,"3770473",13,"0",10,"3770473",13,"0",13,"0",13,"0",10,"691026",10,"143185",10,"834211",13,"0",13,"0",13,"0",10,"44207478",10,"10051488",10,"54258966",10,"21463951",10,"3006908",10,"24470859",10,"18672730",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3551117",10,"110859",10,"3661976",10,"1175118",10,"601615",10,"3270604",10,"335625",10,"3606229",10,"1991902",10,"6132558",10,"1230497",10,"7363055",10,"2482766",10,"4751813",13,"0",10,"4751813",10,"1241162",13,"0",10,"5674227",10,"5674227",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"39170043",10,"10358116",10,"49528159",10,"25563678",10,"4493057",13,"0",10,"4493057",10,"736133",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"43663100",10,"10358116",10,"54021216",10,"26299811",10,"25563678",10,"5054921",13,"0",13,"0",10,"30618599","2","-1","0","16948256","0","0","16948256","1","1","0","1","25869","1","89549","1","29049","1","2","0","0","1","1","2","0","0","2","0","2","834211","162066","672145",10,"805899",10,"4719451",10,"4719451",13,"0",10,"298141",10,"298141",13,"0",10,"361263",10,"361263",13,"0",13,"0",13,"0",13,"0",10,"196058",10,"196058",13,"0",10,"99314",10,"99314",13,"0",10,"5674227",10,"5674227",10,"56984",10,"7465",10,"64449",10,"5695000",13,"0",10,"1165000",10,"4530000",10,"358629","2",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4061714",13,"0",10,"930392",13,"0",13,"0",10,"4992106",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"946059",10,"468492",13,"0",10,"1414551",10,"44821835",10,"3096578",13,"0",10,"47918413",10,"68454875",10,"12023759",10,"1891628",10,"1366652",10,"12548735",10,"17926764"
"153922",10,"5135011",10,"12730",10,"5147741",10,"111018",10,"573270",10,"684288",10,"684288",10,"6321009",10,"127299",10,"6448308",10,"557085",10,"2163377",10,"2720462",10,"344893",10,"1386605",10,"1731498",10,"41527",10,"77631",18,"119158",10,"0",10,"0",10,"0",10,"6109",10,"6731",10,"12840",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1959622",10,"0",10,"1959622",10,"0",10,"0",10,"0",10,"999151",10,"907187",10,"1906338",10,"0",10,"0",10,"0",10,"15475425",18,"5254830",18,"20730255",10,"6383701",10,"1115192",10,"7498893",10,"4908622",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2113304",10,"0",10,"2113304",10,"1129776",10,"314973",10,"1280330",10,"0",10,"1280330",10,"893144",10,"1915498",10,"767216",10,"2682714",10,"837371",10,"1555554",10,"0",10,"1555554",10,"26172",10,"0",10,"1378386",10,"1378386",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"13248387",10,"3260794",10,"16509181",10,"7795085",10,"2265872",10,"0",10,"2265872",10,"197310",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"15514259",10,"3260794",10,"18775053",10,"7992395",10,"7795085",13,"0",13,"0",10,"2003998",10,"9799083","1","1","771935","5147741","0","0","5147741","1","1","124145","-1","0","-1","0","-1","0","1","2","0","0","1","1","2","0","0","2","0","2","1906338","676525","26792",10,"524598",10,"1167752",10,"1167752",10,"0",10,"106813",10,"106813",10,"0",10,"77631",10,"77631",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"26190",10,"26190",10,"0",10,"1378386",18,"1378386",10,"79465",10,"0",10,"79465",10,"3625000",10,"0",10,"800000",10,"2825000",10,"227392","2",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4824173",10,"0",10,"21650917",10,"0",10,"-2837286",10,"23637804",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"728920",13,"0",13,"0",10,"728920",10,"15802874",10,"147116",10,"12150",10,"15937840",10,"17000000",10,"5478485",10,"352596",10,"423",10,"5830658",10,"7000000"
"154059",10,"4975208",13,"0",10,"4975208",10,"451856",10,"152426",18,"604282",10,"604282",10,"7098352",10,"261244",10,"7359596",10,"766073",10,"1288215",10,"2054288",13,"0",10,"2633067",10,"2633067",13,"0",10,"107583",10,"107583",13,"0",13,"0",13,"0",13,"0",10,"39353",10,"39353",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"425657",10,"425657",13,"0",13,"0",13,"0",10,"1289832",10,"1579788",10,"2869620",13,"0",13,"0",13,"0",18,"14581321",10,"6487333",18,"21068654",10,"9501814",10,"2714466",10,"12216280",10,"6602600",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"997343",13,"0",10,"997343",10,"590167",10,"497399",10,"1281290",10,"238759",10,"1520049",10,"1053706",10,"1785020",13,"0",10,"1785020",10,"692381",10,"2758038",10,"121057",10,"2879095",10,"587309",13,"0",10,"1566160",10,"1566160",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"16323505",10,"4640442",10,"20963947",10,"9526163",13,"0",10,"406989",10,"406989",10,"32129",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"16323505",10,"5047431",10,"21370936",10,"9558292",10,"9526163",10,"2330089",13,"0",13,"0",10,"11856252","2","-1","0","4975208","0","0","4975208","1","1","128279","-1","0","1","21785","-1","0","1","2","0","0","1","1","-1","0","0","-1","0","-1","2869620","694353","0",10,"389100",10,"1226237",10,"1226237",13,"0",10,"72804",10,"72804",13,"0",10,"107583",10,"107583",13,"0",13,"0",13,"0",13,"0",10,"72182",10,"72182",13,"0",10,"87354",10,"87354",13,"0",10,"1566160",10,"1566160",10,"119370",13,"0",10,"119370",30,"",30,"",30,"",30,"",30,"","1",10,"11093",10,"31473",13,"0",13,"0",13,"0",13,"0",13,"0",10,"2394708",13,"0",10,"1511839",13,"0",13,"0",10,"3906547",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"337206",13,"0",13,"0",10,"337206",10,"13485389",10,"691374",13,"0",10,"14176763",13,"0",10,"7171182",10,"725350",10,"314227",10,"7582305",13,"0"
"154095",10,"33398028",13,"0",10,"33398028",10,"368114",10,"1867718",10,"2235832",13,"0",10,"80194244",10,"204431",10,"80398675",13,"0",13,"0",13,"0",10,"520710",10,"10075066",10,"10595776",10,"219212",10,"2862818",10,"3082030",10,"3702",10,"81714",10,"85416",10,"829396",10,"1203835",10,"2033231",13,"0",10,"22715",10,"22715",10,"5957080",13,"0",10,"5957080",10,"25879547",13,"0",10,"25879547",13,"0",13,"0",13,"0",10,"1107931",13,"0",10,"1107931",13,"0",13,"0",13,"0",10,"148477964",10,"16318297",10,"164796261",10,"48449604",10,"752027",10,"49201631",10,"36447652",10,"812271",10,"1386616",10,"2198887",10,"1005292",10,"6357986",10,"7529184",10,"13887170",10,"6064312",10,"20602052",10,"650816",10,"21252868",10,"11683064",10,"1262364",10,"4430664",10,"4723",10,"4435387",10,"2956110",10,"14155081",13,"0",10,"14155081",10,"8860844",10,"11878802",13,"0",10,"11878802",10,"5440633",10,"5350177",10,"5994931",10,"11345108",10,"4744910",13,"0",10,"4744910",10,"3269264",13,"0",10,"3269264",10,"120050811",10,"16318297",10,"136369108",10,"72457907",10,"28369279",13,"0",10,"28369279",10,"10506784",10,"1802965",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",18,"148420090",18,"16318297",18,"164738387",10,"82964691",10,"72457907",10,"17504024",13,"0",13,"0",10,"89961931","2","-1","0","33398028","282753","556447","33954475","1","1","4798767","-1","0","-1","0","-1","581434","-1","-1","0","0","1","1","2","0","0","-1","0","-1","1107931","1093890","14041",10,"3902118",10,"4156615",10,"4156615",13,"0",10,"893394",10,"893394",13,"0",10,"461312",10,"461312",13,"0",13,"0",13,"0",13,"0",10,"483610",10,"483610",10,"5350177",13,"0",10,"5350177",10,"5350177",10,"5994931",10,"11345108",10,"1262364",13,"0",10,"1262364",10,"72986461",13,"0",10,"3040000",10,"69946461",10,"3363197","1",10,"1691261",10,"1930863",10,"1805315",10,"2176440",10,"175530",13,"0",10,"83526",10,"8053815",10,"1189420",10,"10535624",10,"5152823",10,"7307817",10,"32239499",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"22228724",10,"2491657",13,"0",10,"24720381",10,"165350114",10,"8985420",13,"0",10,"174335534",10,"654687000",10,"57830670",10,"9121548",10,"2031616",10,"64920602",10,"76109000"
"154110",10,"5965659",10,"630711",10,"6596370",10,"386121",10,"257209",18,"643330",13,"0",10,"6089547",10,"418553",18,"6508100",10,"1143119",10,"554808",10,"1697927",13,"0",16,"1967848",16,"1967848",13,"0",16,"212158",16,"212158",13,"0",13,"0",13,"0",13,"0",10,"951292",10,"951292",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"2039389",13,"0",10,"2039389",13,"0",13,"0",13,"0",10,"219123",10,"675456",10,"894579",13,"0",13,"0",13,"0",10,"15842958",10,"5668035",18,"21510993",10,"9825194",10,"1551470",10,"11376664",10,"7669213",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"382701",10,"299770",10,"682471",10,"242476",10,"283434",10,"892312",13,"0",10,"892312",10,"623201",10,"1847369",10,"509481",10,"2356850",10,"800912",10,"717202",10,"205510",10,"922712",10,"472177",13,"0",10,"2304540",10,"2304540",13,"0",13,"0",13,"0",10,"48779",10,"-251779",10,"-203000",18,"13713557",18,"4618992",18,"18332549",10,"9807979",10,"2165790",13,"0",10,"2165790",10,"327402",13,"0",10,"203000",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",18,"15879347",18,"4618992",18,"20498339",10,"10135381",10,"9807979",10,"2433546",13,"0",13,"0",10,"12241525","2","-1","0","6596370","0","0","6596370","2","-1","0","-1","0","-1","0","-1","0","1","2","0","0","1","1","2","0","0","2","0","2","894579","394342","301",10,"284044",10,"1879152",10,"1879152",13,"0",10,"88696",10,"88696",13,"0",10,"212158",10,"212158",13,"0",13,"0",13,"0",13,"0",10,"124534",10,"124534",13,"0",13,"0",13,"0",13,"0",10,"2304540",10,"2304540",10,"61591",10,"130913",10,"192504",10,"2329841",10,"416131",10,"332957",10,"2413015",10,"123768","1",10,"381907",13,"0",10,"393764",13,"0",10,"21903",13,"0",13,"0",10,"1615130",13,"0",10,"264524",13,"0",10,"21076",10,"1900730",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",16,"398366",13,"0",13,"0",16,"398366",16,"16185710",16,"128647",13,"0",16,"16314357",16,"17039319",16,"5583790",16,"462899",16,"285454",16,"5761235",16,"3865773"
