UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",84634208,"R",115654053,"R",0,"R",115654053,"R",200288261,"R",13275099,"R",3301856,"R",61147923,"R",64449779,"R",59372988,"R",70397062,"R",129770050,"R",194219829,"R",5901000,"R",53678041,"R",3253434,"R",0,"R",-43488944,"R",13442531,"R",5484701,"R",0,"R",184187362,"R",33594236,"R",3958266,"R",227224565,"R",116528164,"R",0,"R",4957652,"R",152297837,"R",142284654,"R",10013183,"R",3429349,"R",-1,"R",13442531,"R",46080916,"R",24298799,"R",1027580,"R",742864,"R",0,"R",742864,"R",15967737,"R",0,"R",3043735,"R",0,"R",190076,"R",91351707,"R",2348283,"R",40521522,"R",0,"R",15823419,"R",0,"R",0,"R",2244917,"R",7989,"R",0,"R",60946130,"R",152297837,"R",0,"R",0,"R",0,"R",0,"R",0,"R",152297837,"R",28292544,"R",20637044,"R",6842200,"R",3160149,"R",13426951,"R",7336968,"R",5961449,"R",2922618,"R",15733122,"R",6846729,"R",23038829,"R",11426621,"R",17497051,"R",9469374,"R",1276850,"R",0,"R",0,"R",0,"R",0,"R",22023134,"R",0,"R",142284654,"R",53606979,"R",16658712,"R",14566764,"R",5958312,"R",1310243,"R",50183644,1 ,"R",280130,"R",70397062,"R",5901000,"R",10697067,"R",15823419,"R",348989,"R",0,"R",0,"R",0,"R",14795618,"R",30968026,"R",13470975,"R",0,"R",13470975,"R",17497051,2 ,"A",,"A",
100663,"R",1285175469,"R",1534308703,"R",1291139053,"R",2825447756,"R",4110623225,"R",179109220,"R",34847235,"R",386130543,"R",420977778,"R",843683512,"R",1274556529,"R",2118240041,"R",2539217819,"R",51864496,"R",680817999,"R",305486334,"R",320865491,"R",391480306,"R",1698650130,"R",133797086,"R",96962636,"R",2335654999,"R",921991922,"R",19692068,"R",3508098711,"R",1973790008,"R",0,"R",0,"R",2903804615,"R",2645905067,"R",257899548,"R",1440750582,"R",0,"R",1698650130,"R",183276834,"R",342483955,"R",9535237,"R",62769585,"R",2138910,"R",60630675,"R",36210145,"R",1653127317,"R",68415573,"R",0,"R",58886804,"R",2414705450,"R",0,"R",267329728,"R",0,"R",29258704,"R",107285,"R",0,"R",31848298,"R",123795959,"R",2556147,"R",454896121,"R",2869601571,"R",0,"R",3347165,"R",19431880,"R",11423999,"R",34203044,"R",2903804615,"R",283989040,"R",176659952,"R",269207697,"R",115021371,"R",159741952,"R",71989110,"R",179870729,"R",107932013,"R",46444284,"R",18425930,"R",139248410,"R",52974823,"R",24848881,"R",70120450,"R",15842828,"R",1472433624,"R",533561158,"R",0,"R",0,"R",0,"R",0,"R",2645905067,"R",1092407185,"R",322259828,"R",70784006,"R",130447723,"R",32030211,"R",997976114,1 ,"R",84171000,"R",1247128000,"R",51775000,"R",167981000,"R",18748705,"R",13186492,"R",243029,"R",18889,"R",9938404,"R",43861636,"R",85997155,"R",58252486,"R",2895788,"R",61148274,"R",24848881,1 ,"R",405337027,"R",449231693
100706,"R",127947579,"R",247828513,"R",65312263,"R",313140776,"R",441088355,"R",26849143,"R",4994238,"R",56688102,"R",61682340,"R",95358263,"R",160600166,"R",255958429,"R",317640769,"R",6963000,"R",155607523,"R",16718461,"R",9286245,"R",-38278500,"R",143333729,"R",28103261,"R",0,"R",364185061,"R",98122148,"R",382341,"R",490792811,"R",236799500,"R",3006245,"R",0,"R",218939132,"R",216485088,"R",2454044,"R",140879685,"R",0,"R",143333729,"R",57817833,"R",72609034,"R",4567601,"R",3193528,"R",0,"R",3193528,"R",9159681,"R",0,"R",4111462,"R",0,"R",0,"R",151459139,"R",0,"R",44959223,"R",0,"R",7671050,"R",0,"R",0,"R",5435450,"R",9334432,"R",0,"R",67400155,"R",218859294,"R",0,"R",0,"R",79838,"R",0,"R",79838,"R",218939132,"R",68571670,"R",38876737,"R",75710490,"R",45532087,"R",4546834,"R",1567203,"R",12768310,"R",6501877,"R",19343961,"R",7060770,"R",23841257,"R",11005095,"R",2139731,"R",9562835,"R",1158414,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",216485088,"R",111702183,"R",37905552,"R",13469491,"R",15398090,"R",3562561,"R",34447211,1 ,"R",12405710,"R",160390000,"R",6963000,"R",26849143,"R",7671050,"R",158884,"R",46200,"R",0,"R",4095078,"R",18951728,"R",30922940,"R",27185681,"R",1597528,"R",28783209,"R",2139731,1 ,"R",70066677,"R",75144579
100724,"R",44571634,"R",291464007,"R",0,"R",291464007,"R",336035641,"R",20129656,"R",6244540,"R",31782113,"R",38026653,"R",205586989,"R",86943917,"R",292530906,"R",330557559,"R",3522000,"R",81448514,"R",8573652,"R",250000,"R",-68186428,"R",22085738,"R",21152897,"R",86942823,"R",274566013,"R",27819947,"R",1246645,"R",411728325,"R",133693955,"Z",0,"R",11744019,"R",138779452,"R",140461237,"R",-1681785,"R",23767523,"R",0,"R",22085738,"R",43736933,"R",10643462,"R",4187516,"R",2517452,"Z",0,"R",2517452,"R",8179441,"R",0,"R",0,"R",0,"R",8313510,"R",77578314,"R",0,"R",42298590,"Z",0,"R",16963788,"R",0,"R",0,"R",421094,"R",1192752,"R",0,"R",60876224,"R",138454538,"R",324914,"R",0,"R",0,"R",0,"R",324914,"R",138779452,"R",40903352,"R",24369133,"R",3121861,"R",1000277,"R",5169932,"R",817442,"R",12403109,"R",4726074,"R",17402229,"R",7946552,"R",29980217,"R",10874370,"R",20189149,"R",11291388,"R",2353197,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",140461237,"R",52087045,"R",14815778,"R",11876122,"R",11170268,"R",10936051,"R",39575973,1 ,"R",5850703,"R",80697982,"R",3522000,"R",12546721,"R",16963788,"R",336148,"R",0,"R",0,"R",2889212,"R",11047094,"R",31236242,"R",6883901,"R",4163192,"R",11047093,"R",20189149,1 ,"R",86192599,"R",92584413
100733,"R",4480939,"R",12936790,"R",8550000,"R",21486790,"R",25967729,"R",3203703,"R",0,"R",2964780,"R",2964780,"R",0,"R",16051000,"R",16051000,"R",19015780,"R",364000,"R",12936790,"R",0,"R",0,"R",-3145138,"R",9791652,"R",106750,"R",76802,"R",14846134,"R",1097003,"R",0,"R",16126689,"R",3189899,"R",0,"R",0,"R",21088426,"R",20909399,"R",179027,"R",9612625,"R",0,"R",9791652,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"A",,"R",20364256,"R",20364256,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",724170,"R",0,"R",724170,"R",21088426,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21088426,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20909399,"R",12525481,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",20909399,"R",12525481,"R",4482583,"R",0,"R",404124,"R",0,"R",3497211,1 ,"R",1435000,"R",16051000,"R",364000,"R",3203703,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",
100751,"R",549059715,"R",1769332009,"R",1570211264,"R",3339543273,"R",3888602988,"R",126240424,"R",24936126,"R",554738665,"R",579674791,"R",926085211,"R",595198867,"R",1521284078,"R",2100958869,"R",3103000,"R",1002586271,"R",318828906,"R",399742094,"R",189624272,"R",1910781543,"R",143988434,"R",94063146,"R",1943588059,"R",321729794,"R",34141931,"R",2537511364,"R",674018871,"R",40919690,"R",0,"R",1147470347,"R",1006065541,"R",141404806,"R",1769376737,"R",0,"R",1910781543,"R",476732091,"R",39681412,"R",31590157,"R",5933826,"R",759374,"R",5174452,"R",193964754,"R",0,"R",12619542,"R",0,"R",55784465,"R",816306247,"R",0,"R",148441872,"R",0,"R",33287991,"R",0,"R",0,"R",52203061,"R",54741992,"R",5029283,"R",293704199,"R",1110010446,"R",1365,"R",18564096,"R",18894440,"R",0,"R",37459901,"R",1147470347,"R",366559456,"R",179512116,"R",62732051,"R",21505487,"R",54437655,"R",25848473,"R",96892976,"R",44537789,"R",62065358,"R",26305494,"R",116748659,"R",44947536,"R",20371163,"R",207730799,"R",56113694,"R",0,"R",0,"R",0,"R",0,"R",18527424,"R",0,"R",1006065541,"R",398770589,"R",154189590,"R",85892044,"R",67410991,"R",38625161,"R",261177166,1 ,"R",51199939,"R",572814000,"R",3103000,"R",112583201,"R",25829531,"R",2607395,"R",672807,"R",0,"R",16070615,"R",199862893,"R",245043241,"R",215490955,"R",9181123,"R",224672078,"R",20371163,1 ,"R",672370896,"R",683226537
100760,"R",5664612,"R",22830229,"R",0,"R",22830229,"R",28494841,"R",2203627,"R",557460,"R",2907086,"R",3464546,"R",8120923,"R",13349708,"R",21470631,"R",24935177,"R",679000,"R",14254833,"R",289318,"R",483827,"R",-9943687,"R",5084291,"R",1699274,"R",2289357,"R",32576656,"R",7475360,"R",0,"R",44040647,"R",22291020,"R",0,"R",1080602,"R",18904335,"R",21137580,"R",-2233245,"R",7234650,"R",82886,"R",5084291,"R",2882587,"R",2286498,"R",1162742,"R",4000,"R",0,"R",4000,"R",0,"A",,"R",0,"A",,"R",33946,"R",6369773,"R",0,"R",8151935,"R",0,"R",4054859,"R",0,"R",0,"R",30877,"R",164,"R",296727,"R",12534562,"R",18904335,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18904335,"R",8637591,"R",5044111,"R",0,"R",0,"R",308844,"R",164418,"R",2125522,"R",354264,"R",2576851,"R",1443315,"R",4820501,"R",1353519,"R",2668271,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",21137580,"R",8359627,"R",2739820,"R",1623507,"R",1114863,"R",352104,"R",6947659,1 ,"R",853034,"R",12955000,"R",679000,"R",2007149,"R",4054858,"R",0,"R",340700,"R",0,"R",0,"R",1245347,"R",5640905,"R",2972634,"R",0,"R",2972634,"R",2668271,1 ,"R",342669,"R",425935
100812,"R",16870657,"R",42842994,"R",5214030,"R",48057024,"R",64927681,"R",4084382,"R",1357675,"R",5947689,"R",7305364,"R",15094854,"R",26572687,"R",41667541,"R",48972905,"R",1093000,"R",26390464,"R",581828,"R",0,"R",-8026134,"R",18946158,"R",2593856,"R",1543148,"R",49668595,"R",3973428,"R",913353,"R",58692380,"R",15849386,"Z",0,"Z",0,"R",36858978,"R",33394592,"R",3464386,"R",15481772,"R",0,"R",18946158,"R",14312948,"R",285914,"R",3949070,"Z",0,"Z",0,"Z",0,"R",399630,"Z",0,"Z",0,"Z",0,"R",0,"R",18947562,"Z",0,"R",11882035,"Z",0,"R",5257587,"Z",0,"Z",0,"R",0,"R",378846,"R",392948,"R",17911416,"R",36858978,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",36858978,"R",15022896,"R",10118194,"Z",0,"Z",0,"Z",0,"Z",0,"R",2795871,"R",1576293,"R",2526876,"R",1763772,"R",4743572,"R",2181506,"R",2801395,"R",418061,"R",136811,"Z",0,"Z",0,"Z",0,"Z",0,"R",5085921,"R",1369966,"R",33394592,"R",17146542,"R",5650901,"R",5807187,"R",1061618,"R",361063,"R",3367281,1 ,"R",1650453,"R",25582000,"R",1503000,"R",1806850,"R",5257587,"R",167687,"R",25452,"Z",0,"Z",0,"R",883871,"R",6334597,"R",3533202,"Z",0,"R",3533202,"R",2801395,1 ,"R",3072895,"R",3415582
100830,"R",12351150,"R",109664368,"R",49960039,"R",159624407,"R",171975557,"R",9875188,"R",135000,"R",25693426,"R",25828426,"R",275000,"R",152075808,"R",152350808,"R",178179234,"R",374260,"R",30887006,"R",25668497,"R",5212032,"R",-58470284,"R",3297251,"R",15061055,"R",5281117,"R",131802879,"R",32115394,"R",220492,"R",184480937,"R",74816570,"R",0,"R",0,"R",89492060,"R",90563010,"R",-1070950,"R",-650540,"R",5018741,"R",3297251,"R",32502136,"R",1286139,"R",8802357,"R",625191,"R",95852,"R",529339,"R",8686615,"R",0,"R",2141057,"R",0,"R",2001524,"R",56045019,"R",0,"R",22775297,"R",0,"R",7992662,"R",0,"R",0,"R",3688415,"R",-1054870,"R",0,"R",33401504,"R",89446523,"R",0,"R",12430,"R",33107,"R",0,"R",45537,"R",89492060,"R",28567211,"R",20510717,"R",374473,"R",171157,"R",12865913,"R",4048531,"R",4908688,"R",3346932,"R",7322567,"R",4274117,"R",13238946,"R",5851950,"R",2997513,"R",6279434,"R",1082619,"R",0,"Z",0,"R",0,"Z",0,"R",14008265,"R",1490864,"R",90563010,"R",40776887,"R",12384268,"R",7352652,"R",5144434,"R",3690553,"R",21214216,1 ,"R",507932,"R",57133443,"R",305492,"R",9875188,"R",7992662,"R",162730,"R",55051,"R",0,"R",566357,"R",6223827,"R",15000627,"R",10550103,"R",1453011,"R",12003114,"R",2997513,1 ,"R",44107802,"R",46047889
100858,"R",258955312,"R",1398451840,"R",1246667897,"R",2645119737,"R",2904075049,"R",160088371,"R",31223283,"R",296324433,"R",327547716,"R",703082969,"R",696069370,"R",1399152339,"R",1726700055,"R",3315286,"R",892681296,"R",177591442,"R",23511061,"R",240364280,"R",1334148079,"R",138857266,"R",226435270,"R",1572560146,"R",404365108,"R",59508119,"R",2401725909,"R",904534633,"Z",0,"R",2736627,"R",1069122700,"R",938058315,"R",131064385,"R",1179244617,"R",23839077,"R",1334148079,"R",382336340,"R",81597448,"R",7589488,"R",17529343,"R",2610341,"R",14919002,"R",165599234,"R",0,"R",41521034,"R",0,"R",22849565,"R",719022452,"R",0,"R",225286204,"R",0,"R",14608394,"R",0,"R",0,"R",46954632,"R",40320220,"R",0,"R",327169450,"R",1046191902,"R",0,"R",22778671,"R",152127,"R",0,"R",22930798,"R",1069122700,"R",251325249,"R",161882523,"R",121678443,"R",55019888,"R",94754270,"R",42334751,"R",57611459,"R",36855985,"R",27706696,"R",15665169,"R",74060342,"R",50319080,"R",17248315,"R",125512124,"R",40873769,"R",0,"R",0,"R",0,"R",0,"R",168161417,"R",22811130,"R",938058315,"R",425762295,"R",148319887,"R",78027135,"R",70592653,"R",19541629,"R",195814716,1 ,"R",3662569,"R",614299707,"R",3102101,"R",104283212,"R",14608394,"R",746977,"R",0,"R",0,"R",28185050,"R",78907225,"R",122447646,"R",98327560,"R",6871771,"R",105199331,"R",17248315,1 ,"R",583048737,"R",657564107
