UNITID,CONTRACT,ARANK,XEMPCNTM,EMPCNTM,XOUTLAYM,OUTLAYM,XAVESALM,AVESALM,XEMPCNTW,EMPCNTW,XOUTLAYW,OUTLAYW,XAVESALW,AVESALW,XEMPCNTT,EMPCNTT,XOUTLAYT,OUTLAYT,XAVESALT,AVESALT 
230764,4,1,"R",332,"R",40865727,"R",123090,"R",98,"R",10548392,"R",107637,"R",430,"R",51414119,"R",119568
230764,4,2,"R",180,"R",15464313,"R",85913,"R",123,"R",9651110,"R",78464,"R",303,"R",25115423,"R",82889
230764,4,3,"R",129,"R",9983623,"R",77392,"R",164,"R",11207033,"R",68336,"R",293,"R",21190656,"R",72323
230764,4,4,"R",8,"R",344106,"R",43013,"R",43,"R",2313471,"R",53802,"R",51,"R",2657577,"R",52109
230764,4,5,"R",102,"R",6046893,"R",59283,"R",63,"R",2979986,"R",47301,"R",165,"R",9026879,"R",54708
230764,4,6,"R",22,"R",907913,"R",41269,"R",36,"R",1329321,"R",36926,"R",58,"R",2237234,"R",38573
230764,4,7,"R",773,"R",73612575,"R",95230,"R",527,"R",38029313,"R",72162,"R",1300,"R",111641888,"R",85878
230782,1,1,"R",113,"R",8700855,"R",76999,"R",56,"R",3808585,"R",68010,"R",169,"R",12509440,"R",74020
230782,1,2,"R",54,"R",3538605,"R",65530,"R",49,"R",2982320,"R",60864,"R",103,"R",6520925,"R",63310
230782,1,3,"R",56,"R",3096829,"R",55301,"R",58,"R",2902065,"R",50036,"R",114,"R",5998894,"R",52622
230782,1,4,"R",27,"R",1203690,"R",44581,"R",36,"R",1385432,"R",38484,"R",63,"R",2589122,"R",41097
230782,1,7,"R",250,"R",16539979,"R",66160,"R",199,"R",11078402,"R",55670,"R",449,"R",27618381,"R",61511
230782,2,1,"R",7,"R",709402,"R",101343,"R",2,"R",171974,"R",85987,"R",9,"R",881376,"R",97931
230782,2,2,"R",1,"R",113579,"R",113579,"R",5,"R",371243,"R",74249,"R",6,"R",484822,"R",80804
230782,2,3,"R",6,"R",322797,"R",53800,"R",5,"R",326476,"R",65295,"R",11,"R",649273,"R",59025
230782,2,4,"Z",0,"Z",0,"A",,"R",1,"R",62253,"R",62253,"R",1,"R",62253,"R",62253
230782,2,7,"R",14,"R",1145778,"R",81841,"R",13,"R",931946,"R",71688,"R",27,"R",2077724,"R",76953
230782,4,1,"R",120,"R",9281288,"R",77344,"R",58,"R",3949294,"R",68091,"R",178,"R",13230582,"R",74329
230782,4,2,"R",55,"R",3631535,"R",66028,"R",54,"R",3286071,"R",60853,"R",109,"R",6917606,"R",63464
230782,4,3,"R",62,"R",3360942,"R",54209,"R",63,"R",3169188,"R",50305,"R",125,"R",6530130,"R",52241
230782,4,4,"R",27,"R",1203690,"R",44581,"R",37,"R",1436367,"R",38821,"R",64,"R",2640057,"R",41251
230782,4,7,"R",264,"R",17477455,"R",66202,"R",212,"R",11840920,"R",55853,"R",476,"R",29318375,"R",61593
230807,1,1,"R",22,"R",2015048,"R",91593,"R",20,"R",1720816,"R",86041,"R",42,"R",3735864,"R",88949
230807,1,2,"R",27,"R",1982026,"R",73408,"R",27,"R",1755751,"R",65028,"R",54,"R",3737777,"R",69218
230807,1,3,"R",24,"R",1618631,"R",67443,"R",22,"R",1238683,"R",56304,"R",46,"R",2857314,"R",62116
230807,1,4,"R",3,"R",181574,"R",60525,"Z",0,"Z",0,"A",,"R",3,"R",181574,"R",60525
230807,1,7,"R",76,"R",5797279,"R",76280,"R",69,"R",4715250,"R",68337,"R",145,"R",10512529,"R",72500
230807,4,1,"R",22,"R",2015048,"R",91593,"R",20,"R",1720816,"R",86041,"R",42,"R",3735864,"R",88949
230807,4,2,"R",27,"R",1982026,"R",73408,"R",27,"R",1755751,"R",65028,"R",54,"R",3737777,"R",69218
230807,4,3,"R",24,"R",1618631,"R",67443,"R",22,"R",1238683,"R",56304,"R",46,"R",2857314,"R",62116
230807,4,4,"R",3,"R",181574,"R",60525,"Z",0,"Z",0,"A",,"R",3,"R",181574,"R",60525
230807,4,7,"R",76,"R",5797279,"R",76280,"R",69,"R",4715250,"R",68337,"R",145,"R",10512529,"R",72500
230816,1,6,"R",32,"R",2417419,"R",75544,"R",30,"R",2159221,"R",71974,"R",62,"R",4576640,"R",73817
230816,1,7,"R",32,"R",2417419,"R",75544,"R",30,"R",2159221,"R",71974,"R",62,"R",4576640,"R",73817
230816,4,6,"R",32,"R",2417419,"R",75544,"R",30,"R",2159221,"R",71974,"R",62,"R",4576640,"R",73817
230816,4,7,"R",32,"R",2417419,"R",75544,"R",30,"R",2159221,"R",71974,"R",62,"R",4576640,"R",73817
