unitid,"xf2a01_1",f2a01_1,"xf2a02_1",f2a02_1,"xf2a04_1",f2a04_1,"xf2a05_1",f2a05_1,"xf2a06_1",f2a06_1,"xf2a07_1",f2a07_1,"xf2a08_1",f2a08_1,"xf2a09_1",f2a09_1,"xf2a10_1",f2a10_1,"xf2a11_1",f2a11_1,"xf2a12_1",f2a12_1,"xf2a13_1",f2a13_1,"xf2a14_1",f2a14_1,"xf2a15_1",f2a15_1,"xf2a16_1",f2a16_1,"xf2a17_1",f2a17_1,"xf2aa01",f2aa01,"xf2aa02",f2aa02,"xf2aa03",f2aa03,"xf2aa04",f2aa04,"xf2aa05",f2aa05,"xf2aa06",f2aa06,"xf2aa07",f2aa07,"xf2aa08",f2aa08,"xf2aa09",f2aa09,"xf2b01_1",f2b01_1,"xf2b01_2",f2b01_2,"xf2b02_1",f2b02_1,"xf2b02_2",f2b02_2,"xf2b03_1",f2b03_1,"xf2b03_2",f2b03_2,"xf2b04_1",f2b04_1,"xf2b04_2",f2b04_2,"xf2b05_1",f2b05_1,"xf2b05_2",f2b05_2,"xf2b06_1",f2b06_1,"xf2b06_2",f2b06_2,"xf2b07_1",f2b07_1,"xf2b07_2",f2b07_2,"xf2b08_1",f2b08_1,"xf2b08_2",f2b08_2,"xf2b09_1",f2b09_1,"xf2b09_2",f2b09_2,"xf2b10_1",f2b10_1,"xf2b10_2",f2b10_2,"xf2b11_2",f2b11_2,"xf2b12_1",f2b12_1,"xf2b12_2",f2b12_2,"xf2b12_3",f2b12_3,"xf2b12_5",f2b12_5,"xf2b12_6",f2b12_6,"xf2b12_7",f2b12_7,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c0308",f2c0308,"xf2c09",f2c09,"xf2c10",f2c10,"xf2c11",f2c11,"xf2c12",f2c12,"xf2d05",f2d05,"xf2d08",f2d08,"xf2d17",f2d17,"xf2d20",f2d20,"xf2d23",f2d23,"xf2d24",f2d24,"xf2dc014",f2dc014,"xf2dc024",f2dc024,"xf2dc034",f2dc034,"xf2dc044",f2dc044
"100690",10,"1032715",10,"0",10,"0",10,"0",10,"26565",10,"0",10,"0",10,"1122044",10,"0",10,"18933",10,"0",10,"0",10,"0",10,"0",10,"103504",10,"2303761",10,"38543",10,"0",10,"0",10,"0",10,"9631",10,"273682",11,"321856",11,"283313",10,"0",10,"1121596",10,"713280",10,"0",10,"0",10,"0",10,"0",10,"128934",10,"106877",10,"136406",10,"81641",10,"819285",10,"306009",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"6999",10,"2206221",10,"1214806",10,"199104",10,"100522",10,"0",10,"691789",10,"2303761",10,"-2206221",10,"0",10,"97540",10,"1462802",10,"0",10,"1560342",10,"517435",10,"2611825",10,"1051483",10,"1402055",10,"158287",10,"1560342",10,"279448",10,"1020126",10,"1511696",10,"0"
"100937",10,"18648448",10,"0",10,"0",10,"0",10,"665014",10,"1061181",10,"41999",10,"18644169",10,"0",10,"12521057",10,"861843",10,"5631897",10,"0",10,"0",10,"92515",10,"58168123",10,"407438",10,"273950",10,"1052938",10,"1143160",10,"2014440",10,"5163320",10,"10055246",10,"0",10,"0",10,"9642257",10,"6515469",10,"0",10,"0",10,"0",10,"0",10,"1655079",10,"612120",10,"4181391",10,"1681472",10,"8246772",10,"3178600",10,"6012263",10,"294418",10,"10055246",10,"0",10,"0",10,"0",10,"0",10,"0",11,"822449",10,"39793008",11,"13104528",11,"3267321",10,"2667762",10,"658829",11,"20094568",10,"58168123",10,"-39793008",10,"-767616",10,"17607499",10,"163087740",10,"0",10,"180695239",10,"120654305",10,"215841034",10,"35145795",10,"78993941",10,"101701298",10,"180695239",10,"2389079",10,"58637773",10,"27867224",10,"0"
"101073",10,"2473915",10,"1165630",10,"9092",10,"0",10,"0",10,"0",10,"0",10,"213660",10,"2120326",10,"-7392",10,"0",10,"869576",10,"0",10,"0",10,"63904",10,"6908711",10,"1039883",10,"0",10,"9092",10,"0",10,"1670847",10,"0",10,"2719822",11,"0",11,"0",10,"1475127",10,"439052",10,"56471",10,"44743",10,"0",10,"0",10,"278587",10,"132899",10,"262787",10,"185639",11,"2818965",10,"417553",10,"1113331",10,"96970",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",11,"99778",10,"6005268",11,"1416634",11,"302421",10,"270466",10,"0",11,"4015747",10,"6908711",10,"-6005268",10,"-322530",11,"580913",10,"12904327",11,"322529",10,"13807769",10,"6739167",10,"16580624",11,"2772855",10,"7859845",10,"5947924",10,"13807769",10,"39303",10,"7439373",10,"1415610",10,"0"
"101189",10,"11562210",10,"0",10,"0",10,"0",10,"2130788",10,"0",10,"0",10,"1691831",10,"0",10,"891928",10,"0",10,"1190142",10,"0",10,"0",10,"431445",10,"17898344",10,"2235453",10,"373206",10,"1198504",10,"0",10,"141219",10,"1072087",10,"5020469",10,"2785016",10,"0",10,"5860621",10,"3511501",10,"0",10,"0",10,"0",10,"0",10,"1610767",10,"407968",10,"3330052",10,"1219391",10,"3305732",10,"1509112",10,"1850737",10,"86299",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"42347",10,"15957909",10,"6776618",10,"804399",10,"1020997",10,"612739",10,"6743156",10,"17898344",10,"-15957909",10,"0",10,"1940435",10,"19221159",10,"105141",10,"21266735",10,"8899281",10,"37839283",10,"16572548",10,"11418593",10,"9848142",10,"21266735",10,"941540",10,"16729786",10,"6651121",10,"0"
"101435",10,"3271099",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"6114723",10,"0",10,"2512094",10,"0",10,"2371464",10,"0",10,"0",10,"426709",10,"14696089",10,"359698",10,"178067",10,"320435",10,"0",10,"2162039",10,"1570753",10,"4590992",10,"0",10,"0",10,"4396171",10,"2435044",10,"0",10,"0",10,"0",10,"0",10,"774831",10,"370473",10,"2675783",10,"987782",10,"1493034",10,"832525",10,"2429280",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"374246",10,"11769099",10,"5000070",10,"491404",10,"1035459",10,"905430",10,"4336736",10,"14696089",10,"-11769099",10,"-18016",10,"2908974",10,"42958254",10,"0",10,"45867228",10,"36037293",10,"68360335",10,"22493107",10,"6208411",10,"39658817",10,"45867228",10,"926790",10,"16795485",10,"7909772",10,"0"
"101453",10,"577016",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1309533",10,"5440",10,"466530",10,"0",10,"75573",10,"0",10,"0",10,"229336",10,"2663428",10,"182125",10,"13606",10,"0",10,"0",10,"98924",10,"19797",10,"314452",10,"19797",10,"0",10,"319409",10,"254419",10,"2665",10,"0",10,"43054",10,"887",10,"174906",10,"126940",10,"276549",10,"165115",10,"1135658",10,"467035",10,"102840",10,"11330",10,"117095",10,"0",10,"0",10,"0",10,"0",10,"0",10,"32030",10,"2172176",10,"1057756",10,"179611",10,"141351",10,"72074",10,"721384",10,"2663428",10,"-2172176",10,"-10969",10,"480283",10,"3910775",10,"0",10,"4391058",10,"2863829",10,"5243433",10,"852375",10,"1352478",10,"3038580",10,"4391058",10,"501454",10,"1212528",10,"1458677",10,"0"
"101541",10,"1969636",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",11,"1433751",10,"0",11,"1956703",10,"0",10,"1297908",10,"0",10,"0",10,"336689",10,"6994687",10,"214496",10,"53751",10,"165772",10,"0",10,"600974",10,"444186",10,"1479179",10,"0",10,"0",10,"2107985",10,"1095892",10,"0",10,"0",10,"0",10,"0",10,"322162",10,"168570",10,"866981",10,"446071",10,"1366364",10,"301999",10,"1138508",10,"387165",10,"1045160",10,"0",10,"0",10,"0",10,"0",10,"0",11,"302640",10,"6847160",11,"2702337",11,"446463",10,"530624",10,"192922",11,"2974814",10,"6994687",10,"-6847160",10,"0",10,"147527",10,"17835938",10,"0",10,"17983465",10,"7004728",10,"23078115",10,"5094650",10,"3042553",10,"14940912",10,"17983465",10,"271974",10,"7857947",10,"3019756",10,"0"
"101648",10,"3640667",10,"0",10,"455464",10,"0",10,"0",10,"0",10,"0",10,"446491",10,"0",10,"27022",10,"0",10,"814608",10,"0",10,"0",10,"210221",10,"5594473",10,"128625",10,"27155",10,"0",10,"0",10,"36700",10,"390074",10,"582554",10,"582554",10,"0",10,"1131271",10,"804646",10,"0",10,"0",10,"0",10,"0",10,"187271",10,"105594",10,"1742869",10,"723064",10,"823406",10,"266267",10,"901795",10,"117483",10,"390074",10,"0",10,"0",10,"0",10,"574338",10,"0",10,"234442",10,"5751024",10,"2251496",10,"220952",10,"0",10,"0",10,"3278576",10,"5594473",10,"-5751024",10,"-117383",10,"-273934",10,"13793001",10,"0",10,"13519067",10,"1376447",10,"13768893",10,"249826",10,"12393167",10,"1125900",10,"13519067",10,"9126495",10,"0",10,"1635662",10,"0"
"101675",10,"7150410",10,"0",10,"0",10,"0",10,"6328496",10,"0",10,"0",10,"1722191",10,"0",10,"497723",10,"1724603",10,"0",10,"0",10,"0",10,"405876",10,"17829299",10,"2754898",10,"1119376",10,"1274609",10,"70000",10,"291431",10,"362600",11,"5872914",10,"1963640",11,"0",10,"3905221",10,"2181205",10,"0",10,"0",10,"0",10,"0",10,"501764",10,"172408",10,"2058458",10,"627444",10,"3287544",10,"493832",10,"2749745",10,"208995",10,"4433103",10,"0",10,"0",10,"0",10,"0",10,"0",11,"482302",10,"16935835",11,"4166186",11,"467798",11,"1808755",10,"0",11,"10493096",10,"17829299",10,"-16935835",10,"0",10,"893464",10,"20554178",11,"-178049",10,"21269593",10,"9087816",10,"28170409",11,"6900816",10,"12817817",10,"8451776",10,"21269593",10,"1401250",10,"14668455",10,"7454641",10,"0"
"101693",10,"12297107",10,"0",10,"0",10,"0",10,"204879",10,"0",10,"0",10,"3899746",10,"0",10,"440764",10,"0",10,"2173776",10,"0",10,"0",10,"189702",10,"19205974",10,"1807264",10,"204879",10,"767153",10,"330126",10,"669679",10,"3455145",10,"7234246",10,"4124824",10,"0",10,"9201069",10,"5462438",10,"0",10,"0",10,"0",10,"0",10,"869379",10,"370177",10,"1469813",10,"814378",10,"3559656",10,"1299435",10,"3955657",10,"767409",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"239045",10,"19055574",10,"8952882",10,"2051128",10,"1322754",10,"763029",10,"5965781",10,"19205974",10,"-19055574",10,"-256000",10,"-105600",10,"15645713",10,"0",10,"15540113",10,"5787057",10,"27203286",10,"11663173",10,"6878385",10,"8661728",10,"15540113",10,"844206",10,"18758862",10,"6720880",10,"0"
