UNITID,CONTRACT,ARANK,XEMPCNTM,EMPCNTM,XOUTLAYM,OUTLAYM,XAVESALM,AVESALM,XEMPCNTW,EMPCNTW,XOUTLAYW,OUTLAYW,XAVESALW,AVESALW,XEMPCNTT,EMPCNTT,XOUTLAYT,OUTLAYT,XAVESALT,AVESALT 
100654,1,1,"R",28,"R",2518502,"R",89947,"R",12,"R",1013105,"R",84425,"R",40,"R",3531607,"R",88290
100654,1,2,"R",46,"R",3134981,"R",68152,"R",17,"R",1012962,"R",59586,"R",63,"R",4147943,"R",65840
100654,1,3,"R",74,"R",4035815,"R",54538,"R",49,"R",2557543,"R",52195,"R",123,"R",6593358,"R",53605
100654,1,4,"R",16,"R",666837,"R",41677,"R",33,"R",1221669,"R",37020,"R",49,"R",1888506,"R",38541
100654,1,7,"R",164,"R",10356135,"R",63147,"R",111,"R",5805279,"R",52300,"R",275,"R",16161414,"R",58769
100654,2,1,"R",14,"R",1554595,"R",111043,"R",2,"R",223894,"R",111947,"R",16,"R",1778489,"R",111156
100654,2,2,"R",4,"R",329899,"R",82475,"R",3,"R",221119,"R",73706,"R",7,"R",551018,"R",78717
100654,2,3,"R",6,"R",432367,"R",72061,"R",4,"R",293425,"R",73356,"R",10,"R",725792,"R",72579
100654,2,4,"Z",0,"Z",0,"A",,"R",1,"R",68924,"R",68924,"R",1,"R",68924,"R",68924
100654,2,7,"R",24,"R",2316861,"R",96536,"R",10,"R",807362,"R",80736,"R",34,"R",3124223,"R",91889
100654,4,1,"R",42,"R",3790472,"R",90249,"R",14,"R",1196295,"R",85450,"R",56,"R",4986767,"R",89049
100654,4,2,"R",50,"R",3404904,"R",68098,"R",20,"R",1193882,"R",59694,"R",70,"R",4598786,"R",65697
100654,4,3,"R",80,"R",4389578,"R",54870,"R",53,"R",2797623,"R",52785,"R",133,"R",7187201,"R",54039
100654,4,4,"R",16,"R",666837,"R",41677,"R",34,"R",1278063,"R",37590,"R",50,"R",1944900,"R",38898
100654,4,7,"R",188,"R",12251791,"R",65169,"R",121,"R",6465863,"R",53437,"R",309,"R",18717654,"R",60575
100663,1,1,"R",82,"R",8067317,"R",98382,"R",17,"R",1547437,"R",91026,"R",99,"R",9614754,"R",97119
