unitid,a071,a072,a073,a081,a082,a083,a091,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,aline03,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"100654","52700","1172355","1225055","0","0","0","28739","9797641","0","9797641","17068","3091874","3108942","19744361","0","19744361","0","0","0","1173658","12037947","13211605","1109871","1138610","0","0","0","256214","0","256214","4564157","0","4564157","0","0","0","80044","5454","85498","0","0","0","35714582","17417501","53132083","0",10,13,10,10,10,10,10,13,10,13,13,13,10,10,10,10,10,10,13,13,13,10,10,10,13,13,13,10,13,10,10,13,10,13,13,13,10,10,10,13,13,13,10,10,10,13
"100663","93370","5052022","5145392","67089","2476087","2543176","9819633","36867485","0","36867485","0","0","0","131306276","1271371","132577647","0","0","0","21240856","88233981","109474837","33017633","42837266","0","4145718","4145718","17628180","0","17628180","14702001","0","14702001","440111928","0","440111928","16116576","800716","16917292","0","0","0","687953394","134997528","822950922","0",10,13,10,13,13,13,10,10,10,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,10,13,10,10,13,10,10,13,10,10,10,10,13,13,13,10,10,10,13
"100672","0","220728","220728","0","0","0","0","1147086","0","1147086","0","0","0","2500198","17819","2518017","0","0","0","0","533195","533195","0","0","0","0","0","1193","0","1193","116595","0","116595","0","0","0","16822","802","17624","0","0","0","3781894","772544","4554438","0",10,10,10,13,13,13,10,10,10,13,13,13,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,13,13,13,10,10,10,13,13,13,10,10,10,13
"100690","0","0","0","0","0","0","1188528","256110","0","256110","0","0","0","0","0","0","0","0","0","0","56304","56304","0","1188528","3511","0","3511","0","0","0","1673","0","1673","0","0","0","15605","0","15605","0","0","0","1465427","56304","1521731","0",10,13,10,13,13,13,13,13,13,13,13,13,13,10,10,13,13,13,13,13,13,10,13,10,10,13,10,13,13,13,10,13,10,13,13,13,10,13,10,13,13,13,10,10,10,13
"100706","85025","489451","574476","0","0","0","525825","16405062","0","16405062","0","0","0","28873339","0","28873339","0","0","0","5108221","22759472","27867693","2764567","3290392","15868","17107","32975","0","0","0","3890655","0","3890655","0","0","0","2914714","740632","3655346","0","0","0","57818709","26771229","84589938","0",10,13,10,13,13,13,10,13,10,13,13,13,10,10,10,10,10,10,13,13,13,10,10,10,10,10,10,13,13,13,10,13,10,13,13,13,10,10,10,13,13,13,10,10,10,13
"100724","0","428053","428053","0","2000","2000","0","8505744","0","8505744","0","0","0","18910459","0","18910459","0","0","0","0","9092841","9092841","153166","153166","0","41597","41597","19167","0","19167","5242067","0","5242067","0","0","0","1033497","37888","1071385","0","0","0","33710934","9755545","43466479","0",10,10,10,13,13,13,10,10,10,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,13,10,13,13,13,10,10,10,13,13,10,10,10,10,13
"100733","0","0","0","0","0","0","5000","0","0","0","0","0","0","310164","6467","316631","0","0","0","0","0","0","0","5000","0","0","0","0","0","0","0","0","0","0","0","0","45536","0","45536","0","0","0","360700","6467","367167","0",13,13,13,13,13,13,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,10,13,10,13,13,13,13,13,13,13,13,13,13,13,13,10,13,10,13,13,13,10,10,10,13
"100751","241185","4645263","4886448","31687","310870","342557","1141250","55217046","0","55217046","0","0","0","88983774","0","88983774","0","0","0","1918223","17692802","19611025","5539209","6680459","3305485","2485041","5790526","3434416","0","3434416","50864663","0","50864663","0","0","0","6461893","94785","6556678","0","0","0","211599622","30767970","242367592","0",10,13,10,13,13,13,10,13,10,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,13,10,13,13,13,10,10,10,13,13,13,10,10,10,13
"100760","0","233195","233195","0","101","101","32080","2112983","0","2112983","0","0","0","4128829","131239","4260068","0","0","0","0","1949840","1949840","93384","125464","0","0","0","25269","0","25269","454573","0","454573","0","0","0","220380","2332","222712","0","0","0","6974114","2410091","9384205","0",10,13,10,13,13,13,10,10,10,13,13,13,13,10,10,13,10,10,13,10,10,10,10,10,13,13,13,10,13,10,10,13,10,13,13,13,10,10,10,13,13,13,10,10,10,13
"100779","0","","0","0","","0","11649","267740","","267740","0","","0","0","","0","0","","0","0","","0","","11649","0","","0","124225","","124225","0","","0","0","","0","28070","","28070","0","","0","431684","","431684","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100812","0","160243","160243","0","0","0","3763","4195507","0","4195507","0","0","0","5160247","0","5160247","0","0","0","0","1195039","1195039","0","3763","0","0","0","0","0","0","592898","0","592898","0","0","0","158891","18977","177868","0","0","0","10111306","1374259","11485565","0",10,13,10,13,13,13,10,13,10,13,13,13,13,10,10,13,10,10,13,13,13,10,13,10,13,13,13,13,13,13,10,13,10,13,13,13,10,10,10,13,13,13,10,10,10,13
"100830","308516","3084004","3392520","44749","392631","437380","14834","9136953","0","9136953","0","0","0","14252127","0","14252127","0","0","0","6731","2309103","2315834","763327","778161","384151","123077","507228","746113","2181","748294","3759205","0","3759205","0","0","0","1341411","238900","1580311","0","0","0","29994790","6913223","36908013","0",10,13,10,13,13,13,10,13,10,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,13,13,13,10,10,10,13,13,13,10,10,10,13
"100858","355487","3007898","3363385","0","6199","6199","1681915","46386292","0","46386292","32932","13847303","13880235","135452420","0","135452420","0","2122757","2122757","2693562","18864283","21557845","16298064","17979979","763777","1839458","2603235","11068029","0","11068029","40206782","0","40206782","0","0","0","8429470","2592690","11022160","0","0","0","247070666","58578652","305649318","0",10,13,10,10,10,10,10,13,10,13,10,10,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,13,10,10,13,10,13,13,13,10,10,10,13,13,13,10,10,10,13
"100919","0","59772","59772","0","30202","30202","5665","1349520","0","1349520","431","238496","238927","4552670","0","4552670","1302612","0","1302612","0","1257077","1257077","31590","37255","0","0","0","33855","0","33855","679613","0","679613","0","0","0","263012","0","263012","0","0","0","8187378","1617137","9804515","0",10,13,10,10,11,11,10,13,10,10,13,10,13,11,11,13,10,10,13,10,10,10,10,10,13,13,13,10,13,10,10,13,10,13,13,13,10,13,10,13,13,13,10,10,10,13
"100937","0","765640","765640","0","0","0","1699859","14327027","0","14327027","0","0","0","0","0","0","0","0","0","0","706677","706677","1353976","3053835","1105159","1600041","2705200","335952","220035","555987","4240270","0","4240270","0","0","0","154810","0","154810","0","0","0","21863077","4646369","26509446","0",10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,10,10,10,13
"100964","0","0","0","20000","0","20000","9839","837805","0","837805","0","0","0","1535851","4722","1540573","0","0","0","0","1087922","1087922","0","9839","0","0","0","0","0","0","179989","0","179989","0","0","0","52650","946","53596","0","0","0","2636134","1093590","3729724","0",10,13,10,13,13,13,10,10,10,13,13,13,13,10,10,13,13,13,10,13,10,10,13,10,13,13,13,13,13,13,10,13,10,13,13,13,10,10,10,13,13,13,10,10,10,13
"100973","0","0","0","0","0","0","0","205471","0","205471","0","0","0","1042856","0","1042856","0","0","0","0","987753","987753","0","0","0","0","0","8833","0","8833","13570","0","13570","0","0","0","61417","0","61417","0","0","0","1332147","987753","2319900","0",10,13,10,13,13,13,10,13,10,13,13,13,13,10,10,13,13,13,13,13,13,13,13,13,13,13,13,10,13,10,10,13,10,13,13,13,10,13,10,13,13,13,10,10,10,16
"100991","0","0","0","0","1894","1894","0","523602","0","523602","0","110262","110262","1830073","167314","1997387","0","0","0","0","1121450","1121450","0","0","0","0","0","51611","0","51611","57509","0","57509","0","0","0","47214","0","47214","0","0","0","2510009","1400920","3910929","0",10,13,10,13,16,16,10,11,11,13,13,13,13,10,10,13,13,13,13,10,10,13,13,13,13,13,13,16,13,16,10,13,10,13,13,13,10,13,10,13,13,13,11,10,11,13
"101028","0","0","0","37302","0","37302","129142","1565845","0","1565845","9817","0","9817","2368322","16681","2385003","0","0","0","0","823746","823746","0","129142","0","0","0","0","0","0","98641","0","98641","0","0","0","22404","0","22404","0","0","0","4231473","840427","5071900","0",10,13,10,10,13,10,10,10,10,13,13,13,13,10,10,13,13,13,10,13,10,10,13,10,13,13,13,13,13,13,11,13,11,13,13,13,10,13,10,13,13,13,11,10,11,13
"101037","0","0","0","0","0","0","0","534383","850","535233","0","0","0","1837367","321258","2158625","0","0","0","0","1097548","1097548","250000","250000","0","0","0","43569","0","43569","156096","0","156096","0","0","0","51195","7057","58252","0","0","0","2622610","1676713","4299323","0",10,10,10,10,10,10,10,10,10,13,13,13,13,10,10,13,13,13,13,13,13,13,10,10,13,13,13,10,13,10,10,13,10,13,13,13,10,10,10,13,13,13,10,10,10,13
"101073","0","176020","176020","0","0","0","373562","972701","0","972701","0","94634","94634","0","0","0","0","0","0","0","593290","593290","606283","979845","78600","1585","80185","0","0","0","533819","0","533819","0","0","0","26216","0","26216","0","0","0","1984898","1471812","3456710","0",10,13,10,13,11,11,13,13,13,13,13,13,13,16,16,13,16,16,13,13,13,10,10,10,10,10,10,13,13,13,10,13,10,13,13,13,10,13,10,13,13,13,10,10,10,13
"101107","0","246314","246314","46753","8450","55203","0","617097","0","617097","7968","0","7968","2398161","25211","2423372","0","0","0","0","1064736","1064736","0","0","0","0","0","60439","0","60439","194992","0","194992","0","0","0","64877","0","64877","0","0","0","3390287","1344711","4734998","0",10,13,10,10,13,10,10,10,10,13,13,13,13,10,10,13,10,10,10,10,10,13,13,13,13,13,13,10,13,10,10,13,10,13,13,13,10,13,10,13,13,13,10,10,10,13
