unitid,b011,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b234,b244,b254,b264,b274,bline05,bline14,bline15,bline17,bline18,bline20,bline21,"xb011","xb012","xb013","xb014","xb021","xb022","xb023","xb024","xb031","xb032","xb033","xb034","xb041","xb042","xb043","xb044","xb061","xb062","xb063","xb064","xb071","xb072",b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,"xb073","xb074","xb081","xb082","xb083","xb084","xb091","xb092","xb093","xb101","xb102","xb103","xb111","xb112","xb113","xb121","xb122","xb123","xb131","xb132","xb133","xb161","xb162","xb163","xb191","xb192","xb193","xb221","xb222","xb223","xb234","xb244","xb254","xb264","xb274","xbline05","xbline14","xbline15","xbline17","xbline18","xbline20","xbline21"
"206914","11617773","23681743","4007671","0","4007671","0","0","0","0","0","0","22709384","4980030","27689414","11946051","2870964","0","0","14817015","840553","91373","145359","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"235268","11853041","8439481","118420","76667","195087","71795","168804","453621","622425","116676","1165476","255992","1421468","652926","1010952","225791","1236743","689278","1962132","105181","2067313","1117054","2097593","0","2097593","858841","476690","3627510","4104200","83873","0","83873","0","0","0","18701713","4980030",10,10,10,13,10,10,10,10,10,10,13,10,13,13,13,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13
"206923","2092466","6591485","1625765","0","1625765","0","0","0","0","0","0","5991931","2225319","8217250","3451620","686868","0","0","4138488","150207","25276","0","0","0","0","0",10,10,10,10,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,"302474","2394940","1847324","0","0","0","0","0","204737","204737","113533","475900","42888","518788","306186","317035","431923","748958","493045","855152","90263","945415","565923","397424","11396","408820","125609","228189","1141638","1369827","0","0","0","0","0","0","4366166","2225319",10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,13,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,10,13,13,13,13,13
"206941","22576592","47208616","8780738","0","8780738","0","0","0","0","0","0","50689461","5299893","55989354","28234903","5826269","0","0","34061172","2424409","0","581010","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"535111","23111703","18332377","352490","610","353100","164612","829761","275379","1105140","681278","5667755","113791","5781546","2863723","1993705","96006","2089711","1360667","4757627","9563","4767190","2812285","4511856","23049","4534905","2019961","1213685","4228329","5442014","0","0","0","5252","18055","23307","41908723","5299893",10,10,10,10,10,10,10,10,10,13,13,13,10,10,10,10,10,10,10,13,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,13,10,13,13,13,13
"206996","2221546","7724552","1977592","28124","2005716","0","0","0","0","0","0","7319745","2410523","9730268","3729689","807072","0","0","4536761","286189","2980","0","0","0","0","0",10,10,10,10,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,"52520","2274066","1745891","0","0","0","0","0","0","0","0","824002","26513","850515","487495","495555","191260","686815","524858","915327","18391","933718","645950","703568","5605","709173","325495","182155","2088110","2270265","0","0","0","0","0","0","5342153","2382399",10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,10,13,13,13,13,13
"207041","9705814","21676077","3630065","0","3630065","0","0","0","0","0","0","19059508","6246634","25306142","12386216","2607401","0","0","14993617","728159","0","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"0","9705814","7638016","111176","0","111176","78670","224785","2472692","2697477","1565811","1117455","0","1117455","627729","595881","0","595881","416960","1870050","0","1870050","1208429","1804282","0","1804282","850601","0","3773942","3773942","0","0","0","0","0","0","15429443","6246634",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"207050","2762705","7555213","1792887","0","1792887","0","0","0","0","0","0","7716215","1631885","9348100","3549274","1092665","0","0","4641939","169598","99755","0","0","0","0","0",10,13,10,10,13,13,13,13,10,13,10,10,10,13,10,10,10,13,10,10,10,13,"0","2762705","1963105","0","0","0","0","189741","0","189741","123444","549014","0","549014","276794","447995","0","447995","323918","1121889","0","1121889","562180","851984","0","851984","299833","0","1631885","1631885","0","0","0","0","0","0","5923328","1631885",10,10,10,13,10,10,13,10,10,13,13,13,13,13,13,10,10,10,10,13,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,10,13,13,13,13,13
"207069","1694777","4491462","991744","191928","1183672","0","0","0","0","0","0","4510746","1164388","5675134","2256581","479322","0","0","2735903","122095","0","0","0","0","0","0",10,13,10,10,13,13,13,13,10,13,10,10,10,13,10,10,10,13,10,10,10,13,"0","1694777","1326793","0","0","0","0","81259","0","81259","54830","359574","0","359574","226165","325793","0","325793","224789","589591","0","589591","264247","468008","0","468008","159757","0","972460","972460","0","0","0","0","0","0","3519002","972460",10,10,10,13,10,10,13,16,16,13,13,13,13,13,13,10,16,11,10,10,10,13,13,13,13,13,13,10,11,11,10,10,13,13,10,10,13,13,13,13,13,13
"207209","7580586","20658817","4751093","0","4751093","0","0","0","0","0","0","18044402","7365508","25409910","11326882","2405561","0","0","13732443","634826","","","","","","",,,,,,,,,,,,,,,,,,,,,,,"0","7580586","5862834","0","1486076","1486076","664361","388026","1007561","1395587","898615","548141","1094351","1642492","1076681","981452","175903","1157355","810476","1232111","1004730","2236841","1408496","1340330","0","1340330","605419","1222663","2596887","3819550","0","0","0","0","0","0","13293309","7365508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"207236","2062679","5790383","1481134","9079","1490213","0","0","0","0","0","0","5818980","1461616","7280596","2886940","575445","0","0","3462385","128136","56967","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"29542","2092221","1638381","0","0","0","0","48634","629","49263","36913","508012","15827","523839","238111","299672","221672","521344","348694","852629","3003","855632","471419","469948","4190","474138","153422","96272","1177674","1273946","0","0","0","0","0","0","4337846","1452537",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,10,10,13,13,13,13,13
"207254","4864357","13606611","480774","","480774","","","","","","","13017908","1069477","14087385","4737938","","","","4737938","66257","","","","","","",,,,,,,,,,,,,,,,,,,,,,,"","4864357","2798282","","","","","","","","","7665135","","7665135","1939656","","","","","","","","","","","","","7642","1069477","1077119","","","","","","","12537134","1069477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"213899","365718","1481450","53890","0","53890","0","0","0","0","0","0","1247924","287416","1535340","","","","","","17195","0","460","0","0","0","0",21,21,21,31,21,21,21,31,21,21,21,31,21,21,21,31,21,21,21,31,21,21,"9211","374929","","1382","0","1382","","768","0","768","","80452","4913","85365","","153534","1382","154916","","333015","3992","337007","","218939","4453","223392","","23798","263004","286802","16428","461","16889","0","0","0","1194034","287416",21,31,21,21,21,31,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,11,31,31,31,31,31,21,21,21,21,21,21,21
"213358","2387042","10425677","1330809","18134","1348943","0","0","0","0","0","0","10461147","1313473","11774620","4243036","946723","0","0","5189759","309811","108760","0","0","0","0","0",10,10,10,10,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"108319","2495361","1989872","0","0","0","0","23543","0","23543","5281","769120","79216","848336","475245","1447270","61394","1508664","781055","1843678","28651","1872329","991583","1270611","7984","1278595","0","650668","1009775","1660443","434619","0","434619","303787","0","303787","9130338","1295339",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,16,10,13,13,13,13,13
"213367","12281304","48632055","11542802","0","11542802","0","0","0","0","0","0","57142486","3032371","60174857","22238252","4911120","0","0","27149372","1408605","1839423","0","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"501187","12782491","11698267","0","33604","33604","0","70526","252866","323392","55171","3167545","654411","3821956","2201870","4565253","295508","4860761","2872083","12076429","133196","12209625","3829614","3444107","1452","3445559","1581247","5876538","1160147","7036685","1462952","0","1462952","2655030","0","2655030","45599684","3032371",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,10,13,13,13,13,13
"213376","1209449","4793301","170578","0","170578","0","0","0","0","0","0","3516822","1447057","4963879","2065499","483348","0","0","2548847","89722","0","0","0","0","0","0",16,16,16,16,16,13,16,16,13,13,13,13,16,13,16,16,16,16,16,16,16,16,"55075","1264524","927828","27853","0","27853","21976","0","0","0","0","240673","0","240673","71056","440895","352982","793877","498612","1043375","5772","1049147","472606","233307","0","233307","73421","0","1033228","1033228","150692","0","150692","0","0","0","3346244","1447057",16,16,16,13,16,16,13,16,16,16,13,16,13,13,13,16,16,16,16,13,16,13,13,13,13,13,13,16,16,16,16,16,13,13,16,10,13,13,13,13,13,13
"213385","12308147","46223170","8833879","66365","8900244","0","0","0","0","0","0","46502607","8620807","55123414","19844866","5736737","0","0","25581603","1871393","253427","689020","0","0","0","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"2214312","14522459","9959098","62378","484647","547025","278885","12399","1067","13466","0","3614114","602977","4217091","1730848","5898909","409050","6307959","2874999","5584287","111116","5695403","3103872","3579837","538016","4117853","1897164","4781834","3195120","7976954","975000","0","975000","851823","998137","1849960","37668728","8554442",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,10,10,10,10,10,13,13,10,10,10,10,13,13,13,13
