UNITID,XF2A01,F2A01,XF2A19,F2A19,XF2A20,F2A20,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2C10,F2C10,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D17,F2D17,XF2D172,F2D172,XF2D173,F2D173,XF2D174,F2D174,XF2D18,F2D18,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E021,F2E021,XF2E022,F2E022,XF2E031,F2E031,XF2E032,F2E032,XF2E041,F2E041,XF2E042,F2E042,XF2E051,F2E051,XF2E052,F2E052,XF2E061,F2E061,XF2E062,F2E062,XF2E071,F2E071,XF2E072,F2E072,XF2E081,F2E081,XF2E091,F2E091,XF2E092,F2E092,XF2E101,F2E101,XF2E102,F2E102,XF2E121,F2E121,XF2E122,F2E122,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,F2FHA,XF2H01,F2H01,XF2H02,F2H02   
100690,"R",8475775,"R",2857973,"Z",0,"R",12007257,"R",3009828,"R",2216654,"R",8452804,"R",544625,"R",174805,"R",369820,"R",8997429,"R",493719,"R",942329,"R",3916882,"R",846907,"Z",0,"R",6199837,"R",3341864,"R",7428566,"R",7385164,"R",0,"R",43402,"R",8954027,"R",0,"R",8997429,"R",888839,"R",15331,"R",0,"R",0,"R",0,"R",311258,"R",1215428,"R",311258,"Z",0,"R",311258,"R",6602757,"R",6602757,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",14650,"R",14650,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",777723,"R",777723,"R",0,"R",0,"R",777723,"R",777723,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11199,"R",7191,"R",4008,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22237,"R",22237,"R",0,"R",0,"R",7428566,"R",7424558,"R",4008,"Z",0,"R",0,"R",60710,"R",-60710,"Z",0,"R",7428566,"R",7485268,"R",-56702,"R",0,"R",2358591,"R",1677255,"R",0,"R",0,"R",0,"R",0,"R",428276,"R",400150,"R",771771,"R",684479,"R",3826526,"R",1294554,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",7385164,"R",4056438,"R",544212,"R",218220,"R",126828,"R",123601,"R",2315865, 1,"R",174804,"R",174805
100937,"R",51763508,"R",99715728,"R",0,"R",179607698,"R",53016999,"R",38116225,"R",53306720,"R",73283979,"R",64469529,"R",8814450,"R",126590699,"R",25183912,"R",160952221,"R",29571197,"R",490972,"R",0,"R",216198302,"R",116482574,"R",61338722,"R",47596268,"R",0,"R",13742454,"R",112848245,"R",0,"R",126590699,"R",1061867,"R",111354,"R",0,"R",0,"R",6185127,"R",22758697,"R",30117045,"R",28943824,"R",0,"R",28943824,"R",14506518,"R",14506518,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",305635,"R",305635,"R",0,"R",0,"R",19000,"R",19000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11964827,"R",3960097,"R",5084789,"R",2919941,"R",11824154,"R",3819424,"R",5084789,"R",2919941,"R",140673,"R",140673,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5073831,"R",48902,"R",5024929,"R",0,"R",0,"R",0,"R",15308803,"R",15308803,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",14160108,"R",11451879,"R",2708229,"R",0,"R",61338722,"R",45600834,"R",12817947,"R",2919941,"R",0,"R",11194109,"R",-9508719,"R",-1685390,"R",61338722,"R",56794943,"R",3309228,"R",1234551,"R",14763232,"R",8851547,"R",0,"R",0,"R",0,"R",0,"R",2880894,"R",710713,"R",9761489,"R",4145041,"R",9496778,"R",4039925,"R",10368663,"R",779835,"R",325212,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",47596268,"R",18527061,"R",4580455,"R",5165210,"R",3362274,"R",2673692,"R",13287576, 1,"R",54221105,"R",53528445
101073,"R",84885,"R",9389791,"Z",0,"R",11748080,"R",6384305,"R",0,"R",2857367,"R",2506408,"R",822800,"R",1683608,"R",5363775,"R",3301258,"R",14726159,"R",3295471,"R",0,"R",0,"R",21322888,"R",11933097,"R",7778556,"R",9784349,"R",0,"R",-2005793,"R",10019027,"R",-2649459,"R",5363775,"R",1526470,"R",0,"R",180040,"R",0,"R",0,"R",101145,"R",1807655,"R",1654780,"R",0,"R",1654780,"R",1669906,"R",1669906,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",1724522,"R",1724522,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",885608,"R",885608,"R",0,"R",0,"R",885608,"R",885608,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",42742,"R",42742,"Z",0,"Z",0,"R",0,"R",0,"R",1721160,"R",1721160,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",1734618,"R",1734618,"R",0,"R",0,"R",7778556,"R",7778556,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",7778556,"R",7778556,"R",0,"R",0,"R",3436643,"R",1245784,"R",0,"R",0,"R",0,"R",0,"R",482619,"R",191004,"R",907513,"R",685004,"R",2346814,"R",483521,"R",2610660,"R",209141,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",100,"R",0,"R",9784349,"R",2814454,"R",671520,"R",1254125,"R",710253,"R",0,"R",4333997, 1,"R",1046779,"R",53210
101189,"R",20723641,"R",50628415,"Z",0,"R",92214055,"R",44569808,"R",34914439,"R",27707017,"R",19937230,"R",12744795,"R",7192435,"R",47644247,"R",5397044,"R",62288210,"R",26962333,"R",1404432,"Z",0,"R",96052019,"R",45423604,"R",47046532,"R",44636660,"R",0,"R",2409872,"R",45234375,"R",0,"R",47644247,"R",6984574,"R",573203,"R",995745,"Z",0,"R",436819,"R",11933552,"R",20923893,"R",11691808,"R",1018061,"R",12709869,"R",35373172,"R",35373172,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1042858,"R",21872,"R",1020986,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4626356,"R",862259,"R",3737895,"R",26202,"R",4626356,"R",862259,"R",3737895,"R",26202,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1521066,"R",74997,"R",1371847,"R",74222,"Z",0,"Z",0,"R",3325737,"R",3325737,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1157343,"R",1142345,"R",14998,"R",0,"R",47046532,"R",40800382,"R",6145726,"R",100424,"R",0,"R",2228771,"R",-2228771,"Z",0,"R",47046532,"R",43029153,"R",3916955,"R",100424,"R",16311527,"R",10705010,"Z",0,"Z",0,"Z",0,"Z",0,"R",3325086,"R",1471060,"R",9069386,"R",3564825,"R",9279380,"R",3007156,"R",4122922,"R",504077,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2528359,"R",0,"R",44636660,"R",19252128,"R",3551836,"R",4386931,"R",2696898,"R",636237,"R",14112630, 1,"R",17308614,"R",18466329
101365,"Z",0,"R",3512575,"Z",0,"R",4673136,"R",4157413,"Z",0,"R",515723,"Z",0,"Z",0,"Z",0,"R",515723,"R",280000,"R",3169815,"R",412086,"R",32567,"Z",0,"R",3894468,"R",381893,"R",5885052,"R",5329517,"R",223176,"R",778711,"R",-262988,"R",0,"R",515723,"R",1239389,"R",69531,"R",4341,"Z",0,"Z",0,"R",781304,"R",2094565,"R",781304,"Z",0,"R",781304,"R",5683430,"R",5683430,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",201622,"R",201622,"R",0,"R",0,"R",5885052,"R",5885052,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",5885052,"R",5885052,"R",0,"R",0,"R",2439889,"R",1026640,"Z",0,"Z",0,"Z",0,"Z",0,"R",227514,"R",177024,"R",1438685,"R",533903,"R",827728,"R",247675,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",395701,"R",47368,"R",5329517,"R",2032610,"R",383114,"R",243701,"R",61198,"Z",0,"R",2608894, 2,"A",,"A",
101435,"R",48205543,"R",28999078,"R",0,"R",87049661,"R",28907652,"R",24965832,"R",7634095,"R",50507914,"R",48175439,"R",2332475,"R",58142009,"R",3049311,"R",41661279,"R",11696447,"R",683443,"R",0,"R",57090480,"R",28091402,"R",23956077,"R",22159981,"R",0,"R",1796096,"R",56345913,"R",0,"R",58142009,"R",2164481,"R",149812,"R",346617,"R",0,"R",4198315,"R",6654763,"R",13513988,"R",10862030,"R",0,"R",10862030,"R",11407561,"R",11407561,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",104845,"R",104845,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3740737,"R",3522579,"R",63374,"R",154784,"R",3740737,"R",3522579,"R",63374,"R",154784,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4214295,"R",1235628,"R",1916325,"R",1062342,"Z",0,"Z",0,"R",4343073,"R",4343073,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",145566,"R",1675746,"R",-1527881,"R",-2299,"R",23956077,"R",22289432,"R",451818,"R",1214827,"R",0,"R",0,"Z",0,"Z",0,"R",23956077,"R",22289432,"R",451818,"R",1214827,"R",7257017,"R",4426236,"Z",0,"Z",0,"Z",0,"Z",0,"R",1336250,"R",800500,"R",6822859,"R",3258163,"R",3435700,"R",1716701,"R",3308155,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",22159981,"R",10201600,"R",1642492,"R",1877079,"R",1939989,"R",724269,"R",5774552, 1,"R",46960612,"R",48175439
101453,"R",11785015,"R",2885876,"R",0,"R",15389330,"R",2603312,"R",1160219,"R",3350164,"R",9435854,"R",6414005,"R",3021849,"R",12786018,"R",1014116,"R",2439196,"R",3466651,"R",103067,"R",0,"R",7023030,"R",4137154,"R",4093408,"R",2876264,"R",-45259,"R",1171885,"R",11614133,"R",0,"R",12786018,"R",97352,"R",9197,"Z",0,"Z",0,"R",295828,"Z",0,"R",402377,"Z",0,"Z",0,"Z",0,"R",505260,"R",505260,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2636169,"R",2059483,"R",62511,"R",514175,"R",2636169,"R",2059483,"R",62511,"R",514175,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",828340,"R",114015,"R",713341,"R",984,"Z",0,"Z",0,"R",74023,"R",74023,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",49616,"R",49616,"R",0,"R",0,"R",4093408,"R",2802397,"R",775852,"R",515159,"R",0,"R",262140,"R",-262140,"Z",0,"R",4093408,"R",3064537,"R",513712,"R",515159,"R",504251,"R",402607,"R",11336,"Z",0,"R",41638,"Z",0,"R",134617,"R",47294,"R",323128,"R",209940,"R",1344895,"R",674631,"R",109365,"R",14394,"R",295828,"Z",0,"Z",0,"Z",0,"Z",0,"R",111206,"R",0,"R",2876264,"R",1348866,"R",184423,"R",283888,"R",208079,"R",27798,"R",823210, 1,"R",9741072,"R",9551013
101541,"R",15722762,"R",12981182,"R",0,"R",33811732,"R",17183418,"R",15739900,"R",1966836,"R",14661478,"R",13309069,"R",1352409,"R",16628314,"R",3351970,"R",20503534,"R",5683979,"R",0,"R",235134,"R",29774617,"R",16793435,"R",12635566,"R",9523190,"R",-1896613,"R",1215763,"R",15412551,"R",0,"R",16628314,"R",816170,"R",83658,"R",230683,"R",0,"R",1395502,"R",1468667,"R",3994680,"R",2864169,"R",0,"R",2864169,"R",2517019,"R",2517019,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3502552,"R",1211822,"R",390386,"R",1900344,"R",3502552,"R",1211822,"R",390386,"R",1900344,"R",0,"R",0,"R",0,"R",0,"R",883298,"R",426670,"R",456628,"R",0,"R",1248122,"R",620366,"R",627756,"Z",0,"R",0,"R",0,"R",2335344,"R",2335344,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2149231,"R",1604316,"R",0,"R",544915,"R",12635566,"R",8715537,"R",1474770,"R",2445259,"R",0,"R",-1297834,"R",1297834,"R",0,"R",12635566,"R",7417703,"R",2772604,"R",2445259,"R",3591600,"R",1977576,"R",0,"R",0,"R",126392,"R",47127,"R",833305,"R",412260,"R",1408992,"R",706621,"R",1182185,"R",700587,"R",1711228,"R",86387,"R",0,"R",0,"R",0,"R",0,"R",0,"R",669488,"R",0,"R",9523190,"R",3930558,"R",696248,"R",902826,"R",669488,"R",795049,"R",2529021, 1,"R",14072037,"R",16146614
101675,"R",20938945,"R",49401650,"R",0,"R",94754600,"R",37518282,"R",35301295,"R",54096329,"R",3139989,"R",2182071,"R",957918,"R",57236318,"R",5810392,"R",69839443,"R",18196330,"R",3105934,"R",0,"R",96952099,"R",47550449,"R",33174313,"R",31452545,"R",0,"R",1721768,"R",56431463,"R",-916913,"R",57236318,"R",7946468,"R",4431132,"R",374637,"R",0,"R",636553,"R",3445507,"R",16834297,"R",4082060,"R",0,"R",4082060,"R",9682563,"R",9682563,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12789368,"R",12789368,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3043750,"R",3043750,"R",0,"R",0,"R",3043750,"R",3043750,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1424255,"R",1424255,"R",0,"R",0,"R",0,"R",0,"R",5732577,"R",5732577,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",501800,"R",501800,"R",0,"R",0,"R",33174313,"R",33174313,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",33174313,"R",33174313,"R",0,"R",0,"R",8033891,"R",4767590,"R",0,"R",0,"R",418674,"R",146444,"R",2292155,"R",1278535,"R",8243655,"R",3174368,"R",8635277,"R",2072669,"R",3828893,"R",129379,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",31452545,"R",11568985,"R",1744614,"R",7309434,"R",1778512,"R",1281082,"R",7769918, 1,"R",19334286,"R",20938945
101693,"R",21103222,"R",37234394,"R",0,"R",66682232,"R",34156396,"R",30675000,"R",7729095,"R",24796741,"R",19478450,"R",5318291,"R",32525836,"R",1103078,"R",55285854,"R",11055970,"R",0,"R",1050060,"R",68494962,"R",31260568,"R",29277726,"R",28492888,"R",817910,"R",1602748,"R",30923088,"R",0,"R",32525836,"R",2659560,"R",65271,"R",490369,"R",0,"R",2126268,"R",10952556,"R",16294024,"R",13144095,"R",0,"R",13144095,"R",14000343,"R",14000343,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",150233,"R",150233,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6215272,"R",1763633,"R",4109122,"R",342517,"R",4334194,"R",1763633,"R",2228044,"R",342517,"R",1881078,"R",0,"R",1881078,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2461791,"R",1101711,"R",1380175,"R",-20095,"R",0,"R",0,"R",6303393,"R",6303393,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",146694,"R",194292,"R",-47598,"R",0,"R",29277726,"R",23513605,"R",5441699,"R",322422,"R",0,"R",4923569,"R",-4923569,"Z",0,"R",29277726,"R",28437174,"R",518130,"R",322422,"R",9065421,"R",5187878,"R",0,"R",0,"R",0,"R",0,"R",781971,"R",264414,"R",2468870,"R",1103271,"R",7187214,"R",2243404,"R",8989412,"R",999985,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",28492888,"R",9798952,"R",3118948,"R",3390323,"R",2349563,"R",1819444,"R",8015658, 1,"R",20415369,"R",21912486
