unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,aline03,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"193308","15272000","0","15272000","","","","","","","","","","","","","0","10113000","10113000","","","","","","","","","","","","","","","","","","","230000","0","230000","","","","15502000","10113000","25615000","",10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31
"193326","21658757","","21658757","0","0","0","17907325","","17907325","13251769","","13251769","","7131931","7131931","","4801076","4801076","","212301","212301","","294655","294655","","33438","33438","0","0","0","","5161753","5161753","0","0","0","2911937","43780","2955717","0","0","0","55729788","17678934","73408722","",10,31,10,31,31,10,10,31,10,10,31,10,31,10,10,31,10,10,31,10,10,31,10,10,31,10,10,31,31,10,31,10,10,31,31,10,10,10,10,31,31,10,10,10,10,31
"193353","11018000","","11018000","","","","133000","","133000","","","","31000","1125000","1156000","","1144000","1144000","","","","149000","405000","554000","38000","","38000","","","","3481000","","3481000","","","","202000","","202000","641000","","641000","15693000","2674000","18367000","",16,31,16,31,31,31,16,31,16,31,31,31,16,16,16,31,16,16,31,31,31,16,16,16,16,31,16,31,31,31,16,31,16,31,31,31,16,31,16,16,31,16,16,16,16,31
"193399","9086000","0","9086000","","","","88000","0","88000","","","","0","797000","797000","0","157000","157000","0","4000","4000","1448000","84000","1532000","46000","33000","79000","","","","2320000","0","2320000","","","","253000","0","253000","","","","13241000","1075000","14316000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"193405","11789165","0","11789165","0","0","0","233406","0","233406","676664","0","676664","18130073","42405039","60535112","36403","1050329","1086732","1895089","51499305","53394394","4886000","47918000","52804000","5142000","3066000","8208000","0","0","0","2377962","0","2377962","0","0","0","20644000","103489000","124133000","0","0","0","65810762","249427673","315238435","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"193478","37422561","0","37422561","0","0","0","27499109","0","27499109","33260036","0","33260036","0","4868547","4868547","0","4097549","4097549","0","0","0","323077","0","323077","0","0","0","256185","0","256185","0","0","0","0","0","0","2662046","0","2662046","0","0","0","101423014","8966096","110389110","0",11,10,11,10,10,10,11,10,11,11,10,11,10,11,11,10,11,11,10,10,10,11,10,11,10,10,10,11,10,11,10,10,10,10,10,10,11,10,11,10,10,10,11,11,11,10
"193584","18387000","0","18387000","","","","330000","0","330000","","","","0","1091000","1091000","0","1934000","1934000","","","","412000","131000","543000","523000","202000","725000","379000","0","379000","3603000","0","3603000","","","","303000","11000","314000","","","","23937000","3369000","27306000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"193645","27380000","0","27380000","","","","363000","0","363000","","","","57000","7550000","7607000","6000","315000","321000","","","","1566000","347000","1913000","113000","83000","196000","","","","1546000","0","1546000","","","","75000","0","75000","","","","31106000","8295000","39401000","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"193654","65583000","0","65583000","","","","554000","0","554000","","","","7000","2815000","2822000","0","2407000","2407000","0","135000","135000","2558000","5147000","7705000","257000","831000","1088000","151000","0","151000","3007000","0","3007000","","","","2619000","468000","3087000","","","","74736000","11803000","86539000","",11,10,11,31,31,31,11,10,11,31,31,31,11,11,11,10,11,11,10,10,10,11,11,11,10,11,11,10,10,10,10,10,10,31,31,31,11,10,11,31,31,31,11,11,11,31
"193751","8046000","0","8046000","0","0","0","253000","0","253000","","","","0","101000","101000","","","","","","","49000","65000","114000","1255000","7000","1262000","300000","0","300000","1221000","0","1221000","","","","82000","0","82000","","","","11206000","173000","11379000","",10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
