UNITID,CONTRACT,ARANK,XEMPCNTM,EMPCNTM,XOUTLAYM,OUTLAYM,XAVESALM,AVESALM,XEMPCNTW,EMPCNTW,XOUTLAYW,OUTLAYW,XAVESALW,AVESALW,XEMPCNTT,EMPCNTT,XOUTLAYT,OUTLAYT,XAVESALT,AVESALT 
100654,1,1,"R",26,"R",2102626,"R",80870,"R",11,"R",867969,"R",78906,"R",37,"R",2970595,"R",80286
100654,1,2,"R",47,"R",2892876,"R",61551,"R",18,"R",1034755,"R",57486,"R",65,"R",3927631,"R",60425
100654,1,3,"R",75,"R",3809354,"R",50791,"R",47,"R",2312818,"R",49209,"R",122,"R",6122172,"R",50182
100654,1,4,"R",17,"R",676537,"R",39796,"R",32,"R",1150549,"R",35955,"R",49,"R",1827086,"R",37287
100654,1,7,"R",165,"R",9481393,"R",57463,"R",108,"R",5366091,"R",49686,"R",273,"R",14847484,"R",54386
100654,2,1,"R",18,"R",1776710,"R",98706,"R",3,"R",310855,"R",103618,"R",21,"R",2087565,"R",99408
100654,2,2,"R",5,"R",412010,"R",82402,"R",2,"R",150599,"R",75300,"R",7,"R",562609,"R",80373
100654,2,3,"R",6,"R",417381,"R",69564,"R",3,"R",205708,"R",68569,"R",9,"R",623089,"R",69232
100654,2,4,"Z",0,"Z",0,"A",,"R",1,"R",64415,"R",64415,"R",1,"R",64415,"R",64415
100654,2,7,"R",29,"R",2606101,"R",89866,"R",9,"R",731577,"R",81286,"R",38,"R",3337678,"R",87834
100654,4,1,"R",44,"R",3556330,"R",80826,"R",14,"R",1122311,"R",80165,"R",58,"R",4678641,"R",80666
100654,4,2,"R",52,"R",3229983,"R",62115,"R",20,"R",1157975,"R",57899,"R",72,"R",4387958,"R",60944
100654,4,3,"R",81,"R",4150855,"R",51245,"R",50,"R",2481128,"R",49623,"R",131,"R",6631983,"R",50626
100654,4,4,"R",17,"R",676537,"R",39796,"R",33,"R",1203253,"R",36462,"R",50,"R",1879790,"R",37596
100654,4,7,"R",194,"R",11613705,"R",59864,"R",117,"R",5964667,"R",50980,"R",311,"R",17578372,"R",56522
100663,1,1,"R",77,"R",7455580,"R",96826,"R",18,"R",1613408,"R",89634,"R",95,"R",9068988,"R",95463
100663,1,2,"R",87,"R",6402471,"R",73592,"R",44,"R",2953344,"R",67121,"R",131,"R",9355815,"R",71418
100663,1,3,"R",63,"R",3870222,"R",61432,"R",53,"R",2919119,"R",55078,"R",116,"R",6789341,"R",58529
100663,1,4,"R",19,"R",737226,"R",38801,"R",18,"R",722297,"R",40128,"R",37,"R",1459523,"R",39447
100663,1,5,"Z",0,"Z",0,"A",,"R",1,"R",36000,"R",36000,"R",1,"R",36000,"R",36000
100663,1,7,"R",246,"R",18465499,"R",75063,"R",134,"R",8244168,"R",61524,"R",380,"R",26709667,"R",70289
100663,2,1,"R",104,"R",16786139,"R",161405,"R",36,"R",5201636,"R",144490,"R",140,"R",21987775,"R",157056
100663,2,2,"R",68,"R",7666117,"R",112737,"R",51,"R",5329972,"R",104509,"R",119,"R",12996089,"R",109211
100663,2,3,"R",59,"R",5146836,"R",87235,"R",97,"R",7985197,"R",82322,"R",156,"R",13132033,"R",84180
100663,2,4,"R",20,"R",1160839,"R",58042,"R",37,"R",2619906,"R",70808,"R",57,"R",3780745,"R",66329
100663,2,7,"R",251,"R",30759931,"R",122550,"R",221,"R",21136711,"R",95641,"R",472,"R",51896642,"R",109951
100663,4,1,"R",181,"R",21189999,"R",117072,"R",54,"R",5869387,"R",108692,"R",235,"R",27059386,"R",115146
100663,4,2,"R",155,"R",12674888,"R",81773,"R",95,"R",7314327,"R",76993,"R",250,"R",19989215,"R",79957
100663,4,3,"R",122,"R",8081363,"R",66241,"R",150,"R",9452607,"R",63017,"R",272,"R",17533970,"R",64463
100663,4,4,"R",39,"R",1687024,"R",43257,"R",55,"R",2865904,"R",52107,"R",94,"R",4552928,"R",48435
100663,4,5,"Z",0,"Z",0,"A",,"R",1,"R",36000,"R",36000,"R",1,"R",36000,"R",36000
100663,4,7,"R",497,"R",43633274,"R",87793,"R",355,"R",25538225,"R",71939,"R",852,"R",69171499,"R",81187
100690,2,4,"R",38,"R",1406000,"R",37000,"R",12,"R",444000,"R",37000,"R",50,"R",1850000,"R",37000
100690,2,7,"R",38,"R",1406000,"R",37000,"R",12,"R",444000,"R",37000,"R",50,"R",1850000,"R",37000
100690,4,4,"R",38,"R",1150389,"R",30273,"R",12,"R",363281,"R",30273,"R",50,"R",1513670,"R",30273
100690,4,7,"R",38,"R",1150389,"R",30273,"R",12,"R",363281,"R",30273,"R",50,"R",1513670,"R",30273
100706,1,1,"R",51,"R",5135981,"R",100706,"R",4,"R",411206,"R",102802,"R",55,"R",5547187,"R",100858
100706,1,2,"R",56,"R",4468087,"R",79787,"R",23,"R",1662798,"R",72296,"R",79,"R",6130885,"R",77606
100706,1,3,"R",41,"R",2659115,"R",64856,"R",39,"R",2339636,"R",59991,"R",80,"R",4998751,"R",62484
100706,1,4,"Z",0,"Z",0,"A",,"R",4,"R",196600,"R",49150,"R",4,"R",196600,"R",49150
100706,1,5,"R",7,"R",332805,"R",47544,"R",19,"R",743334,"R",39123,"R",26,"R",1076139,"R",41390
100706,1,7,"R",155,"R",12595988,"R",81264,"R",89,"R",5353574,"R",60153,"R",244,"R",17949562,"R",73564
100706,2,1,"R",16,"R",2089081,"R",130568,"R",3,"R",373506,"R",124502,"R",19,"R",2462587,"R",129610
100706,2,2,"R",3,"R",262810,"R",87603,"R",5,"R",412628,"R",82526,"R",8,"R",675438,"R",84430
100706,2,3,"R",1,"R",58836,"R",58836,"R",1,"R",71301,"R",71301,"R",2,"R",130137,"R",65069
100706,2,5,"R",6,"R",409773,"R",68296,"R",10,"R",422804,"R",42280,"R",16,"R",832577,"R",52036
100706,2,7,"R",26,"R",2820500,"R",108481,"R",19,"R",1280239,"R",67381,"R",45,"R",4100739,"R",91128
100706,4,1,"R",67,"R",6845267,"R",102168,"R",7,"R",716809,"R",102401,"R",74,"R",7562076,"R",102190
100706,4,2,"R",59,"R",4683118,"R",79375,"R",28,"R",2000410,"R",71443,"R",87,"R",6683528,"R",76822
100706,4,3,"R",42,"R",2707255,"R",64458,"R",40,"R",2397974,"R",59949,"R",82,"R",5105229,"R",62259
100706,4,4,"Z",0,"Z",0,"A",,"R",4,"R",196600,"R",49150,"R",4,"R",196600,"R",49150
100706,4,5,"R",13,"R",668081,"R",51391,"R",29,"R",1089272,"R",37561,"R",42,"R",1757353,"R",41842
100706,4,7,"R",181,"R",14903721,"R",82341,"R",108,"R",6401065,"R",59269,"R",289,"R",21304786,"R",73719
100724,1,1,"R",34,"R",2881285,"R",84744,"R",19,"R",1562999,"R",82263,"R",53,"R",4444284,"R",83854
100724,1,2,"R",26,"R",1713173,"R",65891,"R",33,"R",2113557,"R",64047,"R",59,"R",3826730,"R",64860
100724,1,3,"R",28,"R",1548902,"R",55318,"R",36,"R",1940716,"R",53909,"R",64,"R",3489618,"R",54525
100724,1,4,"R",15,"R",677809,"R",45187,"R",42,"R",1811940,"R",43141,"R",57,"R",2489749,"R",43680
100724,1,7,"R",103,"R",6821169,"R",66225,"R",130,"R",7429212,"R",57148,"R",233,"R",14250381,"R",61160
100724,2,1,"R",1,"R",114645,"R",114645,"Z",0,"Z",0,"A",,"R",1,"R",114645,"R",114645
100724,2,2,"R",1,"R",66468,"R",66468,"R",1,"R",90512,"R",90512,"R",2,"R",156980,"R",78490
100724,2,3,"R",1,"R",53366,"R",53366,"R",1,"R",51284,"R",51284,"R",2,"R",104650,"R",52325
100724,2,4,"R",1,"R",48851,"R",48851,"Z",0,"Z",0,"A",,"R",1,"R",48851,"R",48851
