unitid,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,part,aline03,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"170055","14835824","0","14835824","0","0","0","14936000","175195","15111195","14648785","0","14648785","0","5995194","5995194","19364","2058943","2078307","758310","21645","779955","0","11587","11587","0","0","0","110965","0","110965","6313331","0","6313331","0","0","0","3196781","89712","3286493","0","0","0","54819360","8352276","63171636","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"170082","34845511","0","34845511","0","0","0","29292754","0","29292754","0","0","0","0","6679586","6679586","0","701750","701750","0","78500","78500","2160334","3188767","5349101","108182","213275","321457","797359","0","797359","11434483","0","11434483","0","0","0","3987603","0","3987603","0","0","0","82626226","10861878","93488104","A","0",10,31,10,31,31,31,10,31,10,31,31,31,31,11,11,31,10,10,31,10,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,31,11,31,31,31,10,10,10,31
"170091","824784","0","824784","0","0","0","0","0","0","0","0","0","0","262941","262941","917","206262","207179","0","0","0","831848","48530","880378","0","0","0","0","0","0","357757","0","357757","0","0","0","97081","2768","99849","0","0","0","2112387","520501","2632888","A","0",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,16,10,11,31,31,31,10,10,10,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"170240","17909755","0","17909755","0","0","0","16602200","0","16602200","8474821","0","8474821","0","4536246","4536246","36000","1543395","1579395","0","0","0","0","0","0","0","0","0","0","0","0","3596305","0","3596305","0","0","0","896729","0","896729","0","0","0","47515810","6079641","53595451","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"170277","2987262","0","2987262","0","0","0","5789900","0","5789900","292198","0","292198","16610","3175053","3191663","0","523072","523072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63341","0","63341","0","0","0","9149311","3698125","12847436","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"170286","16164183","0","16164183","0","0","0","0","0","0","0","0","0","0","1151487","1151487","69227","0","69227","0","0","0","1577758","716114","2293872","749031","2495556","3244587","0","665349","665349","4061293","0","4061293","0","0","0","539518","8802","548320","0","0","0","23161010","5037308","28198318","A","0",21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"170301","28738942","0","28738942","0","0","0","0","0","0","0","0","0","0","2203632","2203632","184954","2284916","2469870","0","0","0","2682652","787364","3470016","379474","2553755","2933229","0","0","0","10485360","0","10485360","0","0","0","2327639","25858","2353497","0","0","0","44799021","7855525","52654546","A","0",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,16,10,11,31,31,31,10,10,10,10,10,10,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"170444","6879325","0","6879325","0","0","0","10117600","0","10117600","2482446","0","2482446","0","2676667","2676667","71723","537593","609316","0","0","0","13008","215573","228581","2087","1534","3621","194826","0","194826","435663","0","435663","0","0","0","987964","576423","1564387","0","0","0","21184642","4007790","25192432","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"170471","10093982","0","10093982","0","0","0","0","0","0","0","0","0","0","4439912","4439912","0","3438399","3438399","0","0","0","931446","87899","1019345","0","0","0","0","0","0","309672","0","309672","0","0","0","50380","0","50380","0","0","0","11385480","7966210","19351690","A","",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"170532","17705013","0","17705013","0","0","0","0","0","0","0","0","0","0","1261251","1261251","75826","0","75826","0","0","0","1577758","716114","2293872","749031","2495556","3244587","0","665349","665349","4448431","0","4448431","0","0","0","539518","8802","548320","0","0","0","25095577","5147072","30242649","A","0",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,31
"170541","7333315","0","7333315","0","0","0","7249000","0","7249000","7636797","0","7636797","23577","2923704","2947281","0","1052858","1052858","0","0","0","48370","1109474","1157844","0","0","0","0","0","0","2097226","0","2097226","0","0","0","857671","83361","941032","0","0","0","25245956","5169397","30415353","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"170550","4666103","24865","4690968","0","0","0","6521700","0","6521700","5511406","0","5511406","0","2495692","2495692","361203","837683","1198886","0","0","0","0","732281","732281","60333","0","60333","0","0","0","1239589","0","1239589","0","0","0","280520","0","280520","0","0","0","18640854","4090521","22731375","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,31,10,10,10,10,11,11,10,10
"170569","4341955","0","4341955","0","0","0","0","0","0","0","0","0","12083","508398","520481","45904","595915","641819","0","0","0","98526","32650","131176","100000","0","100000","0","0","0","8645","0","8645","0","0","0","137173","13634","150807","0","0","0","4744286","1150597","5894883","A","0",10,31,10,31,31,31,31,31,31,31,31,31,16,16,16,16,16,16,31,31,31,10,11,11,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"170587","1499891","0","1499891","0","0","0","2610500","0","2610500","3277047","0","3277047","0","1319399","1319399","0","480892","480892","53843","9753","63596","0","86747","86747","0","0","0","0","0","0","727702","0","727702","0","0","0","348066","8456","356522","0","0","0","8517049","1905247","10422296","A","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
