unitid,part,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,aline03,filler,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"106397","A","39995411","0","39995411","0","11737472","11737472","111556554","0","111556554","0","0","0","2268532","24174467","26442999","521507","7815354","8336861","0","0","0","5082774","10905202","15987976","92082","218457","310539","6396949","0","6396949","36844860","0","36844860","0","0","0","4508653","0","4508653","0","0","0","207267322","54850952","262118274","0","",10,31,10,31,10,10,10,31,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"106412","A","6565721","0","6565721","0","4742","4742","14977330","0","14977330","0","0","0","14011","11906731","11920742","0","1326419","1326419","0","0","0","21952","757177","779129","8780","0","8780","106104","0","106104","3021938","664","3022602","0","0","0","568577","0","568577","0","0","0","25284413","13995733","39280146","0","",10,31,10,31,10,10,10,31,10,31,31,31,10,10,10,31,10,10,31,31,31,10,10,10,10,31,10,10,31,10,10,10,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"106449","A","2911431","0","2911431","0","0","0","6103239","739","6103978","0","0","0","0","508698","508698","0","211844","211844","0","0","0","483509","67402","550911","0","0","0","49979","1550","51529","899074","0","899074","0","0","0","173941","108","174049","0","0","0","10621173","790341","11411514","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,31,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"106458","A","17574839","0","17574839","0","0","0","36509065","0","36509065","0","0","0","169847","8487875","8657722","553035","4280414","4833449","0","0","0","101433","867026","968459","85822","223969","309791","636112","0","636112","12523650","0","12523650","0","0","0","393499","170261","563760","0","0","0","68547302","14029545","82576847","0","",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"106467","A","8715669","0","8715669","0","0","0","15108475","0","15108475","0","0","0","0","3375072","3375072","0","1144455","1144455","0","0","0","131758","413295","545053","0","0","0","332134","0","332134","4915636","0","4915636","0","0","0","887439","65596","953035","0","0","0","30091111","4998418","35089529","0","",10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"106485","A","4249740","0","4249740","0","0","0","8520113","0","8520113","0","0","0","0","2873050","2873050","0","562725","562725","0","0","0","0","228320","228320","0","0","0","132125","0","132125","2605089","0","2605089","0","0","0","285885","0","285885","0","0","0","15792952","3664095","19457047","0","",10,31,10,31,31,31,10,31,10,31,31,31,31,10,10,31,10,10,31,31,31,31,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"106704","A","17865606","0","17865606","0","0","0","28893561","0","28893561","0","0","0","347118","14927038","15274156","0","1840810","1840810","0","0","0","0","799415","799415","0","0","0","921396","0","921396","10570579","0","10570579","0","0","0","598058","0","598058","0","0","0","59196318","17567263","76763581","0","",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31,10,10,31,31,31,31,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"106713","A","535137","0","535137","0","0","0","0","0","0","0","0","0","0","237518","237518","0","20908","20908","0","0","0","856655","132115","988770","0","0","0","0","0","0","480895","0","480895","0","0","0","10629","0","10629","0","0","0","1883316","390541","2273857","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,10,10,31,31,31,10,10,10,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"106810","A","483718","0","483718","0","0","0","0","0","0","0","0","0","0","56005","56005","0","13989","13989","0","0","0","843557","0","843557","194963","0","194963","0","0","0","822758","0","822758","0","0","0","477682","0","477682","0","0","0","2822678","69994","2892672","0","",17,17,10,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,31,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,
"106883","A","861253","0","861253","0","0","0","3364967","0","3364967","0","0","0","0","2003602","2003602","20874","46792","67666","0","0","0","0","437","437","0","0","0","0","0","0","310220","0","310220","0","0","0","88556","199","88755","0","0","0","4645870","2051030","6696900","0","",10,31,10,31,31,31,10,31,10,31,31,31,31,10,10,10,10,10,31,31,31,31,10,10,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"106980","A","1382292","0","1382292","0","0","0","3999665","0","3999665","0","0","0","0","1414083","1414083","0","205906","205906","0","0","0","30488","708","31196","0","0","0","0","0","0","464611","0","464611","0","0","0","62904","0","62904","0","0","0","5939960","1620697","7560657","0","",10,31,18,31,31,31,10,31,18,31,31,31,31,10,18,31,10,18,31,31,31,10,10,18,31,31,31,31,31,31,10,31,18,31,31,31,10,31,18,31,31,31,18,18,18,31
"107044","A","25397774","0","25397774","0","0","0","0","0","0","0","0","0","462385","2652293","3114678","751848","0","751848","0","0","0","2398144","1548168","3946312","1392781","53202","1445983","668431","0","668431","13600124","0","13600124","0","0","0","971439","51540","1022979","0","0","0","45642926","4305203","49948129","0","",10,31,10,31,31,31,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"107071","A","7135724","0","7135724","0","0","0","12659463","0","12659463","0","0","0","222827","2932662","3155489","0","1117562","1117562","1650","0","1650","111583","99212","210795","0","0","0","225600","0","225600","4775898","0","4775898","0","0","0","82667","61944","144611","0","0","0","25215412","4211380","29426792","0","",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31,10,10,10,31,10,10,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"107080","A","8079991","0","8079991","0","0","0","0","0","0","0","0","0","8659","798530","807189","0","710324","710324","0","0","0","1297392","458915","1756307","2159505","1274804","3434309","0","0","0","3554341","0","3554341","0","0","0","293085","0","293085","0","0","0","15392973","3242573","18635546","0","",10,31,10,31,31,31,31,31,31,31,31,31,10,10,10,31,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"107141","A","8059469","23247","8082716","0","0","0","0","0","0","0","0","0","24589","778320","802909","0","299235","299235","0","0","0","602402","1452578","2054980","2306110","257494","2563604","323966","0","323966","3281066","0","3281066","0","0","0","439955","8976","448931","0","0","0","15037557","2819850","17857407","0","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,31,10,10,31,31,31,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"107318","A","355932","0","355932","0","0","0","1738363","86060","1824423","182708","0","182708","0","820917","820917","0","5253","5253","0","3700","3700","0","8611","8611","0","0","0","0","0","0","4605","0","4605","0","0","0","26437","935","27372","0","0","0","2308045","925476","3233521","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31
"107327","A","1241988","0","1241988","0","0","0","3454733","311044","3765777","0","0","0","0","1779211","1779211","0","227475","227475","0","0","0","0","0","0","0","0","0","0","0","0","103771","0","103771","0","0","0","99113","0","99113","0","0","0","4899605","2317730","7217335","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"107460","A","1412003","4190","1416193","0","0","0","4810678","0","4810678","0","0","0","57206","1859705","1916911","0","1220668","1220668","0","0","0","140000","138027","278027","0","3903","3903","0","0","0","510013","0","510013","0","0","0","254619","1011","255630","0","0","0","7184519","3227504","10412023","0","",10,10,10,31,31,31,10,31,10,31,31,31,10,10,10,31,10,10,31,31,31,10,10,10,31,10,10,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"107512","A","8999436","0","8999436","0","0","0","0","0","0","0","0","0","67494","1267049","1334543","0","51917","51917","0","0","0","3095228","0","3095228","773033","0","773033","0","0","0","3222466","0","3222466","0","0","0","603878","0","603878","0","0","0","16761535","1318966","18080501","0","",10,31,10,31,31,31,31,31,31,31,31,31,10,10,10,31,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"107521","A","343404","0","343404","0","0","0","1638535","0","1638535","766854","0","766854","0","340645","340645","0","0","0","0","0","0","0","0","0","0","0","0","5005","0","5005","112509","0","112509","0","0","0","55538","0","55538","0","0","0","2921845","340645","3262490","0","",17,17,10,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,
"147396","A","1040481","0","1040481","0","0","0","0","0","0","0","0","0","0","113251","113251","29906","0","29906","0","0","0","6655","0","6655","0","0","0","0","0","0","180917","0","180917","0","0","0","67282","0","67282","0","0","0","1325241","113251","1438492","0","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"147411","A","2188098","48280","2236378","0","0","0","711798","0","711798","4007733","1605338","5613071","0","615857","615857","1688675","915254","2603929","0","0","0","0","0","0","0","0","0","0","0","0","757750","0","757750","0","0","0","473497","796021","1269518","0","0","0","9827551","3980750","13808301","0","",10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"147518","A","448607","0","448607","0","0","0","0","0","0","0","0","0","84287","421221","505508","0","103340","103340","0","829","829","223801","181328","405129","0","0","0","0","0","0","90652","0","90652","0","0","0","35066","0","35066","0","0","0","882413","706718","1589131","0","",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"147536","A","55745556","0","55745556","0","0","0","0","0","0","0","0","0","681360","3280706","3962066","558733","4692564","5251297","215431","0","215431","2283777","0","2283777","1080343","0","1080343","2740445","0","2740445","830564","0","830564","0","0","0","428977","0","428977","0","0","0","64565186","7973270","72538456","0","",10,10,10,31,31,31,31,10,31,31,31,31,10,10,10,11,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,18,10,18,31
"147590","A","10189303","107019","10296322","0","0","0","0","0","0","0","0","0","0","483398","483398","1356889","35600","1392489","0","0","0","461254","468098","929352","0","0","0","0","0","0","2884048","0","2884048","0","0","0","329858","4461","334319","0","0","0","15221352","1098576","16319928","0","",10,10,10,31,31,31,31,10,31,31,31,31,10,10,10,11,10,11,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"147660","A","20903046","0","20903046","0","0","0","0","0","0","0","0","0","0","577685","577685","367787","1866155","2233942","0","0","0","1098149","531747","1629896","605569","563058","1168627","0","0","0","3698254","0","3698254","0","0","0","396369","148291","544660","0","0","0","27069174","3686936","30756110","0","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"147679","A","16289988","0","16289988","0","0","0","0","0","0","0","0","0","0","1016727","1016727","0","1285096","1285096","0","0","0","2894146","509837","3403983","40752","679248","720000","0","0","0","3118335","0","3118335","0","0","0","249881","0","249881","0","0","0","22593102","3490908","26084010","0","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"147697","A","818497","0","818497","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","654936","156310","811246","209387","83482","292869","0","0","0","623494","0","623494","0","0","0","18731","0","18731","0","0","0","2325045","239792","2564837","0","",10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
