unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b235,b245,b255,b265,b275,bline05,bline14,bline15,bline17,bline20,bline21,bline18,part
"199315","367295","8204","375499","328439","0","0","0","0","0","0","0","0","93070","1215","94285","88364","216641","1409","218050","210133","479724","33600","513324","252293","194572","7450","202022","94105","186224","235392","421616","158087","0","158087","270239","9488","279727","1965852","296758","2262610","540602","3637","544239","","","","","","","2506454","300395","2806849","973334","155056","0","0","1128390","42518","0","0","","","","","B"
"199324","1908932","159851","2068783","1635655","","","","","1052034","686578","1738612","1063837","581702","0","581702","441926","238868","0","238868","161509","300154","0","300154","156391","578565","0","578565","210617","0","167864","167864","","","","","","","4660255","1014293","5674548","395630","0","395630","","","","","","","5055885","1014293","6070178","3669935","920616","","","4590551","123570","","","","","","","B"
"199333","6329861","269864","6599725","5183595","","","","","","","","","1162123","35176","1197299","852657","811057","215351","1026408","704627","1377884","144305","1522189","459097","540703","0","540703","326442","3669","718879","722548","0","0","0","11869","42994","54863","10237166","1426569","11663735","959206","0","959206","","","","","","","11196372","1426569","12622941","7526418","1559548","","","9085966","532551","25000","0","","","","","B"
"199412","4032643","0","4032643","2938207","0","0","0","0","0","0","0","0","628537","0","628537","292129","1486744","260312","1747056","853256","1638073","0","1638073","910161","1309617","0","1309617","479714","2436834","544598","2981432","18888","0","18888","0","0","0","11551336","804910","12356246","1561037","0","1561037","0","0","0","0","0","0","13112373","804910","13917283","5473467","1068575","0","0","6542042","267598","0","0","0","0","0","0","B"
"199421","3074999","193014","3268013","2516490","","","","","31844","0","31844","23560","842830","11436","854266","638379","384991","9680","394671","284056","973337","45977","1019314","522941","605847","0","605847","228244","3585","204913","208498","7136","2030","9166","19004","0","19004","5943573","467050","6410623","617479","0","617479","","","","","","","6561052","467050","7028102","4213670","819056","","","5032726","213076","7136","","","","","","B"
"199449","2594024","390","2594414","1966180","","","","","30974","0","30974","22970","582538","14885","597423","441895","418012","135271","553283","407875","856254","131250","987504","689620","476504","0","476504","152967","0","319967","319967","","","","","","","4958306","601763","5560069","245673","0","245673","","","","","","","5203979","601763","5805742","3681507","","","831625","4513132","291575","","","","","","","B"
"199458","297469","0","297469","228072","0","0","0","0","7449","0","7449","0","102185","0","102185","56267","121456","795","122251","77794","314148","0","314148","160102","198523","0","198523","78039","33539","74742","108281","0","0","0","0","15677","15677","1074769","91214","1165983","117532","0","117532","0","0","0","0","0","0","1192301","91214","1283515","600274","97935","0","0","698209","83291","","","0","0","0","0","B"
"199467","1780260","13558","1793818","1396685","","","","","58836","0","58836","29148","447487","120515","568002","404648","293476","157007","450483","307478","706026","268278","974304","616466","364961","0","364961","127373","0","452623","452623","","","","","","","3651046","1011981","4663027","233370","0","233370","","","","","","","3884416","1011981","4896397","2881798","593818","","","3475616","97240","","","","","","","B"
"199476","3529177","54885","3584062","2707457","","","","","32060","0","32060","23950","996023","192620","1188643","859729","470352","0","470352","366180","800472","60812","861284","523770","763413","0","763413","340016","13873","310199","324072","","","","","","","6605370","618516","7223886","68031","0","68031","","","","","","","6673401","618516","7291917","4821102","1074844","","","5895946","215008","","","","","","","B"
"199485","3458721","117002","3575723","2588529","","","","","32250","0","32250","24490","925789","88618","1014407","569381","538830","0","538830","383423","1086578","88157","1174735","587676","721378","0","721378","250501","71527","415394","486921","7832","0","7832","79835","661","80496","6922740","709832","7632572","504481","0","504481","","","","","","","7427221","709832","8137053","4404000","965350","","","5369350","216430","502","7055","","","","","B"
