unitid,b011,b012,b013,b014,b021,b022,b023,b024,b031,b032,b033,b034,b041,b042,b043,b044,b061,b062,b063,b064,b071,b072,b073,b074,b081,b082,b083,b084,b091,b092,b093,b101,b102,b103,b111,b112,b113,b121,b122,b123,b131,b132,b133,b161,b162,b163,b191,b192,b193,b221,b222,b223,b235,b245,b255,b265,b275,bline05,bline14,bline15,bline17,bline20,bline21,bline18,part
"100654","11780498","200927","11981425","10580848","274401","4551426","4825827","1646025","518818","5478089","5996907","2718491","2507522","311213","2818735","1658637","3661371","","3661371","1934374","7999682","2354726","10354408","3879150","2831908","","2831908","1198659","1173052","4183104","5356156","","","","","","","30747252","17079485","47826737","5294270","","5294270","","","","","","","36041522","17079485","53121007","23616184","3409139","","924798","27950121","1221816","507654","","","","","","B"
"100663","104636157","8341840","112977997","76163883","8399167","80151395","88550562","45454793","10760000","18007865","28767865","14906605","23317195","748041","24065236","14421819","8064621","205561","8270182","4178775","22713900","42422","22756322","15622626","23574056","7564","23581620","8244940","1901450","8286948","10188398","7754371","","7754371","7521640","743283","8264923","218642557","116534919","335177476","12794011","","12794011","364405436","","364405436","","","","595842004","116534919","712376923","178993441","28939535","","10320134","218253110","4971586","1404141","-757358","1513107","","","28989486","B"
"100672","1853847","248045","2101892","1333212","0","0","0","0","0","0","0","0","156521","37386","193907","108291","228801","228854","457655","302197","526596","0","526596","277842","366979","16402","383381","104221","41326","220287","261613","18548","0","18548","98916","0","98916","3291534","750974","4042508","149992","0","149992","","","","","","","3441526","750974","4192500","2125763","73404","","300886","2500053","104908","","","","","","","B"
"100690","329282","0","329282","242989","","","","","","","","","307692","0","307692","191549","32470","0","32470","22542","114745","0","114745","39197","44280","0","44280","0","85058","44328","129386","95662","0","95662","-22605","2854","-19751","986584","47182","1033766","2475","0","2475","","","","","","","989059","47182","1036241","496277","107205","0","0","603482","37185","0","0","","","","","B"
"100706","24409271","1047139","25456410","16513490","5038279","18465672","23503951","12876743","283235","173593","456828","266774","5478124","16972","5495096","3094106","3230409","41410","3271819","1599033","5921525","15494","5937019","4344581","3524243","0","3524243","1375584","1418465","1794506","3212971","2135097","0","2135097","803357","442709","1246066","52242005","21997495","74239500","3127451","0","3127451","","","","","","","55369456","21997495","77366951","40070311","5817039","","2003051","47890401","1743382","419265","175929","","","","","B"
"100724","9528554","1275911","10804465","8947111","34539","461668","496207","140183","726934","484755","1211689","378371","1704131","454104","2158235","1225374","3151428","607898","3759326","1680996","4957216","470762","5427978","1832383","3233291","26283","3259574","1941423","886781","4713078","5599859","737748","0","737748","7198784","0","7198784","32159406","8494459","40653865","5456529","248231","5704760","","","","","","","37615935","8742690","46358625","16145841","2298279","0","0","18444120","765863","742109","0","","","","","B"
"100751","60661289","4094678","64755967","43336740","18926559","6979123","25905682","17685017","7957027","7869207","15826234","8114373","26929251","962638","27891889","14804791","4670052","292992","4963044","2778814","15305731","192742","15498473","10925902","13682489","150144","13832633","8247202","6442688","7665352","14108040","4882016","","4882016","-197720","","-197720","159259382","28206876","187466258","50044206","183314","50227520","","","","","","","209303588","28390190","237693778","105892839","25615202","","","131508041","8546394","3684278","8489390","","","","","B"
"100760","3317136","885746","4202882","3108258","63790","","63790","","65","112116","112181","70125","482745","50616","533361","385711","632808","37934","670742","444073","713181","3399","716580","490019","615556","11847","627403","229360","455898","822905","1278803","25935","","25935","31035","","31035","6338149","1924563","8262712","440543","","440543","","","","","","","6778692","1924563","8703255","4727546","105284","","763913","5596743","220134","","4000","","","","","B"
"100779","137269","","137269","92382","0","","0","0","41651","","41651","15702","5755","","5755","2901","0","","0","0","190787","","190787","86236","10627","","10627","4038","28603","","28603","0","","0","0","","0","414692","","414692","0","","0","0","","0","0","","0","414692","","414692","201259","48228","321","588","250396","","","","","","","","B"
"100812","4344590","142958","4487548","3619796","","","","","","1468","1468","","639631","15448","655079","439920","982572","21969","1004541","776699","974432","180418","1154850","706285","958615","","958615","498512","152058","729926","881984","106924","","106924","330000","","330000","8488822","1092187","9581009","675623","","675623","","","","","","","9164445","1092187","10256632","6041212","269834","","771674","7082720","282967","","","","","","","B"
"100821","1385328","153925","1539253","1145204","1095","771","1866","1215","15151","22352","37503","17326","116581","14409","130990","82131","121307","30138","151445","99651","221649","22189","243838","114360","159606","6824","166430","64908","17425","306508","323933","8100","1374","9474","14522","1776","16298","2060764","560266","2621030","103396","12259","115655","0","0","0","1605","1144","2749","2165765","573669","2739434","1524795","296498","11484","23909","1856686","39901","","","","","","","B"
"100830","13479582","47704","13527286","9081381","451997","61524","513521","335595","808444","4666697","5475141","1828950","2998006","60336","3058342","1833072","1855269","34457","1889726","1101040","3741772","127371","3869143","1893513","2533738","","2533738","777778","292761","2054014","2346775","44869","","44869","-159210","-146837","-306047","26047228","6905266","32952494","3863966","","3863966","","","","","","","29911194","6905266","36816460","16851329","3238443","","","20089772","1401253","145750","","","","","","B"
"100858","80054591","3119528","83174119","63125577","30832304","25869921","56702225","30020498","26378355","16584322","42962677","24918695","20811280","1617041","22428321","11731239","7155081","111533","7266614","4204613","16186939","131644","16318583","12016633","18693088","909983","19603071","8868080","308359","9503585","9811944","6530200","","6530200","4779669","553850","5333519","211729866","58401407","270131273","36120809","","36120809","","","","","","","247850675","58401407","306252082","154885335","21470012","9509906","","185865253","8263099","6879238","","","","","","B"
"100919","4197656","191328","4388984","3087693","266224","","266224","177024","","","","","216405","35563","251968","158570","538129","194688","732817","511082","979817","","979817","560831","645071","11735","656806","235500","59122","767743","826865","35113","","35113","6268","","6268","6943805","1201057","8144862","","","","","","","","","","6943805","1201057","8144862","4730700","760594","106379","","5597673","8921","","","","","","","B"
"100937","5662379","404931","6067310","4599372","0","0","0","0","0","0","0","0","1196697","25170","1221867","421589","1640243","198316","1838559","888019","3059421","147922","3207343","1310080","1730306","0","1730306","360278","2855060","3503118","6358178","17921","0","17921","0","0","0","16162027","4279457","20441484","3438596","0","3438596","0","0","0","0","0","0","19600623","4279457","23880080","7579338","1718673","0","0","9298011","631854","166234","0","0","0","0","0","B"
"100964","1003968","164808","1168776","854900","","","","","","","","","218550","13147","231697","176688","184996","492896","677892","494096","346617","52716","399333","309144","311626","220","311846","81968","212337","347367","559704","8223","","8223","-141697","","-141697","2144620","1071154","3215774","209207","","209207","","","","","","","2353827","1071154","3424981","1916796","83613","1923","230649","2232981","105670","","6697","","","","","B"
"100973","795908","43407","839315","673022","","","","","","","","","70140","249392","319532","226355","160215","190283","350498","257481","178139","37749","215888","123090","145799","","145799","49897","6356","240557","246913","6076","","6076","","","","1362633","761388","2124021","14517","","14517","","","","","","","1377150","761388","2138538","1329845","262522","","","1592367","","","","","","","","B"
"100991","1216518","124124","1340642","902266","","","","","","","","","198300","11051","209351","97392","281785","173670","455455","322199","402813","624181","1026994","470378","120684","","120684","57639","28279","847527","875806","24060","","24060","","","","2272439","1780553","4052992","45276","","45276","","","","","","","2317715","1780553","4098268","1849874","348104","","","2197978","10396","","","","","","","B"
"101028","1877305","37551","1914856","1509642","","","","","","","","","304391","8362","312753","205019","403861","86221","490082","312125","555279","","555279","394327","393511","","393511","117910","176469","513681","690150","69346","","69346","43552","","43552","3823714","645815","4469529","80401","","80401","","","","","","","3904115","645815","4549930","2539023","","445046","8271","2992340","140929","","43552","","","","","B"
"101037","1290669","110344","1401013","1025806","0","","0","0","0","120008","120008","65310","98298","8703","107001","80646","154478","135008","289486","188168","278391","210739","489130","305796","158499","10502","169001","71411","78336","393132","471468","0","0","0","-273758","0","-273758","1784913","988436","2773349","109695","0","109695","0","0","0","0","0","0","1894608","988436","2883044","1737137","314235","0","0","2051372","350","0","0","","","","","B"
"101073","262130","226042","488172","201403","13544","0","13544","10217","","","","","129078","16282","145360","99970","141561","1061","142622","70703","520164","5518","525682","221727","156976","2699","159675","45660","432815","934952","1367767","","","","","","","1656268","1186554","2842822","261397","14451","275848","","","","","","","1917665","1201005","3118670","649680","124943","4624","0","779247","9357","","","","","","","B"
"101107","1419991","178202","1598193","1093572","","","","","","","","","72181","118132","190313","117628","209919","72127","282046","175342","364545","47698","412243","259950","202839","","202839","63123","130415","645943","776358","","","","","29635","29635","2399890","1091737","3491627","149578","","149578","","","","","","","2549468","1091737","3641205","1709615","15600","","306140","2031355","12780","","","","","","","B"
"101116","81246","0","81246","77437","","","","","","","","","10543","0","10543","5070","117653","0","117653","56326","58304","0","58304","20613","90846","0","90846","8724","","","","","","","","","","358592","0","358592","","","","","","","","","","358592","0","358592","168170","21517","","","189687","6913","","","","","","","B"
"101143","2727365","672201","3399566","2540435","","","","","","","","","523628","158969","682597","481652","614711","130871","745582","558836","773067","106550","879617","596022","524790","","524790","258532","184559","606475","791034","0","","0","355312","0","355312","5703432","1675066","7378498","475443","1842","477285","","","","","","","6178875","1676908","7855783","4435477","795926","","","5231403","267208","","","","","","","B"
"101161","3188498","147330","3335828","2490706","","","","","","","","","710019","34293","744312","415618","521582","177002","698584","505706","1168104","6414","1174518","579802","975132","12561","987693","355006","346439","1159455","1505894","295280","","295280","2114","","2114","7207168","1537055","8744223","1452585","31815","1484400","","","","","","","8659753","1568870","10228623","4346838","","","830721","5177559","272380","","137501","","","","","B"
"101189","1908273","74493","1982766","1313278","","","","","","","","","399826","84485","484311","305097","1127600","129924","1257524","676354","1715746","74727","1790473","758866","640997","5579","646576","114334","1423364","2258563","3681927","359646","0","359646","-9487","2791","-6696","7565965","2630562","10196527","1396794","25296","1422090","0","0","0","0","0","0","8962759","2655858","11618617","3167929","540808","","","3708737","89713","136055","0","","","","","B"
"101198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B"
"101204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B"
"101213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B"
"101240","7841167","574330","8415497","6610153","52050","65147","117197","73583","141086","82634","223720","176585","1432802","69947","1502749","933514","1140194","357467","1497661","1147679","1446601","197671","1644272","1182653","1793703","","1793703","463838","676857","2070664","2747521","181405","","181405","201410","","201410","14907275","3417860","18325135","1284892","","1284892","","","","","","","16192167","3417860","19610027","10588005","182936","","1794479","12565420","384916","192460","","","","","","B"
"101286","6671311","212127","6883438","5544454","127839","1903","129742","65965","126686","","126686","47113","574732","64593","639325","454799","724964","114358","839322","619927","1223782","8906","1232688","695890","985837","4231","990068","387915","289426","1028411","1317837","359405","","359405","-149640","","-149640","10934342","1434529","12368871","1137185","","1137185","","","","","","","12071527","1434529","13506056","7816063","87720","","1231288","9135071","168041","","149640","","","","","B"
"101295","5562008","716063","6278071","4658369","73177","","73177","62364","","9318","9318","4614","551737","185572","737309","380351","694593","756349","1450942","1008853","526482","215650","742132","499815","1042416","","1042416","330244","586102","1821549","2407651","678000","0","678000","1257182","0","1257182","10971697","3704501","14676198","943784","","943784","","","","","","","11915481","3704501","15619982","6944610","441017","","818164","8203791","275426","","166454","","","","","B"
"101301","2877765","449522","3327287","2593108","","","","","30542","","30542","11488","395206","18198","413404","275243","521707","65042","586749","401869","781394","8146","789540","449547","549235","","549235","182362","256287","978996","1235283","81321","","81321","40472","","40472","5533929","1519904","7053833","456082","","456082","","","","","","","5990011","1519904","7509915","3913617","328855","","424482","4666954","141898","","","","","","","B"
"101347","1516103","20235","1536338","1220964","","","","","","","","","75704","5929","81633","64249","214652","","214652","158407","335344","20","335364","208495","178612","","178612","52137","55235","245818","301053","","","","300000","","300000","2675650","272002","2947652","75552","","75552","","","","","","","2751202","272002","3023204","1704252","140300","","178393","2022945","5929","","","","","","","B"
"101383","1235530","176579","1412109","1054643","51979","0","51979","39682","0","0","0","0","136689","16561","153250","102550","268306","7226","275532","147055","387193","0","387193","273237","228641","43471","272112","73148","66320","430330","496650","15714","0","15714","0","0","0","2390372","674167","3064539","139135","0","139135","","","","","","","2529507","674167","3203674","1690315","301485","0","0","1991800","35967","0","0","","","","","B"
"101435","2204878","0","2204878","1631156","","","","","","","","","363796","0","363796","219795","1163912","0","1163912","523594","1433901","0","1433901","543944","900077","0","900077","322430","1440975","671716","2112691","","","","","","","7507539","671716","8179255","1294444","0","1294444","","","","","","","8801983","671716","9473699","3240919","596797","","","3837716","264557","65101","","","","","","B"
"101453","19275","154055","173330","160933","0","0","0","0","73869","0","73869","0","4017","111482","115499","78587","50596","88549","139145","102397","303364","297005","600369","236940","93704","0","93704","31832","112933","74331","187264","201657","4578","206235","-93404","-79062","-172466","766011","650938","1416949","54666","0","54666","0","0","0","0","0","0","820677","650938","1471615","610689","130417","0","0","741106","71577","0","0","","","","","B"
"101462","1490938","50327","1541265","1241641","92062","","92062","61413","","","","","144562","169015","313577","226955","275618","93639","369257","256179","542979","289718","832697","579018","252914","","252914","101070","37600","375768","413368","25675","","25675","","","","2862348","978467","3840815","131265","","131265","","","","","","","2993613","978467","3972080","2466276","456340","","","2922616","16158","","","","","","","B"
"101480","16790068","774051","17564119","12961385","43935","201672","245607","74589","785121","313874","1098995","529242","3710305","63897","3774202","2290968","3473487","78871","3552358","1912679","4967690","31979","4999669","2946656","4372858","1763","4374621","1935611","1102860","4060104","5162964","","","","219698","32190","251888","35466022","5558401","41024423","3710812","","3710812","","","","","","","39176834","5558401","44735235","22651130","6355309","","119573","29126012","1762924","950670","141400","","","","","B"
"101499","1341363","118596","1459959","1112619","","","","","","","","","355986","49073","405059","290746","224591","60271","284862","210991","439416","57871","497287","196188","387662","925","388587","152524","223326","744482","967808","28714","","28714","38030","","38030","3039088","1031218","4070306","218577","763","219340","","","","","","","3257665","1031981","4289646","1963068","374939","","","2338007","144658","","-38030","","","","","B"
"101505","8649842","257294","8907136","7270239","","","","","40658","74229","114887","85195","1318510","168611","1487121","1002190","1214714","3173177","4387891","1090771","2475960","26295","2502255","1672629","1530329","","1530329","699994","453281","2523363","2976644","305479","","305479","0","","","15988773","6222969","22211742","1401255","34181","1435436","","","","","","","17390028","6257150","23647178","11821018","2193704","","","14014722","296168","14449","115000","","","","","B"
"101514","8995529","73568","9069097","7238148","312229","","312229","262078","","166342","166342","108298","1098330","61144","1159474","794524","1614851","419451","2034302","1565820","1823567","120763","1944330","1227922","2344393","","2344393","595715","196526","1628168","1824694","241514","","241514","87195","","87195","16714134","2469436","19183570","1187228","4528381","5715609","","","","","","","17901362","6997817","24899179","11792505","156742","","1959832","13909079","437422","","","","","","","B"
"101523","1902591","417678","2320269","1588926","","","","","","","","","259606","426098","685704","406305","263240","70576","333816","209684","515198","44937","560135","383912","367763","9350","377113","153046","69000","371145","440145","31593","","31593","","","","3408991","1339784","4748775","140036","","140036","","","","","","","3549027","1339784","4888811","2741873","526191","","","3268064","12080","","","","","","","B"
"101541","820109","0","820109","632242","","","","","","","","","295980","0","295980","249119","327646","0","327646","210626","892160","0","892160","396282","405000","0","405000","316951","315000","0","315000","","","","","","","3055895","0","3055895","564161","0","564161","","","","","","","3620056","0","3620056","1805220","239630","0","0","2044850","103620","","","","","","","B"
"101569","3159584","636375","3795959","2935837","","","","","","110135","110135","64956","482606","19742","502348","367787","429973","411613","841586","594388","877591","182433","1060024","640651","848229","65668","913897","315897","246138","1553853","1799991","66315","","66315","","","","6110436","2979819","9090255","291370","","291370","","","","","","","6401806","2979819","9381625","4919516","441520","491339","","5852375","188586","","45244","","","","","B"
"101587","4255347","151763","4407110","3481374","0","0","0","0","0","90847","90847","42671","931412","21614","953026","603233","858178","398046","1256224","590946","1219768","0","1219768","682728","1625571","0","1625571","866366","306693","1266810","1573503","","","","","","","9196969","1929080","11126049","2862754","0","2862754","","","","","","","12059723","1929080","13988803","6267318","1197450","457167","","7921935","284723","690090","","","","","","B"
"101602","1181233","341562","1522795","1086529","","","","","","","","","379398","6997","386395","282133","393931","364735","758666","581447","309549","","309549","144135","414155","","414155","147418","221503","691241","912744","41698","","41698","47366","","47366","2988833","1404535","4393368","236143","","236143","","","","","","","3224976","1404535","4629511","2241662","199753","226409","","2667824","97115","","54959","","","","","B"
"101648","565410","0","565410","482656","0","0","0","0","0","0","0","0","88278","0","88278","59910","544188","0","544188","276436","424420","0","424420","190728","595392","0","595392","164954","261243","108961","370204","473975","0","473975","0","0","0","2952906","108961","3061867","367781","0","367781","0","0","0","0","0","0","3320687","108961","3429648","1174684","166793","0","0","1341477","45964","0","0","","","","","B"
"101675","436149","965332","1401481","1248510","0","0","0","0","0","0","0","0","147531","137607","285138","258194","468059","330705","798764","729272","1179882","41508","1221390","1093515","756971","0","756971","743266","640497","1162263","1802760","53152","0","53152","0","0","0","3682241","2637415","6319656","465552","0","465552","","","","","","","4147793","2637415","6785208","4072757","111605","0","4184362","8368724","171281","","53978","","","","","B"
"101693","2137921","40815","2178736","1935458","0","0","0","0","0","0","0","0","264522","24511","289033","212574","667299","8661","675960","489189","1854735","6427","1861162","545683","1073854","331","1074185","68515","1270207","1178515","2448722","32417","0","32417","4832","-96237","-91405","7305787","1163023","8468810","1181811","27391","1209202","0","0","0","0","0","0","8487598","1190414","9678012","3251419","782237","0","0","4033656","187285","0","0","0","0","0","0","B"
"101709","7994322","383934","8378256","6358511","7064","","7064","","","278052","278052","161838","2224060","24965","2249025","1097393","2177406","333789","2511195","1358940","1788131","48130","1836261","1018686","2318905","3277","2322182","1027960","1024871","1267910","2292781","","","","-14964","","-14964","17519795","2340057","19859852","4603196","","4603196","","","","","","","22122991","2340057","24463048","11023328","1831218","","719773","13574319","588749","722604","150000","","","","","B"
"101736","2871782","80707","2952489","2307611","","","","","","","","","610048","188565","798613","504957","465832","47850","513682","376828","860694","16665","877359","536497","673527","28050","701577","285529","215030","1090989","1306019","280896","","280896","","","","5977809","1452826","7430635","593987","4667","598654","","","","","","","6571796","1457493","8029289","4011422","40260","","672203","4723885","255159","0","0","","","","","B"
"101879","11039090","43192","11082282","8377440","74312","123409","197721","100771","339799","250486","590285","375915","2324894","81581","2406475","1521516","3254293","52901","3307194","1687242","2896441","31334","2927775","1953291","2986890","0","2986890","1335649","377156","2325124","2702280","220936","0","220936","821855","0","821855","24335666","2908027","27243693","1661687","25350","1687037","0","0","0","0","0","0","25997353","2933377","28930730","15351824","3169710","0","0","18521534","1343017","0","0","0","0","0","0","B"
"101897","1849180","44791","1893971","1507374","","","","","","","","","423557","12534","436091","325445","430531","5215","435746","344036","485097","7675","492772","329960","441675","","441675","158600","176859","739183","916042","","","","243800","","243800","4050699","809398","4860097","61856","","61856","","","","","","","4112555","809398","4921953","2665415","495737","","","3161152","131255","","","","","","","B"
"101903","3438864","51731","3490595","2768862","46903","11130","58033","37051","24725","246374","271099","169663","403992","284780","688772","367116","521276","650522","1171798","736378","920385","3141","923526","621223","694940","18700","713640","212530","348678","1356740","1705418","66046","","66046","90246","","90246","6556055","2623118","9179173","586806","2255","589061","","","","","","","7142861","2625373","9768234","4912823","703737","","164607","5781167","214030","","-18128","","","","","B"
"101912","3521191","3341","3524532","2793053","","","","","","","","","1872684","140688","2013372","1251129","877318","0","877318","433819","2865861","114909","2980770","1221882","1454894","36647","1491541","670671","675251","1949210","2624461","0","227962","227962","593885","0","593885","11861084","2472757","14333841","2928521","0","2928521","","","","493639","0","493639","15283244","2472757","17756001","6370554","1465227","","","7835781","400473","","","","","","","B"
"101949","1203148","257149","1460297","1062450","0","0","0","0","0","0","0","0","257256","79271","336527","196718","205235","126009","331244","203183","432145","51613","483758","274420","247443","472","247915","122710","161000","428189","589189","39407","0","39407","-62719","0","-62719","2482915","942703","3425618","174549","1055","175604","0","0","0","0","0","0","2657464","943758","3601222","1859481","177411","0","170967","2207859","70232","","45000","","","","","B"
"101967","238701","7129","245830","191256","2626","0","2626","2369","354","0","354","206","49330","3713","53043","30977","136205","4357","140562","70000","227812","9492","237304","92786","149074","9853","158927","22727","8723","149069","157792","8102","1022","9124","282","0","282","821209","184635","1005844","32083","0","32083","0","0","0","189","0","189","853481","184635","1038116","410321","58734","88","1208","470351","9009","","","","","","","B"
"101994","1150393","105946","1256339","918980","","","","","","","","","203240","1593","204833","104684","224801","20575","245376","154659","278361","22","278383","174277","136597","","136597","47050","34322","293139","327461","4310","","4310","","","","2032024","421275","2453299","131617","","131617","","","","","","","2163641","421275","2584916","1399650","264715","","11644","1676009","","","","","","","","B"
"102030","2747633","132825","2880458","2326354","7211","","7211","3975","","174262","174262","91475","437581","40316","477897","315419","538110","468639","1006749","738145","979491","691555","1671046","851071","726818","1400","728218","242535","106878","1250686","1357564","249260","","249260","112747","","112747","5905729","2759683","8665412","499573","","499573","","","","","","","6405302","2759683","9164985","4568974","734624","106976","","5410574","190919","","112747","","","","","B"
"102049","13986226","1684809","15671035","10388846","0","58313","58313","549","520790","148962","669752","218963","3259547","395802","3655349","1165304","4858760","298511","5157271","2193868","4450669","336588","4787257","2431122","3379456","2750","3382206","1478411","4062238","2201756","6263994","525448","61179","586627","2828810","-775448","2053362","37871944","4413222","42285166","5954072","1264","5955336","","","","","","","43826016","4414486","48240502","17877063","4589842","0","0","22466905","2285615","1149610","","","","","","B"
"102058","315692","114601","430293","397376","0","418588","418588","386566","0","42373","42373","39131","61721","34353","96074","88724","164836","296253","461089","425816","195170","204055","399225","368684","161385","0","161385","149039","90209","199542","289751","504257","0","504257","","","","1493270","1309765","2803035","628471","0","628471","","","","","","","2121741","1309765","3431506","1855336","68759","84932","","2009027","54412","504257","","","","","","B"
"102067","5833495","75929","5909424","4486868","","","","","","","","","1048103","174632","1222735","682524","761994","480678","1242672","803786","1575155","404768","1979923","969890","852867","","852867","294659","578579","1326356","1904935","149202","","149202","118155","","118155","10917550","2462363","13379913","955789","","955789","","","","","","","11873339","2462363","14335702","7237727","575808","705617","0","8519152","390511","","","","","","","B"
"102076","1825148","75509","1900657","1470925","","","","","","","","","275169","9401","284570","204990","342149","25488","367637","284550","517035","6051","523086","384226","424625","1411","426036","136089","197072","665391","862463","","","","-35268","","-35268","3545930","783251","4329181","525669","","525669","","","","","","","4071599","783251","4854850","2480780","21724","","457457","2959961","168704","5856","3400","","","","","B"
"102094","48399190","2046344","50445534","39894545","1464993","8317275","9782268","3831847","5662691","894339","6557030","4136501","8391584","61383","8452967","6546847","5961744","463215","6424959","2574056","7102145","108297","7210442","6005105","9618761","0","9618761","3838184","1371110","4751943","6123053","2917523","0","2917523","3296894","-272206","3024688","94186635","16370590","110557225","9629509","0","9629509","146230553","0","146230553","","","","250046697","16370590","266417287","66827085","10559559","","","77386644","1003176","628751","730660","0","","","0","B"
"102100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B"
"102155","208701","4259","212960","159507","1355","0","1355","1183","293","0","293","168","69696","0","69696","26137","107084","0","107084","54720","189217","6863","196080","70197","113598","342","113940","13217","","","","5537","62","5599","","","","695481","11526","707007","36223","0","36223","","","","","","","731704","11526","743230","325129","32918","0","2352","360399","","","","","","","","B"
"102164","0","400000","400000","311200","4139","0","4139","3733","557","0","557","324","77747","5852","83599","48822","214666","6868","221534","110324","359045","14960","374005","146236","234949","15530","250479","35818","5528","94472","100000","12769","1610","14379","445","0","445","909845","539292","1449137","50565","0","50565","0","0","0","298","0","298","960708","539292","1500000","656457","93967","140","1933","752497","14199","","","","","","","B"
"102225","2712272","96298","2808570","1998470","0","0","0","0","0","630","630","0","340647","99244","439891","320128","320617","65715","386332","194255","658907","3201","662108","397397","450201","7956","458157","204350","32437","705253","737690","42059","0","42059","19300","0","19300","4576440","978297","5554737","391332","39889","431221","0","0","0","0","0","0","4967772","1018186","5985958","3114600","38062","0","490647","3643309","6367","0","0","0","0","0","0","B"
"102234","3205755","734199","3939954","3012543","0","0","0","0","0","482938","482938","229550","587323","90014","677337","327290","1874756","61843","1936599","735298","4197030","4795","4201825","1397451","1515011","25660","1540671","558063","1729130","617631","2346761","452709","0","452709","","","","13561714","2017080","15578794","3131061","0","3131061","0","0","0","0","0","0","16692775","2017080","18709855","6260195","1430638","0","0","7690833","397307","301806","0","","","","","B"
"102261","196183","0","196183","172893","","","","","","","","","37259","0","37259","22416","37608","0","37608","22500","483038","0","483038","222891","53009","0","53009","13711","66268","119538","185806","0","68532","68532","127023","0","127023","1000388","188070","1188458","248097","0","248097","","","","","","","1248485","188070","1436555","454411","7474","0","0","461885","37259","","","","","","","B"
"102270","1356108","663259","2019367","1535147","0","0","0","0","0","38129","38129","0","40900","860880","901780","449209","502156","169439","671595","389770","1700932","399211","2100143","754801","901261","105844","1007105","381826","647774","1718470","2366244","46843","0","46843","4000","0","4000","5199974","3955232","9155206","1479499","38503","1518002","0","0","0","0","0","0","6679473","3993735","10673208","3510753","761397","0","0","4272150","258575","55350","0","0","0","0","0","B"
"102298","1254459","174577","1429036","1171100","198","348032","348230","180169","2726","436948","439674","210197","442172","195380","637552","300282","568058","168025","736083","390367","1151624","353882","1505506","480451","866722","25435","892157","270254","913478","1137852","2051330","110094","0","110094","0","137394","137394","5309531","2977525","8287056","721202","41782","762984","","","","","","","6030733","3019307","9050040","3002820","","","395496","3398316","290918","","","","","","","B"
"102313","1625915","363599","1989514","1574959","","","","","48971","30063","79034","65018","263636","149531","413167","331047","213676","536155","749831","510283","475616","118867","594483","346292","361618","579698","941316","196108","89365","703866","793231","19114","","19114","75309","","75309","3173220","2481779","5654999","188909","","188909","","","","","","","3362129","2481779","5843908","3023707","128817","","381265","3533789","60248","","","","","","","B"
"102322","2535215","","2535215","2198791","","","","","173036","","173036","69746","779503","","779503","484807","509863","118030","627893","431604","756787","","756787","365578","441257","","441257","123816","139694","454521","594215","316751","","316751","524886","","524886","6176992","572551","6749543","553139","","553139","","","","","","","6730131","572551","7302682","3674342","421323","","","4095665","367687","","","","","","","B"
"102331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B"
"102359","2680767","5607","2686374","2205881","","","","","140853","128321","269174","160746","263230","","263230","168832","455599","106618","562217","482936","1783359","","1783359","895381","208888","","208888","68030","","313783","313783","","","","","","","5532696","554329","6087025","647875","","647875","","","","","","","6180571","554329","6734900","3981806","459192","153885","","4594883","110821","","","","","","","B"
"102368","10128584","232743","10361327","7973415","17861","0","17861","17288","2545211","8529","2553740","1382905","2579585","71718","2651303","1558057","3469633","128736","3598369","2198609","3731684","56703","3788387","2399464","3207353","8862","3216215","993270","1749615","2143216","3892831","727419","0","727419","600594","0","600594","28757539","2650507","31408046","5028821","57336","5086157","","","","5925","0","5925","33792285","2707843","36500128","16523008","2095431","0","762043","19380482","377308","491445","188000","","","","","B"
"102377","11656305","6101029","17757334","10629481","0","5985627","5985627","1935456","121740","5240422","5362162","2482690","3899407","277593","4177000","1612551","2400419","1719","2402138","1176824","6467707","20230","6487937","3497901","5053714","0","5053714","1867493","1362335","4441253","5803588","1339964","0","1339964","","","","32301591","22067873","54369464","6486545","0","6486545","","","","","","","38788136","22067873","60856009","23202396","2773861","","","25976257","819335","142290","","","","","","B"
"102395","481503","0","481503","345484","20927","0","20927","10465","","","","","316625","0","316625","88779","295436","0","295436","145629","923108","0","923108","453948","291597","0","291597","92979","24427","0","24427","2410729","0","2410729","-99548","0","-99548","4664804","0","4664804","55241","0","55241","","","","","","","4720045","0","4720045","1137284","173653","","","1310937","85233","","","","","","","B"
"102410","1006815","980","1007795","863011","","","","","2877","45432","48309","32147","221480","0","221480","161701","295577","0","295577","182372","471725","0","471725","197397","333891","0","333891","151220","148360","675664","824024","","","","","","","2480725","722076","3202801","519196","0","519196","","","","","","","2999921","722076","3721997","1587848","154270","","","1742118","135223","","","","","","","B"
